layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,quality_cosine,mse,nmse,mean_cosine,p05_cosine,payload_bps,effective_bps,controller_static_bits,codebook_static_bits,reuse_rate,predict_rate,innovation_rate,refresh_rate,encoder_required_rate,encoder_skip_rate,state_update_cost_proxy,action_cost_proxy
15,0.5,threshold,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.0001991513623459796,0.20393099515902713,0.9036863605105724,0.8032895068472652,3.2628173828125,3.2636199951171876,56.0,2048.0,0.1875,0.0,0.0,0.8125,0.8125,0.1875,0.8125,0.8125
15,0.5,decision_tree,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.00022944665109987864,0.23495337086077908,0.8885246651728356,0.7905049485810058,2.3091064453125,2.3099285125732423,107.0,2048.0,0.425,0.0,0.0,0.575,0.575,0.425,0.575,0.575
15,0.5,mlp,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.00024456722359077145,0.2504368371003171,0.8806690673048643,0.7792182205436877,2.2369384765625,2.2412841796875,9344.0,2048.0,0.4375,0.0,0.00625,0.55625,0.5625,0.4375,0.5578125,0.5578125
15,0.5,dlgn,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.00022549680710118227,0.23090873060379857,0.890391582921875,0.7914544393168123,2.4345947265625,2.436236572265625,2256.0,2048.0,0.39375,0.0,0.0,0.60625,0.60625,0.39375,0.60625,0.60625
15,0.5,always_reuse,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.0010493921230415129,1.0745775346096706,0.4848166353940768,-0.2863302150126968,0.2510986328125,0.2518798828125,0.0,2048.0,0.9375,0.0,0.0,0.0625,0.0625,0.9375,0.0625,0.0625
15,0.5,always_predict,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.0010493921230415129,1.0745775346096706,0.4848166353940768,-0.2863302150126968,0.2510986328125,0.2518798828125,0.0,2048.0,0.0,0.9375,0.0,0.0625,0.0625,0.9375,0.109375,0.109375
15,0.5,always_innovation,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.00042018108602801164,0.4302654323389972,0.7703838052926223,0.4146914355029801,0.7198486328125,0.7206298828125,0.0,2048.0,0.0,0.0,0.9375,0.0625,1.0,0.0,0.296875,0.296875
15,0.5,always_int4_refresh,ema_050,pq_0p5b_k16_d8,1.0,0.95,0.000198996132311598,0.20377203960372936,0.9037523919825189,0.8032895068472652,4.0157470703125,4.0165283203125,0.0,2048.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
15,1.0,threshold,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.00018363448949955941,0.18804171735519676,0.9096539714087225,0.7971076192790222,2.1260986328125,2.1276824951171873,56.0,4096.0,0.26875,0.0,0.26875,0.4625,0.73125,0.26875,0.5296875,0.5296875
15,1.0,decision_tree,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.00016522627197158285,0.16919170259575772,0.9170679214943591,0.7971076192790222,1.7551025390625,1.7566898345947266,65.0,4096.0,0.20625,0.0,0.475,0.31875,0.79375,0.20625,0.4375,0.4375
15,1.0,mlp,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.00019516143513990242,0.19984530969766517,0.902869627309351,0.7913973848441653,1.7556884765625,1.7608154296875,9344.0,4096.0,0.31875,0.0,0.325,0.35625,0.68125,0.31875,0.4375,0.4375
15,1.0,dlgn,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.0002370707699960368,0.24276046861491435,0.8845374889687617,0.7800908115963398,2.4847900390625,2.487213134765625,2256.0,4096.0,0.38125,0.0,0.0,0.61875,0.61875,0.38125,0.61875,0.61875
15,1.0,always_reuse,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.0010493921230415129,1.0745775346096706,0.4848166353940768,-0.2863302150126968,0.2510986328125,0.2526611328125,0.0,4096.0,0.9375,0.0,0.0,0.0625,0.0625,0.9375,0.0625,0.0625
15,1.0,always_predict,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.0010493921230415129,1.0745775346096706,0.4848166353940768,-0.2863302150126968,0.2510986328125,0.2526611328125,0.0,4096.0,0.0,0.9375,0.0,0.0625,0.0625,0.9375,0.109375,0.109375
15,1.0,always_innovation,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.0001880820475450098,0.19259601679634514,0.8990294322125608,0.6667990839462452,1.1885986328125,1.1901611328125,0.0,4096.0,0.0,0.0,0.9375,0.0625,1.0,0.0,0.296875,0.296875
15,1.0,always_int4_refresh,ema_050,pq_1p5b_k64_d4,0.5,0.95,0.000198996132311598,0.20377203960372936,0.9037523919825189,0.8032895068472652,4.0157470703125,4.0173095703125,0.0,4096.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
15,1.58,threshold,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.00014159595104697506,0.14499425395510707,0.9296138485585154,0.8093037291861366,1.9735595703125,1.9751434326171875,56.0,4096.0,0.1875,0.0,0.5125,0.3,0.8125,0.1875,0.428125,0.428125
15,1.58,decision_tree,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.0001744292732001804,0.1786155758592365,0.9143823934541683,0.8017226967644202,2.5271728515625,2.5288082122802735,191.0,4096.0,0.20625,0.0,0.2625,0.53125,0.79375,0.20625,0.596875,0.596875
15,1.58,mlp,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.0001774514655872574,0.18171030086537496,0.9117443876792166,0.7962668532582733,1.6762939453125,1.6814208984375,9344.0,4096.0,0.34375,0.0,0.38125,0.275,0.65625,0.34375,0.3703125,0.3703125
15,1.58,dlgn,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.00018338414929017826,0.1877853689806437,0.9089823778585628,0.7932113637136344,1.6418212890625,1.644244384765625,2256.0,4096.0,0.35625,0.0,0.375,0.26875,0.64375,0.35625,0.3625,0.3625
15,1.58,always_reuse,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.0010493921230415129,1.0745775346096706,0.4848166353940768,-0.2863302150126968,0.2510986328125,0.2526611328125,0.0,4096.0,0.9375,0.0,0.0,0.0625,0.0625,0.9375,0.0625,0.0625
15,1.58,always_predict,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.0010493921230415129,1.0745775346096706,0.4848166353940768,-0.2863302150126968,0.2510986328125,0.2526611328125,0.0,4096.0,0.0,0.9375,0.0,0.0625,0.0625,0.9375,0.109375,0.109375
