layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,mean_cosine,p05_cosine,effective_bps,int4_effective_bps,reuse_rate,predict_rate,innovation_rate,refresh_rate,encoder_required_rate,encoder_skip_rate,state_update_cost_proxy,standalone_rate_quality_dominated,best_dominator,memory_representation_candidate,conditional_compute_candidate
15,0.5,threshold,ema_050,pq_0p5b_k16_d8,1.0,0.9036863605105724,0.8032895068472652,3.2636199951171876,4.0165283203125,0.1875,0.0,0.0,0.8125,0.8125,0.1875,0.8125,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,0.5,decision_tree,ema_050,pq_0p5b_k16_d8,1.0,0.8885246651728356,0.7905049485810058,2.3099285125732423,4.0165283203125,0.425,0.0,0.0,0.575,0.575,0.425,0.575,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,0.5,mlp,ema_050,pq_0p5b_k16_d8,1.0,0.8806690673048643,0.7792182205436877,2.2412841796875,4.0165283203125,0.4375,0.0,0.00625,0.55625,0.5625,0.4375,0.5578125,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,0.5,dlgn,ema_050,pq_0p5b_k16_d8,1.0,0.890391582921875,0.7914544393168123,2.436236572265625,4.0165283203125,0.39375,0.0,0.0,0.60625,0.60625,0.39375,0.60625,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,1.0,threshold,ema_050,pq_1p5b_k64_d4,0.5,0.9096539714087225,0.7971076192790222,2.1276824951171873,4.0173095703125,0.26875,0.0,0.26875,0.4625,0.73125,0.26875,0.5296875,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.0,decision_tree,ema_050,pq_1p5b_k64_d4,0.5,0.9170679214943591,0.7971076192790222,1.7566898345947266,4.0173095703125,0.20625,0.0,0.475,0.31875,0.79375,0.20625,0.4375,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.0,mlp,ema_050,pq_1p5b_k64_d4,0.5,0.902869627309351,0.7913973848441653,1.7608154296875,4.0173095703125,0.31875,0.0,0.325,0.35625,0.68125,0.31875,0.4375,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.0,dlgn,ema_050,pq_1p5b_k64_d4,0.5,0.8845374889687617,0.7800908115963398,2.487213134765625,4.0173095703125,0.38125,0.0,0.0,0.61875,0.61875,0.38125,0.61875,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,1.58,threshold,ema_050,pq_1p5b_k64_d4,1.0,0.9296138485585154,0.8093037291861366,1.9751434326171875,4.0173095703125,0.1875,0.0,0.5125,0.3,0.8125,0.1875,0.428125,True,residual_pq:pq_1p5b_k64_d4@1.00,False,False
15,1.58,decision_tree,ema_050,pq_1p5b_k64_d4,1.0,0.9143823934541683,0.8017226967644202,2.5288082122802735,4.0173095703125,0.20625,0.0,0.2625,0.53125,0.79375,0.20625,0.596875,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.58,mlp,ema_050,pq_1p5b_k64_d4,1.0,0.9117443876792166,0.7962668532582733,1.6814208984375,4.0173095703125,0.34375,0.0,0.38125,0.275,0.65625,0.34375,0.3703125,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.58,dlgn,ema_050,pq_1p5b_k64_d4,1.0,0.9089823778585628,0.7932113637136344,1.644244384765625,4.0173095703125,0.35625,0.0,0.375,0.26875,0.64375,0.35625,0.3625,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,2.0,threshold,ema_050,pq_2b_k256_d4,1.0,0.9457108259336373,0.8191159351733974,2.0093231201171875,4.0219970703125,0.1875,0.0,0.625,0.1875,0.8125,0.1875,0.34375,True,raw_pq:pq_2b_k256_d4@1.00,False,False
15,2.0,decision_tree,ema_050,pq_2b_k256_d4,1.0,0.9441106419365497,0.8114968708242206,2.0096675872802736,4.0219970703125,0.20625,0.0,0.5875,0.20625,0.79375,0.20625,0.353125,True,raw_pq:pq_2b_k256_d4@1.00,False,False
15,2.0,mlp,ema_050,pq_2b_k256_d4,1.0,0.905284048200158,0.7768846527678934,1.5880615234375,4.0219970703125,0.4125,0.0,0.3875,0.2,0.5875,0.4125,0.296875,True,residual_pq:pq_2b_k256_d4@0.50,False,False
