layer,codec,raw_index_entropy_bps,residual_index_entropy_bps,entropy_reduction,raw_payload_bps,residual_payload_bps,raw_cosine,residual_cosine
15,pq_0p5b_k16_d8,0.46654821653389783,0.31518200782266764,0.3244385110627305,0.5,0.7197265625,0.6483125669945504,0.7703838052926223
15,pq_1b_k16_d4,0.9256991459536266,0.6961951357885765,0.24792505336992843,1.0,1.1884765625,0.7539934994379797,0.8382617272863628
15,pq_1p5b_k64_d4,1.430013550112724,1.218654635185019,0.14780203649891588,1.5,1.6572265625,0.9044891677094222,0.936732996471876
15,pq_2b_k256_d4,1.9669510781812947,1.811074311173511,0.07924791253675323,2.0,2.1259765625,0.9463611596225527,0.9648146449832519
15,pq_4b_k256_d2,3.9562544021624753,3.749784443136374,0.05218824120947474,4.0,4.0009765625,0.9834935266559534,0.9536593894410613
22,pq_0p5b_k16_d8,0.4804143615151851,0.2944870909308694,0.38701438899103113,0.5,0.7197265625,0.610539637769236,0.7389981694214874
22,pq_1b_k16_d4,0.9594239696417695,0.6890817697940474,0.28177553240478515,1.0,1.1884765625,0.7808055943173808,0.8583571893570481
22,pq_1p5b_k64_d4,1.4603733689413327,1.2917706355899594,0.11545179947618356,1.5,1.6572265625,0.884547314244584,0.9240637199034468
22,pq_2b_k256_d4,1.9627757065318026,1.8473272571270942,0.05881897204072495,2.0,2.1259765625,0.946735308747558,0.9592854725533162
22,pq_4b_k256_d2,3.9660096448183375,3.7537257643962967,0.05352581043250704,4.0,4.0009765625,0.9887008801907928,0.9868311360802984
