weight_key,method,rank,weight_relative_fro,gaussian_output_relative_l2,stored_bits_ratio_vs_bf16,group_size,scale_count
blocks.0.ffn.0.weight,fp8_tensor,0,0.026474596932530403,0.026693129912018776,0.5,,
blocks.0.ffn.0.weight,int4_groupwise,0,0.14351554214954376,0.1448175311088562,0.2578125,128,107520
blocks.0.ffn.0.weight,spectral_fp16_plus_int4,8,0.12319638580083847,0.12422312796115875,0.26391369047619045,128,107520
blocks.0.ffn.0.weight,random_fp16_plus_int4,8,0.1431119740009308,0.14438116550445557,0.26391369047619045,128,107520
blocks.0.ffn.0.weight,spectral_fp16_plus_int4,16,0.11342453211545944,0.11441939324140549,0.27001488095238096,128,107520
blocks.0.ffn.0.weight,random_fp16_plus_int4,16,0.1427161991596222,0.14393913745880127,0.27001488095238096,128,107520
blocks.0.ffn.0.weight,spectral_fp16_plus_int4,32,0.10295461118221283,0.10383792966604233,0.28221726190476193,128,107520
blocks.0.ffn.0.weight,random_fp16_plus_int4,32,0.14180950820446014,0.14317797124385834,0.28221726190476193,128,107520
blocks.0.ffn.0.weight,spectral_fp16_plus_int4,64,0.09141413122415543,0.09228247404098511,0.3066220238095238,128,107520
blocks.0.ffn.0.weight,random_fp16_plus_int4,64,0.14026080071926117,0.14151506125926971,0.3066220238095238,128,107520
blocks.0.ffn.2.weight,fp8_tensor,0,0.026500003412365913,0.026593917980790138,0.5,,
blocks.0.ffn.2.weight,int4_groupwise,0,0.12654565274715424,0.12702257931232452,0.2578125,128,107520
blocks.0.ffn.2.weight,spectral_fp16_plus_int4,8,0.12311896681785583,0.12329842150211334,0.26391369047619045,128,107520
blocks.0.ffn.2.weight,random_fp16_plus_int4,8,0.12617233395576477,0.12656821310520172,0.26391369047619045,128,107520
blocks.0.ffn.2.weight,spectral_fp16_plus_int4,16,0.1200457513332367,0.12043805420398712,0.27001488095238096,128,107520
blocks.0.ffn.2.weight,random_fp16_plus_int4,16,0.12579093873500824,0.12622113525867462,0.27001488095238096,128,107520
blocks.0.ffn.2.weight,spectral_fp16_plus_int4,32,0.11389490962028503,0.11401555687189102,0.28221726190476193,128,107520
blocks.0.ffn.2.weight,random_fp16_plus_int4,32,0.1249922439455986,0.12522299587726593,0.28221726190476193,128,107520
blocks.0.ffn.2.weight,spectral_fp16_plus_int4,64,0.10276259481906891,0.10292518138885498,0.3066220238095238,128,107520
blocks.0.ffn.2.weight,random_fp16_plus_int4,64,0.1234479621052742,0.12349794059991837,0.3066220238095238,128,107520
blocks.15.ffn.0.weight,fp8_tensor,0,0.026512768119573593,0.026535188779234886,0.5,,
blocks.15.ffn.0.weight,int4_groupwise,0,0.12855853140354156,0.12849479913711548,0.2578125,128,107520
blocks.15.ffn.0.weight,spectral_fp16_plus_int4,8,0.1231575533747673,0.12309637665748596,0.26391369047619045,128,107520
blocks.15.ffn.0.weight,random_fp16_plus_int4,8,0.1281716376543045,0.12824803590774536,0.26391369047619045,128,107520
blocks.15.ffn.0.weight,spectral_fp16_plus_int4,16,0.12102352827787399,0.1210285946726799,0.27001488095238096,128,107520
blocks.15.ffn.0.weight,random_fp16_plus_int4,16,0.12779957056045532,0.12777303159236908,0.27001488095238096,128,107520
blocks.15.ffn.0.weight,spectral_fp16_plus_int4,32,0.11814742535352707,0.11807270348072052,0.28221726190476193,128,107520
blocks.15.ffn.0.weight,random_fp16_plus_int4,32,0.12692062556743622,0.1268446147441864,0.28221726190476193,128,107520
blocks.15.ffn.0.weight,spectral_fp16_plus_int4,64,0.11329995095729828,0.1132902279496193,0.3066220238095238,128,107520
blocks.15.ffn.0.weight,random_fp16_plus_int4,64,0.1255149096250534,0.12551110982894897,0.3066220238095238,128,107520
blocks.15.ffn.2.weight,fp8_tensor,0,0.0264523196965456,0.02650667168200016,0.5,,
blocks.15.ffn.2.weight,int4_groupwise,0,0.12195184081792831,0.12200149148702621,0.2578125,128,107520
blocks.15.ffn.2.weight,spectral_fp16_plus_int4,8,0.11975566297769547,0.12004781514406204,0.26391369047619045,128,107520
blocks.15.ffn.2.weight,random_fp16_plus_int4,8,0.12161750346422195,0.12191139906644821,0.26391369047619045,128,107520
blocks.15.ffn.2.weight,spectral_fp16_plus_int4,16,0.11817607283592224,0.11830055713653564,0.27001488095238096,128,107520
blocks.15.ffn.2.weight,random_fp16_plus_int4,16,0.12129556387662888,0.12147237360477448,0.27001488095238096,128,107520
blocks.15.ffn.2.weight,spectral_fp16_plus_int4,32,0.11541463434696198,0.11567803472280502,0.28221726190476193,128,107520
blocks.15.ffn.2.weight,random_fp16_plus_int4,32,0.12059330195188522,0.12090617418289185,0.28221726190476193,128,107520
blocks.15.ffn.2.weight,spectral_fp16_plus_int4,64,0.11106128990650177,0.11102595180273056,0.3066220238095238,128,107520
blocks.15.ffn.2.weight,random_fp16_plus_int4,64,0.1192401647567749,0.11930080503225327,0.3066220238095238,128,107520
blocks.29.ffn.0.weight,fp8_tensor,0,0.026520216837525368,0.02656388282775879,0.5,,
blocks.29.ffn.0.weight,int4_groupwise,0,0.12586522102355957,0.12611673772335052,0.2578125,128,107520
blocks.29.ffn.0.weight,spectral_fp16_plus_int4,8,0.11938868463039398,0.1194867268204689,0.26391369047619045,128,107520
blocks.29.ffn.0.weight,random_fp16_plus_int4,8,0.12547758221626282,0.12573657929897308,0.26391369047619045,128,107520
blocks.29.ffn.0.weight,spectral_fp16_plus_int4,16,0.11683981120586395,0.11712180823087692,0.27001488095238096,128,107520
blocks.29.ffn.0.weight,random_fp16_plus_int4,16,0.12509861588478088,0.12530939280986786,0.27001488095238096,128,107520
