weight_key,shape,source,block_size,bcm_params,bcm_energy_ratio,budget_rank_after_bcm,bcm_after_lowrank_energy_ratio,structure,selected_params,captured_residual_energy_ratio,selected_tiles
blocks.0.self_attn.q.weight,1536x1536,ternary_error,64,36864,0.015450920545158195,4,0.013019400515708043,,,,
blocks.0.self_attn.q.weight,1536x1536,ternary_error,128,18432,0.007625220236799145,10,0.006245540659852026,,,,
blocks.0.self_attn.q.weight,1536x1536,ternary_error,256,9216,0.003811266045288603,13,0.0030406566400163672,,,,
blocks.0.self_attn.q.weight,1536x1536,ternary_error_after_lowrank,16,,,,,row_sparse,24576,0.012817666937573679,
blocks.0.self_attn.q.weight,1536x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,24576,0.013120466429563882,24
blocks.0.self_attn.o.weight,1536x1536,ternary_error,64,36864,0.015539127356881082,4,0.015174227993539338,,,,
blocks.0.self_attn.o.weight,1536x1536,ternary_error,128,18432,0.007922878168681534,10,0.007484989433485255,,,,
blocks.0.self_attn.o.weight,1536x1536,ternary_error,256,9216,0.0039012249305077533,13,0.0036522951943161125,,,,
blocks.0.self_attn.o.weight,1536x1536,ternary_error_after_lowrank,16,,,,,row_sparse,24576,0.011662459828804258,
blocks.0.self_attn.o.weight,1536x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,24576,0.012530788610488354,24
blocks.0.ffn.0.weight,8960x1536,ternary_error,64,215040,0.01564573096539708,0,0.0,,,,
blocks.0.ffn.0.weight,8960x1536,ternary_error,128,107520,0.007878525425645122,5,0.007115894278431617,,,,
blocks.0.ffn.0.weight,8960x1536,ternary_error,256,53760,0.003941171941864591,10,0.0034513146184933373,,,,
blocks.0.ffn.0.weight,8960x1536,ternary_error_after_lowrank,16,,,,,row_sparse,73728,0.008630284792554828,
blocks.0.ffn.0.weight,8960x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,83968,0.009223465184500236,82
blocks.15.self_attn.q.weight,1536x1536,ternary_error,64,36864,0.015623604693743905,4,0.014572185545417499,,,,
blocks.15.self_attn.q.weight,1536x1536,ternary_error,128,18432,0.007920996178192469,10,0.007197583365138143,,,,
blocks.15.self_attn.q.weight,1536x1536,ternary_error,256,9216,0.003993115926687566,13,0.0035855687221188724,,,,
blocks.15.self_attn.q.weight,1536x1536,ternary_error_after_lowrank,16,,,,,row_sparse,24576,0.014407387894272245,
blocks.15.self_attn.q.weight,1536x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,24576,0.014887514841094402,24
blocks.15.self_attn.o.weight,1536x1536,ternary_error,64,36864,0.015619598282400676,4,0.01539934674875198,,,,
blocks.15.self_attn.o.weight,1536x1536,ternary_error,128,18432,0.007885558829880514,10,0.007610040949385192,,,,
blocks.15.self_attn.o.weight,1536x1536,ternary_error,256,9216,0.004027657419955756,13,0.0038382723933786493,,,,
blocks.15.self_attn.o.weight,1536x1536,ternary_error_after_lowrank,16,,,,,row_sparse,24576,0.011890380102211997,
blocks.15.self_attn.o.weight,1536x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,24576,0.013156835466722387,24
blocks.15.ffn.0.weight,8960x1536,ternary_error,64,215040,0.015639806303494836,0,0.0,,,,
blocks.15.ffn.0.weight,8960x1536,ternary_error,128,107520,0.007780396081504581,5,0.007539127263209493,,,,
blocks.15.ffn.0.weight,8960x1536,ternary_error,256,53760,0.0038806620287053293,10,0.0037022238082940273,,,,
blocks.15.ffn.0.weight,8960x1536,ternary_error_after_lowrank,16,,,,,row_sparse,73728,0.007111196820701327,
blocks.15.ffn.0.weight,8960x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,83968,0.008001759229578624,82
blocks.29.self_attn.q.weight,1536x1536,ternary_error,64,36864,0.015833494302504525,4,0.014594827929168728,,,,
blocks.29.self_attn.q.weight,1536x1536,ternary_error,128,18432,0.00783356269615772,10,0.006890403506446503,,,,
blocks.29.self_attn.q.weight,1536x1536,ternary_error,256,9216,0.0039827574338044515,13,0.003428931186961647,,,,
blocks.29.self_attn.q.weight,1536x1536,ternary_error_after_lowrank,16,,,,,row_sparse,24576,0.018533170677517183,
blocks.29.self_attn.q.weight,1536x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,24576,0.018970104507145022,24
blocks.29.self_attn.o.weight,1536x1536,ternary_error,64,36864,0.015495520756399945,4,0.015152787796333726,,,,
blocks.29.self_attn.o.weight,1536x1536,ternary_error,128,18432,0.00778982368276089,10,0.007393044095588533,,,,
blocks.29.self_attn.o.weight,1536x1536,ternary_error,256,9216,0.003961970531950309,13,0.0037110275462711065,,,,
blocks.29.self_attn.o.weight,1536x1536,ternary_error_after_lowrank,16,,,,,row_sparse,24576,0.012977756870537129,
blocks.29.self_attn.o.weight,1536x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,24576,0.013343900246967173,24
blocks.29.ffn.0.weight,8960x1536,ternary_error,64,215040,0.015664082086226987,0,0.0,,,,
blocks.29.ffn.0.weight,8960x1536,ternary_error,128,107520,0.007829746488136459,5,0.007479327867011869,,,,
blocks.29.ffn.0.weight,8960x1536,ternary_error,256,53760,0.0038999326068772278,10,0.003651022013646127,,,,
blocks.29.ffn.0.weight,8960x1536,ternary_error_after_lowrank,16,,,,,row_sparse,73728,0.006495088940507426,
blocks.29.ffn.0.weight,8960x1536,ternary_error_after_lowrank,32,,,,,tile_sparse,83968,0.007642035670000794,82
