weight_key,source,rank,energy_ratio
blocks.0.self_attn.q.weight,hadamard_weight,1,0.1191369891166687
blocks.0.self_attn.q.weight,hadamard_weight,2,0.18887531757354736
blocks.0.self_attn.q.weight,hadamard_weight,4,0.22321195900440216
blocks.0.self_attn.q.weight,hadamard_weight,8,0.2448585033416748
blocks.0.self_attn.q.weight,hadamard_weight,16,0.26621606945991516
blocks.0.self_attn.q.weight,hadamard_weight,32,0.295492947101593
blocks.0.self_attn.q.weight,hadamard_weight,64,0.3462977111339569
blocks.0.self_attn.q.weight,ternary_error,1,0.08151251822710037
blocks.0.self_attn.q.weight,ternary_error,2,0.12915582954883575
blocks.0.self_attn.q.weight,ternary_error,4,0.15361778438091278
blocks.0.self_attn.q.weight,ternary_error,8,0.17252787947654724
blocks.0.self_attn.q.weight,ternary_error,16,0.19426575303077698
blocks.0.self_attn.q.weight,ternary_error,32,0.22784815728664398
blocks.0.self_attn.q.weight,ternary_error,64,0.28504741191864014
blocks.0.self_attn.q.weight,fp8_error,1,0.011582610197365284
blocks.0.self_attn.q.weight,fp8_error,2,0.019562266767024994
blocks.0.self_attn.q.weight,fp8_error,4,0.029596328735351562
blocks.0.self_attn.q.weight,fp8_error,8,0.04622849076986313
blocks.0.self_attn.q.weight,fp8_error,16,0.07449415326118469
blocks.0.self_attn.q.weight,fp8_error,32,0.12049675732851028
blocks.0.self_attn.q.weight,fp8_error,64,0.19335713982582092
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,1,0.08025003969669342
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,2,0.12713828682899475
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,4,0.1512562334537506
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,8,0.16999970376491547
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,16,0.1915682852268219
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,32,0.22517383098602295
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,64,0.2823474407196045
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,1,0.08088232576847076
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,2,0.12812644243240356
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,4,0.15240569412708282
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,8,0.171240895986557
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,16,0.19290108978748322
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,32,0.22649168968200684
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,64,0.283692330121994
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,1,0.0811569020152092
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,2,0.1285853385925293
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,4,0.15296585857868195
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,8,0.17184805870056152
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,16,0.1935351938009262
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,32,0.2271466851234436
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b256,64,0.28427618741989136
blocks.0.self_attn.o.weight,hadamard_weight,1,0.010664395056664944
blocks.0.self_attn.o.weight,hadamard_weight,2,0.01953236386179924
blocks.0.self_attn.o.weight,hadamard_weight,4,0.0349593348801136
blocks.0.self_attn.o.weight,hadamard_weight,8,0.061146609485149384
blocks.0.self_attn.o.weight,hadamard_weight,16,0.10294024646282196
blocks.0.self_attn.o.weight,hadamard_weight,32,0.16717810928821564
blocks.0.self_attn.o.weight,hadamard_weight,64,0.25232526659965515
blocks.0.self_attn.o.weight,ternary_error,1,0.00737794628366828
blocks.0.self_attn.o.weight,ternary_error,2,0.013661330565810204
blocks.0.self_attn.o.weight,ternary_error,4,0.024800138548016548
blocks.0.self_attn.o.weight,ternary_error,8,0.04391435533761978
blocks.0.self_attn.o.weight,ternary_error,16,0.07534217089414597
blocks.0.self_attn.o.weight,ternary_error,32,0.12587867677211761
blocks.0.self_attn.o.weight,ternary_error,64,0.19994968175888062
blocks.0.self_attn.o.weight,fp8_error,1,0.0032202356960624456
blocks.0.self_attn.o.weight,fp8_error,2,0.005875014699995518
blocks.0.self_attn.o.weight,fp8_error,4,0.011061403900384903
blocks.0.self_attn.o.weight,fp8_error,8,0.02117997780442238
blocks.0.self_attn.o.weight,fp8_error,16,0.04051997885107994
blocks.0.self_attn.o.weight,fp8_error,32,0.07692831009626389
blocks.0.self_attn.o.weight,fp8_error,64,0.14215604960918427
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,1,0.0072838119231164455
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,2,0.013520441018044949
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,4,0.024529634043574333
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,8,0.0434267558157444
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,16,0.07457370311021805
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,32,0.12473997473716736
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b64,64,0.19847464561462402
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,1,0.007340538781136274
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,2,0.013591849245131016
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,4,0.024641046300530434
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,8,0.04365579038858414
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,16,0.07492773234844208
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,32,0.12527760863304138
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b128,64,0.19924919307231903
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,1,0.0073645226657390594
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,2,0.013633516617119312
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,4,0.024736519902944565
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,8,0.0438009649515152
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,16,0.07516344636678696
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,32,0.12565355002880096
blocks.0.self_attn.o.weight,ternary_error_after_bcm_b256,64,0.1998855620622635
blocks.0.ffn.0.weight,hadamard_weight,1,0.06084129586815834
blocks.0.ffn.0.weight,hadamard_weight,2,0.08409561216831207
blocks.0.ffn.0.weight,hadamard_weight,4,0.1177934855222702
blocks.0.ffn.0.weight,hadamard_weight,8,0.16057521104812622
blocks.0.ffn.0.weight,hadamard_weight,16,0.21133404970169067
blocks.0.ffn.0.weight,hadamard_weight,32,0.28447043895721436
blocks.0.ffn.0.weight,hadamard_weight,64,0.3883124887943268
blocks.0.ffn.0.weight,ternary_error,1,0.03988396003842354
blocks.0.ffn.0.weight,ternary_error,2,0.05555031821131706
blocks.0.ffn.0.weight,ternary_error,4,0.07848433405160904
blocks.0.ffn.0.weight,ternary_error,8,0.10797460377216339
blocks.0.ffn.0.weight,ternary_error,16,0.14386002719402313
blocks.0.ffn.0.weight,ternary_error,32,0.19610823690891266
blocks.0.ffn.0.weight,ternary_error,64,0.27229419350624084
blocks.0.ffn.0.weight,fp8_error,1,0.0018597504822537303
blocks.0.ffn.0.weight,fp8_error,2,0.0035484812688082457
blocks.0.ffn.0.weight,fp8_error,4,0.006827357225120068
blocks.0.ffn.0.weight,fp8_error,8,0.013131060637533665
blocks.0.ffn.0.weight,fp8_error,16,0.02512177638709545
blocks.0.ffn.0.weight,fp8_error,32,0.04731849581003189
blocks.0.ffn.0.weight,fp8_error,64,0.08708062022924423
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,1,0.03937976807355881
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,2,0.05479774624109268
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,4,0.07738903909921646
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,8,0.10646644234657288
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,16,0.14193816483020782
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,32,0.19356471300125122
blocks.0.ffn.0.weight,ternary_error_after_bcm_b64,64,0.2685825228691101
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,1,0.03954029455780983
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,2,0.05508099123835564
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,4,0.07788313180208206
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,8,0.10716933757066727
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,16,0.1428513526916504
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,32,0.19478124380111694
blocks.0.ffn.0.weight,ternary_error_after_bcm_b128,64,0.2704618275165558
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,1,0.03971056640148163
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,2,0.0553167350590229
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,4,0.07818951457738876
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,8,0.1075848639011383
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,16,0.1433674544095993
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,32,0.1954822540283203
blocks.0.ffn.0.weight,ternary_error_after_bcm_b256,64,0.2713724672794342
blocks.15.self_attn.q.weight,hadamard_weight,1,0.048775359988212585
blocks.15.self_attn.q.weight,hadamard_weight,2,0.06640224158763885
blocks.15.self_attn.q.weight,hadamard_weight,4,0.08475876599550247
blocks.15.self_attn.q.weight,hadamard_weight,8,0.11053448915481567
blocks.15.self_attn.q.weight,hadamard_weight,16,0.15288519859313965
blocks.15.self_attn.q.weight,hadamard_weight,32,0.21763035655021667
blocks.15.self_attn.q.weight,hadamard_weight,64,0.3126989006996155
blocks.15.self_attn.q.weight,ternary_error,1,0.03739515691995621
blocks.15.self_attn.q.weight,ternary_error,2,0.05169563740491867
blocks.15.self_attn.q.weight,ternary_error,4,0.06521419435739517
blocks.15.self_attn.q.weight,ternary_error,8,0.08474881201982498
