family,variant,density,landmarks,order,rank,components,restart,records,residual_sq,reference_sq,aggregate_output_relative_l2,record_error_max,projected_query_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,negative_tail_weight_fraction_mean,tail_score_range_mean
lowrank_covariance,centroid,0.125,0,0,0,1,0,48,5094.534676834941,280958.95431518555,0.1346575853151784,0.34649681001286314,0.13862264278930944,7.213828707045252,0.7300062978433238,nan,nan
lowrank_covariance,centroid,0.125,0,0,0,2,0,48,4926.776141967624,280958.95431518555,0.13242194909981542,0.33710660689710553,0.15229785646452312,6.566080595053838,0.7300062978433238,nan,nan
lowrank_covariance,centroid,0.25,0,0,0,1,0,48,1803.9638880951097,280958.95431518555,0.0801295088657843,0.23980653341136518,0.2616859991859992,3.821373719307113,0.8540340533687009,nan,nan
lowrank_covariance,centroid,0.25,0,0,0,2,0,48,1742.7260641492903,280958.95431518555,0.07875771806332592,0.23380461294520305,0.2734076109076109,3.657542658305577,0.8540340533687009,nan,nan
lowrank_covariance,diag_gaussian,0.125,0,0,0,1,0,48,5620.4427554011345,280958.95431518555,0.1414372571143495,0.39454468325831576,0.15229785646452312,6.566080595053838,0.7300062978433238,nan,nan
lowrank_covariance,diag_gaussian,0.125,0,0,0,2,0,48,5533.654545158148,280958.95431518555,0.14034100519190582,0.4094185439571005,0.17964828381495046,5.566432246188701,0.7300062978433238,nan,nan
lowrank_covariance,diag_gaussian,0.25,0,0,0,1,0,48,2080.167204691563,280958.95431518555,0.08604540511251958,0.30265630916007963,0.2734076109076109,3.657542658305577,0.8540340533687009,nan,nan
lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,48,2220.4277441357262,280958.95431518555,0.08889900162196467,0.34837548634777604,0.29685083435083437,3.3686952647003374,0.8540340533687009,nan,nan
lowrank_covariance,lowrank_gaussian,0.125,0,0,16,1,0,48,213393.33084768057,280958.95431518555,0.8715031922782694,2.0149361389772724,0.3574260615927283,2.797781436372867,0.7300062978433238,nan,nan
lowrank_covariance,lowrank_gaussian,0.125,0,0,16,2,0,48,477547.99797058105,280958.95431518555,1.3037282477005285,2.476757990393895,0.5899046940713607,1.6951890874071094,0.7300062978433238,nan,nan
lowrank_covariance,lowrank_gaussian,0.125,0,0,4,1,0,48,169957.84866201878,280958.95431518555,0.7777663932201234,1.7795091834461105,0.19332349749016414,5.172676953306608,0.7300062978433238,nan,nan
lowrank_covariance,lowrank_gaussian,0.125,0,0,4,2,0,48,421933.53393793106,280958.95431518555,1.225464070417345,2.3922471832593026,0.26169956586623255,3.8211756167419435,0.7300062978433238,nan,nan
lowrank_covariance,lowrank_gaussian,0.125,0,0,8,1,0,48,195595.72854590416,280958.95431518555,0.8343691618308338,1.906997723261231,0.24802435219101884,4.031862158558682,0.7300062978433238,nan,nan
lowrank_covariance,lowrank_gaussian,0.125,0,0,8,2,0,48,457309.3871393204,280958.95431518555,1.2758030003669023,2.442068215649034,0.37110127526794195,2.69468219767766,0.7300062978433238,nan,nan
lowrank_covariance,lowrank_gaussian,0.25,0,0,16,1,0,48,115988.05199123174,280958.95431518555,0.6425178365421967,1.470615910798367,0.44923178673178676,2.226022355352714,0.8540340533687009,nan,nan
lowrank_covariance,lowrank_gaussian,0.25,0,0,16,2,0,48,259378.12969637662,280958.95431518555,0.9608270877514083,2.017918215749297,0.648499185999186,1.5420219818151866,0.8540340533687009,nan,nan
lowrank_covariance,lowrank_gaussian,0.25,0,0,4,1,0,48,83016.59914757311,280958.95431518555,0.5435769470460282,1.2465839161070353,0.3085724460724461,3.240730054572733,0.8540340533687009,nan,nan
lowrank_covariance,lowrank_gaussian,0.25,0,0,4,2,0,48,215514.59517940506,280958.95431518555,0.8758241263973192,1.902854727408119,0.36718050468050467,2.7234561401077966,0.8540340533687009,nan,nan
lowrank_covariance,lowrank_gaussian,0.25,0,0,8,1,0,48,103314.52864840627,280958.95431518555,0.6064000946362718,1.3967542819664651,0.355458892958893,2.813264824170948,0.8540340533687009,nan,nan
lowrank_covariance,lowrank_gaussian,0.25,0,0,8,2,0,48,243109.87221819907,280958.95431518555,0.9302075467295308,1.9743980064573952,0.46095339845339844,2.169416698857679,0.8540340533687009,nan,nan
residual_tail_polynomial,mean,0.125,0,1,0,0,0,48,5376.887322843075,280958.95431518555,0.13833880787547198,0.2872712905410814,nan,nan,0.7300062978433238,0.3573257529901134,19.596570127540165
residual_tail_polynomial,mean,0.125,0,2,0,0,0,48,3817.9002204351127,280958.95431518555,0.11657108751361402,0.2460979591896634,nan,nan,0.7300062978433238,0.0,19.596570127540165
residual_tail_polynomial,mean,0.125,0,3,0,0,0,48,3237.1207756325603,280958.95431518555,0.10733911558001931,0.2120136527484621,nan,nan,0.7300062978433238,0.2723602872962753,19.596570127540165
residual_tail_polynomial,mean,0.125,0,4,0,0,0,48,2418.5856967307627,280958.95431518555,0.0927810538566054,0.18704211025262138,nan,nan,0.7300062978433238,0.0,19.596570127540165
residual_tail_polynomial,mean,0.25,0,1,0,0,0,48,1888.0574360059109,280958.95431518555,0.08197589405557988,0.20955911325727414,nan,nan,0.8540340533687009,0.3463520153115193,18.52321257856157
residual_tail_polynomial,mean,0.25,0,2,0,0,0,48,1210.7128491072217,280958.95431518555,0.0656446197265998,0.17223672997896425,nan,nan,0.8540340533687009,0.0,18.52321257856157
residual_tail_polynomial,mean,0.25,0,3,0,0,0,48,1004.213137297309,280958.95431518555,0.05978490044292509,0.12666597324129186,nan,nan,0.8540340533687009,0.25935869063768124,18.52321257856157
residual_tail_polynomial,mean,0.25,0,4,0,0,0,48,689.073797492194,280958.95431518555,0.049523511266098295,0.10133995719398393,nan,nan,0.8540340533687009,0.0,18.52321257856157
residual_tail_polynomial,midrange,0.125,0,1,0,0,0,48,23918178.385452442,280958.95431518555,9.226619508997977,64.93086072756616,nan,nan,0.7300062978433238,0.4867797544639971,19.596570127540165
residual_tail_polynomial,midrange,0.125,0,2,0,0,0,48,7918.822476621717,280958.95431518555,0.1678838285470796,0.37076730589820095,nan,nan,0.7300062978433238,0.0,19.596570127540165
residual_tail_polynomial,midrange,0.125,0,3,0,0,0,48,5238990.286268353,280958.95431518555,4.318196068617445,33.077972536995595,nan,nan,0.7300062978433238,0.4016912555735972,19.596570127540165
