sample_id,prompt_index,seed,sampling_step,timestep,branch,layer,head,head_role_diagnostic_only,query_tile_start,density,selected_key_fraction,selected_attention_mass,reference_sq,diagnostic_oracle,claim_boundary,family,variant,landmarks,order,rank,components,restart,residual_sq,output_relative_l2,projected_query_work_ratio,arithmetic_speedup_upper_bound,omitted_online_cost,shared_denominator_min,shared_denominator_nonpositive_fraction,negative_tail_weight_fraction,tail_score_range_mean,tail_score_std_mean,tail_max_abs_centered_score,active_tail_groups,empty_cluster_fraction
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,value_aware_coreset,value_aware_kv_thw,64,0,0,0,0,2.6937479972839355,0.032651935287312694,0.12698412698412698,7.875,dense-oracle leverage and online weighted k-means/assignment,2.652024507522583,0.0,,,,,64.0,0.0
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,value_aware_coreset,value_aware_kv_thw,128,0,0,0,0,2.41556453704834,0.030920020083971645,0.12893772893772895,7.7556818181818175,dense-oracle leverage and online weighted k-means/assignment,2.652099132537842,0.0,,,,,128.0,0.0
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,centroid,0,0,0,1,0,3.3883204460144043,0.03662036621033991,0.1387057387057387,7.209507042253521,online group moment formation and batched K SVD,2.652466297149658,0.0,,,,,448.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,diag_gaussian,0,0,0,1,0,1.0373958349227905,0.02026295102674776,0.1523809523809524,6.562499999999999,online group moment formation and batched K SVD,2.6585817337036133,0.0,,,,,448.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,lowrank_gaussian,0,0,4,1,0,635.0875244140625,0.5013571761669393,0.1934065934065934,5.170454545454545,online group moment formation and batched K SVD,1.4015355110168457,0.0,,,,,448.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,lowrank_gaussian,0,0,8,1,0,1031.2498779296875,0.6388698599813137,0.24810744810744811,4.030511811023622,online group moment formation and batched K SVD,1.2613192796707153,0.0,,,,,448.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,lowrank_gaussian,0,0,16,1,0,1143.6455078125,0.6727847813690223,0.3575091575091575,2.7971311475409837,online group moment formation and batched K SVD,1.2385358810424805,0.0,,,,,448.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,centroid,0,0,0,2,0,3.19968318939209,0.03558639004981554,0.1523809523809524,6.562499999999999,online group moment formation and batched K SVD,2.652714967727661,0.0,,,,,896.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,diag_gaussian,0,0,0,2,0,0.9745112657546997,0.019639203796655076,0.17973137973137973,5.563858695652174,online group moment formation and batched K SVD,2.65938401222229,0.0,,,,,896.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,lowrank_gaussian,0,0,4,2,0,15763.7734375,2.49781653948681,0.2617826617826618,3.819962686567164,online group moment formation and batched K SVD,1.0000107288360596,0.0,,,,,896.0,
