sample_id,head,family,variant,density,landmarks,order,rank,components,restart,records,residual_sq,reference_sq,aggregate_output_relative_l2,record_error_max,projected_query_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,negative_tail_weight_fraction_mean,tail_score_range_mean,oracle_selection,envelope_family,envelope_sample_id,envelope_head
s00_p00_seed20260740,0,lowrank_covariance,diag_gaussian,0.25,0,0,0,1,0,3,0.3199425246566534,8542.2919921875,0.006119962733025758,0.0103646163034851,0.27334147334147335,3.6584276354973198,0.9949639042218527,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,0
s00_p00_seed20260740,1,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,43.31128787994385,7833.449462890625,0.07435737093551464,0.08090566078005676,0.2968660968660969,3.36852207293666,0.8265271782875061,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,1
s00_p00_seed20260740,2,lowrank_covariance,lowrank_gaussian,0.25,0,0,8,1,0,3,36.84194374084473,4401.456787109375,0.09148987754910852,0.11217645180381992,0.3554741554741555,2.813144034806503,0.806219240029653,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,2
s00_p00_seed20260740,3,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,2.006704293191433,7053.6998291015625,0.016866819709999533,0.02748233717429165,0.2968660968660969,3.36852207293666,0.979600707689921,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,3
s00_p00_seed20260740,4,lowrank_covariance,diag_gaussian,0.25,0,0,0,1,0,3,0.15266497107222676,6554.916259765625,0.0048259867583127876,0.009774730255651034,0.27334147334147335,3.6584276354973198,0.9948599338531494,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,4
s00_p00_seed20260740,5,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,8.636288940906525,4703.2095947265625,0.04285153814047415,0.056463827213345044,0.2968660968660969,3.36852207293666,0.915831983089447,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,5
s00_p00_seed20260740,6,lowrank_covariance,lowrank_gaussian,0.25,0,0,8,1,0,3,37.71918487548828,1398.0220642089844,0.16425709456451335,0.20256133775596724,0.3554741554741555,2.813144034806503,0.5529268582661947,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,6
s00_p00_seed20260740,7,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,61.19304275512695,3290.2501220703125,0.13637556639567658,0.18698460400814676,0.2968660968660969,3.36852207293666,0.7253251075744629,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,7
s00_p00_seed20260740,8,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,2.4698159843683243,7873.02197265625,0.017711753801126374,0.026275341110033663,0.2968660968660969,3.36852207293666,0.9782350262006124,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,8
s00_p00_seed20260740,9,lowrank_covariance,lowrank_gaussian,0.25,0,0,4,1,0,3,71.25028610229492,4252.831787109375,0.12943573780959178,0.1654175162046026,0.3085877085877086,3.2405697705091003,0.6769293149312338,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,9
s00_p00_seed20260740,10,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,8.643607497215271,6909.0235595703125,0.035370335718362005,0.04986364925638121,0.2968660968660969,3.36852207293666,0.9325286547342936,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,10
s00_p00_seed20260740,11,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,26.903276443481445,9705.0498046875,0.052650645846226106,0.06322041105518092,0.2968660968660969,3.36852207293666,0.8678021828333536,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s00_p00_seed20260740,11
s01_p01_seed20260740,0,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,0.8414711598306894,8908.81689453125,0.009718731890522463,0.015428681529575102,0.2968660968660969,3.36852207293666,0.9899618228276571,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,0
s01_p01_seed20260740,1,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,24.779205679893494,12100.85693359375,0.04525177583573379,0.06164417506199309,0.2968660968660969,3.36852207293666,0.9126680692036947,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,1
s01_p01_seed20260740,2,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,56.95723056793213,4643.1060791015625,0.11075673106490469,0.14782341132293725,0.2968660968660969,3.36852207293666,0.861146867275238,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,2
s01_p01_seed20260740,3,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,13.708429038524628,6890.876953125,0.04460223243778466,0.06597632004354144,0.2968660968660969,3.36852207293666,0.9390441179275513,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,3
s01_p01_seed20260740,4,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,0.5827778638340533,7283.115234375,0.00894525927346624,0.017709207400349397,0.2968660968660969,3.36852207293666,0.9868291616439819,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,4
s01_p01_seed20260740,5,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,13.101116418838501,3322.4146118164062,0.06279531435679252,0.07922326803649622,0.2968660968660969,3.36852207293666,0.8552539149920145,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,5
s01_p01_seed20260740,6,lowrank_covariance,lowrank_gaussian,0.25,0,0,16,1,0,3,26.556254148483276,1874.531005859375,0.11902469958072162,0.15798296371743029,0.4492470492470493,2.225946729479978,0.6084828774134318,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,6
s01_p01_seed20260740,7,lowrank_covariance,lowrank_gaussian,0.25,0,0,4,1,0,3,66.30050086975098,4290.252685546875,0.12431312064714381,0.16510281675931737,0.3085877085877086,3.2405697705091003,0.7762321432431539,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,7
s01_p01_seed20260740,8,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,9.079223155975342,6893.966552734375,0.03629023322826355,0.058856315808447204,0.2968660968660969,3.36852207293666,0.9308146635691324,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,8
s01_p01_seed20260740,9,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,54.37830638885498,5101.150146484375,0.103247319498984,0.12461693910993885,0.2968660968660969,3.36852207293666,0.7904232343037924,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,9
s01_p01_seed20260740,10,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,21.790934324264526,5414.8939208984375,0.06343704568534933,0.09093402760767624,0.2968660968660969,3.36852207293666,0.8544083833694458,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,10
s01_p01_seed20260740,11,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,30.834369659423828,10977.73388671875,0.05299820832561496,0.07722208960077968,0.2968660968660969,3.36852207293666,0.91446586449941,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s01_p01_seed20260740,11
s02_p00_seed20260741,0,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,1.4454473368823528,6240.0078125,0.015219786838423148,0.021322388192794424,0.2968660968660969,3.36852207293666,0.9815434018770853,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s02_p00_seed20260741,0
s02_p00_seed20260741,1,lowrank_covariance,diag_gaussian,0.25,0,0,0,2,0,3,18.922783136367798,9217.591796875,0.045308926270080346,0.06164931813953013,0.2968660968660969,3.36852207293666,0.9068168799082438,nan,nan,posthoc_per_record_minimum_output_error,lowrank_covariance,s02_p00_seed20260741,1
