probe,best_ssim
Q 4x6 both,0.9719512308755298
C 4x6 both,0.9333082107610775
C 1x3 both,0.9745089039063892
C 1x1 one CFG,0.973958541854572
forecast 1x1 one CFG,0.9759965722959978
"forecast 1x1, 4-sample worst",0.97085170152279
