probe,step,max_ssim,mean_ssim
Q 4x6,0,0.9380312580652159,0.8613515038807431
Q 4x6,4,0.9664738866555546,0.9466559919996118
Q 4x6,8,0.9708676597887785,0.9613449176639369
Q 4x6,12,0.9719512308755298,0.9707076247639568
Q 4x6,16,0.9708239004266398,0.9661715662357573
C 4x6,0,0.4385165077255268,0.3140786098845753
C 4x6,4,0.5632594540244754,0.49788879972951083
C 4x6,8,0.8815248615839226,0.8560397965418234
C 4x6,12,0.9333082107610775,0.9217673595286296
C 4x6,16,0.9128212803986209,0.8086518306142724
C 1x3,8,0.9629672692222191,0.9481040476991444
C 1x3,9,0.9656571701967768,0.9582738031035823
C 1x3,10,0.9684393784553971,0.9634874330620041
C 1x3,11,0.9697918525911149,0.9671364253527328
C 1x3,12,0.9712605285985978,0.9697491704290757
C 1x3,13,0.9716454834438139,0.970122049332822
C 1x3,14,0.9717666467363408,0.9710183119000145
C 1x3,15,0.9721645337621645,0.9715142067579838
C 1x3,16,0.9722589347131754,0.9714309742697533
C 1x3,17,0.9705180036912874,0.969414131227653
C 1x3,18,0.9697746218000761,0.9651758514503286
C 1x3,19,0.9745089039063892,0.9666376662781584
