family,scope,sample,layer,head,frame,grid_shape,map_id,entropy_mean,entropy_std,row_argmax_unique_fraction,col_mass_gini,top1_col_mass_fraction,top2_col_mass_fraction,top4_col_mass_fraction,sink2_cols,sink4_cols,local_radius1_mass,local_radius2_mass,top1_per_row_mass_mean,top2_per_row_mass_mean,top4_per_row_mass_mean,effective_rank,effective_rank_fraction,sink2_matrix_error,local1_matrix_error,row_top4_matrix_error,union_sink_local_top4_matrix_error,sink2_output_error,local1_output_error,row_top4_output_error,union_sink_local_top4_output_error,sink2_random_v_output_error,local1_random_v_output_error,row_top4_random_v_output_error,union_random_v_output_error
vit,patch_patch_resoftmax_exact_layer0,0,0,0,,8x8,vit:s0:l0:h0,1.1623926162719727,1.0827370882034302,0.0625,0.8596758842468262,0.41029560565948486,0.6518391370773315,0.7896108627319336,"20,2","20,2,6,0",0.12726861238479614,0.3896545469760895,0.651680588722229,0.7643068432807922,0.8898540735244751,4.554688930511475,0.07116701453924179,0.6544011831283569,1.3439221382141113,0.18638744950294495,0.13550043106079102,0.35948559641838074,0.8830220103263855,0.17033067345619202,0.11492134630680084,0.8024645447731018,1.4237878322601318,0.1707942634820938,0.12243810296058655
vit,patch_patch_resoftmax_exact_layer0,0,0,1,,8x8,vit:s0:l0:h1,1.475773572921753,1.2444334030151367,0.109375,0.8057451248168945,0.3658459782600403,0.5324054956436157,0.7167049050331116,"13,60","13,60,61,41",0.1350668966770172,0.41883760690689087,0.5387160778045654,0.6993343830108643,0.8081716299057007,5.293270587921143,0.08270735293626785,0.8983733654022217,1.420210599899292,0.27407482266426086,0.20039118826389313,0.40340957045555115,0.8549162149429321,0.22615499794483185,0.1470523327589035,0.9074432849884033,1.483076810836792,0.29545947909355164,0.21202822029590607
vit,patch_patch_resoftmax_exact_layer0,0,0,2,,8x8,vit:s0:l0:h2,1.6539385318756104,1.042684555053711,0.125,0.7870266437530518,0.22445793449878693,0.4367479979991913,0.6997425556182861,"8,59","8,59,51,20",0.15082885324954987,0.4367673993110657,0.45440125465393066,0.7088096141815186,0.8144088983535767,7.040877819061279,0.11001371592283249,1.147972583770752,1.523131251335144,0.3051603436470032,0.2183299958705902,0.7875258922576904,1.1452678442001343,0.23194506764411926,0.1618867665529251,1.232272744178772,1.6822277307510376,0.3207067549228668,0.24742236733436584
vit,patch_patch_resoftmax_exact_layer0,0,0,3,,8x8,vit:s0:l0:h3,1.3167892694473267,1.2243939638137817,0.125,0.8320398330688477,0.40010690689086914,0.5564960241317749,0.7565593719482422,"5,55","5,55,34,22",0.11104539781808853,0.3698691427707672,0.5709989666938782,0.6984180808067322,0.8531997799873352,5.047885417938232,0.07887320965528488,0.8606475591659546,1.4057508707046509,0.22598953545093536,0.1581733375787735,0.5845913290977478,1.3960357904434204,0.24992972612380981,0.18816696107387543,0.8687658309936523,1.4530479907989502,0.23775912821292877,0.16501902043819427
vit,patch_patch_resoftmax_exact_layer0,0,0,4,,8x8,vit:s0:l0:h4,1.2817331552505493,1.1379410028457642,0.109375,0.8299634456634521,0.3422255218029022,0.5638492107391357,0.7897897362709045,"55,49","55,49,28,9",0.12097923457622528,0.39920520782470703,0.5718181729316711,0.7897424697875977,0.8628581166267395,4.836277008056641,0.07556682825088501,0.823011040687561,1.4218254089355469,0.22989721596240997,0.15242090821266174,0.4384860098361969,1.097480297088623,0.23992255330085754,0.1660640686750412,0.6817440390586853,1.2711238861083984,0.1988021433353424,0.13811525702476501
vit,patch_patch_resoftmax_exact_layer0,0,0,5,,8x8,vit:s0:l0:h5,0.7666237354278564,1.0998555421829224,0.046875,0.8833540678024292,0.439875990152359,0.7871589660644531,0.8800356388092041,"34,31","34,31,36,63",0.12970323860645294,0.3693302869796753,0.7872995734214783,0.8721110820770264,0.9107182025909424,3.907728672027588,0.06105826050043106,0.4471372365951538,1.2883343696594238,0.14814266562461853,0.10505252331495285,0.428158700466156,1.2205345630645752,0.14259256422519684,0.1058168038725853,0.4657718241214752,1.2771891355514526,0.14886635541915894,0.10479715466499329
vit,patch_patch_resoftmax_exact_layer0,1,0,0,,8x8,vit:s1:l0:h0,1.6211910247802734,1.1307475566864014,0.109375,0.7920007705688477,0.3345683515071869,0.493551641702652,0.6794395446777344,"12,46","12,46,29,48",0.13277526199817657,0.3645961880683899,0.49449002742767334,0.6459794044494629,0.8111146092414856,5.947879791259766,0.09293562173843384,0.9893938899040222,1.4875344038009644,0.2908356487751007,0.2111586332321167,0.6694610118865967,1.179616928100586,0.19440613687038422,0.14395968616008759,0.9435418844223022,1.4559080600738525,0.30605077743530273,0.2168354094028473
vit,patch_patch_resoftmax_exact_layer0,1,0,1,,8x8,vit:s1:l0:h1,1.5334540605545044,1.3639464378356934,0.09375,0.7644518613815308,0.32395899295806885,0.6014881134033203,0.6955645680427551,"33,34","33,34,30,12",0.14086289703845978,0.41295355558395386,0.6022659540176392,0.693115234375,0.7844109535217285,5.306870460510254,0.08291985094547272,0.7412066459655762,1.3554874658584595,0.2830529510974884,0.19383776187896729,0.5035985708236694,0.8217980861663818,0.22124193608760834,0.14722050726413727,0.745745837688446,1.4079432487487793,0.2988681495189667,0.21033354103565216
vit,patch_patch_resoftmax_exact_layer0,1,0,2,,8x8,vit:s1:l0:h2,1.545691728591919,1.1479287147521973,0.140625,0.809058666229248,0.3272086977958679,0.5332894325256348,0.687235951423645,"44,1","44,1,53,2",0.15111856162548065,0.44614535570144653,0.5359201431274414,0.6955234408378601,0.7986047863960266,6.180691719055176,0.09657330811023712,0.9082025289535522,1.419524073600769,0.2832905352115631,0.21724697947502136,0.4366884231567383,0.9168983697891235,0.19094431400299072,0.15695661306381226,1.0386757850646973,1.4598252773284912,0.27073895931243896,0.21290147304534912
vit,patch_patch_resoftmax_exact_layer0,1,0,3,,8x8,vit:s1:l0:h3,1.1733512878417969,1.2983644008636475,0.109375,0.8133761882781982,0.3849700391292572,0.6812271475791931,0.7945442199707031,"14,35","14,35,52,8",0.1371072679758072,0.3658846616744995,0.6831207871437073,0.7952797412872314,0.8386715650558472,4.4944610595703125,0.07022595405578613,0.5967509746551514,1.307852864265442,0.2321549355983734,0.1572514772415161,0.6023164391517639,1.3921546936035156,0.2756507694721222,0.1756836473941803,0.5889932513237,1.391173005104065,0.23753172159194946,0.16298280656337738
