family,bucket,n,sink_threshold_q25,sink_threshold_q75,mean_top2_col_mass_fraction,mean_entropy_mean,mean_effective_rank_fraction,mean_row_argmax_unique_fraction,mean_base_output_norm,mean_value_norm,mean_drop_sink2_output_error,mean_sink2_raw_component_norm_ratio,mean_union_sink_local_top4_output_error,mean_drop_union_sink_local_top4_output_error,mean_union_random_v_output_error,mean_base_output_norm_over_value_norm
qwen3vl_visual,low_sink_q1,24,0.10742933861911297,0.28137756884098053,0.07770538004115224,4.4114658037821455,0.2557591311633587,0.22746598639455784,20.65167458852132,42.295411030451454,0.21750160368780294,0.2224704997303585,0.9070409576719006,0.48045713144044083,1.9762726556509733,0.5009950972505585
qwen3vl_visual,high_sink_q4,24,0.10742933861911297,0.28137756884098053,0.3917371730009715,2.6380357990662255,0.23689352441579103,0.14879623724489796,31.07926078637441,65.55220397313435,0.6871141555408636,0.38240119131902855,0.40657964659233886,1.0581539596120517,0.44741667558749515,0.4493810972901617
vit,low_sink_q1,48,0.27168572694063187,0.5971317887306213,0.18910297068456808,2.877540652950605,0.08630545064806938,0.08658854166666667,44.328169306119285,46.34838151931763,0.06994687781358759,0.2526919146378835,0.08847173396497965,0.12965017809377363,0.8767193208138148,0.9528577792067997
vit,high_sink_q4,48,0.27168572694063187,0.5971317887306213,0.7092010080814362,1.036148192981879,0.06227856082841754,0.07259114583333333,89.17291561762492,100.35303592681885,0.7658522942413887,0.8621723428368568,0.10261663343165613,0.8650071282560626,0.13399382704907717,0.8999365241299255
