key,label,map_id,order,is_current_order,relative_fro_error
ex0,ViT L0 H0,vit:s0:l0:h0,sink>global_svd>local_cyclic>sparse_routing,False,0.03520250392977969
ex0,ViT L0 H0,vit:s0:l0:h0,sink>global_svd>sparse_routing>local_cyclic,False,0.035191467364151005
ex0,ViT L0 H0,vit:s0:l0:h0,sink>local_cyclic>global_svd>sparse_routing,True,0.03783255766426768
ex0,ViT L0 H0,vit:s0:l0:h0,sink>local_cyclic>sparse_routing>global_svd,False,0.021620818241489505
ex0,ViT L0 H0,vit:s0:l0:h0,sink>sparse_routing>global_svd>local_cyclic,False,0.015685046631624507
ex0,ViT L0 H0,vit:s0:l0:h0,sink>sparse_routing>local_cyclic>global_svd,False,0.01767894750041199
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd>sink>local_cyclic>sparse_routing,False,0.1171271144707252
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd>sink>sparse_routing>local_cyclic,False,0.11876545690010178
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd>local_cyclic>sink>sparse_routing,False,0.1749873144978521
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd>local_cyclic>sparse_routing>sink,False,0.18214914458122955
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd>sparse_routing>sink>local_cyclic,False,0.15414031205733802
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd>sparse_routing>local_cyclic>sink,False,0.1541403120573305
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic>sink>global_svd>sparse_routing,False,0.1653848617267161
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic>sink>sparse_routing>global_svd,False,0.16254210644041606
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic>global_svd>sink>sparse_routing,False,0.17580988219610758
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic>global_svd>sparse_routing>sink,False,0.18305036887328854
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic>sparse_routing>sink>global_svd,False,0.16173574977447916
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic>sparse_routing>global_svd>sink,False,0.1617357612793085
ex0,ViT L0 H0,vit:s0:l0:h0,sparse_routing>sink>global_svd>local_cyclic,False,0.011907357376688903
