key,label,map_id,family,source_input_id,grid_shape,n,category,method,block_size,kernel_rank,stored_value_count,identifiable_value_count,index_bits_total,scale_count,parameter_bits,parameter_equivalent_fp16,parameter_fraction_of_dense_fp16,compression_ratio_vs_dense_fp16,raw_relative_fro_error,relative_fro_error,normalized_mse,mean_row_kl,mean_row_js,mean_row_tv,raw_row_sum_mae,target_fitted_oracle,pareto_nrmse,scale_rank,blocks_per_axis,block_count,kernel_energy_capture,scale_mean,scale_std,scale_cv,scale_min,scale_max,rank1_kernel_energy_capture,fixed_kernel_coefficient_sse_second_derivative,fixed_kernel_matrix_sse_second_derivative,gamma_quadratic_note,coefficient_manifold_dof_pre_row_normalization,generic_row_normalized_manifold_dof_upper_bound,identifiable_note,signed_factor_then_clamp,redundancy_note,scale_gamma,reoptimized_kernel,quant_bits,scale_scheme,quant_code_slots,continuous_scale_dof_after_row_normalization,minimal_functional_scale_count,minimal_functional_parameter_bits,minimal_functional_parameter_fraction_of_dense_fp16,quantization_payload_note,excess_normalized_mse_vs_fp16_independent,compensation_mask,compensation,sink_k,residual_rank,sparse_k,local_radius,oracle_support,fit_order,comparison_design,interpretation_note,budget_cap_bits,budget_utilization,compensation_amount,component_fit_order
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,2,1,0,0,32,2.0,0.00048828125,2048.0,0.9905160180845849,0.9905160180845854,0.9811219820821429,3.6727318124158628,0.5899258946266288,0.9225937633646104,3.6408236425700125e-09,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.0,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_fixed_kernel,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.8846121104131013,0.8845718120509006,0.7824672906750139,1.8672964361430564,0.4466242836319074,0.8177696253099036,0.001556129447004135,True,False,,32,1024,,1.0000000000000002,4.903478113990942,4.903478113990941,4.466539089657978e-36,31.81654299511366,0.937415779464029,24.138108992054388,48.276217984108776,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7932360588770558,0.8845404801866691,0.7824118610888632,1.8672710338285854,0.4466236900547414,0.8177877128087148,1.8005827382852297,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.25,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_fixed_kernel,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.8004331970219577,0.8003139671286686,0.6405024459812277,1.3159652568872593,0.35391137311940923,0.7166433959027875,0.0031122607144200704,True,False,,32,1024,,1.0000000000000002,4.903478113990942,4.903478113990941,4.466539089657978e-36,31.81654299511366,0.937415779464029,24.138108992054388,48.276217984108776,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.5,False,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7371519234021142,0.8002597380887153,0.6404156484058192,1.3159568339555303,0.35390588760755465,0.7166483160945192,0.8568235295417513,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_fixed_kernel,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7453765042567112,0.7452347815934203,0.5553748796965928,0.9851131866065026,0.2827259322809898,0.6179099619974857,0.004668391981835999,True,False,,32,1024,,1.0000000000000002,4.903478113990942,4.903478113990941,4.466539089657978e-36,31.81654299511366,0.937415779464029,24.138108992054388,48.276217984108776,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.75,False,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7274344809141869,0.7451851077348286,0.5553008447897682,0.9851273602581607,0.282716750648584,0.6178917958178295,0.30998739873764175,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,0.75,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_fixed_kernel,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7260971536227152,0.7261111002253631,0.5272373298704872,0.7619189176493328,0.22717517727458145,0.5254273824174325,0.006224523249251889,True,False,,32,1024,,1.0000000000000002,4.903478113990942,4.903478113990941,4.466539089657978e-36,31.81654299511366,0.937415779464029,24.138108992054388,48.276217984108776,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7260907764119828,0.7261072609197556,0.52723175436039,0.7619670812493725,0.2271625250999657,0.5253365226784467,0.006832258097721873,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_fixed_kernel,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7447488758616185,0.7268057478671308,0.5282465951326993,0.989224919711728,0.2298399601489713,0.525255267093027,0.1942353573023793,True,False,,32,1024,,1.0000000000000002,4.903478113990942,4.903478113990941,4.466539089657978e-36,31.81654299511366,0.937415779464029,24.138108992054388,48.276217984108776,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,1.25,False,,,,,,,,,,,,,,,,,,,,,,,
