key,label,map_id,family,source_input_id,grid_shape,n,category,method,block_size,kernel_rank,stored_value_count,identifiable_value_count,index_bits_total,scale_count,parameter_bits,parameter_equivalent_fp16,parameter_fraction_of_dense_fp16,compression_ratio_vs_dense_fp16,raw_relative_fro_error,relative_fro_error,normalized_mse,mean_row_kl,mean_row_js,mean_row_tv,raw_row_sum_mae,target_fitted_oracle,pareto_nrmse,scale_rank,blocks_per_axis,block_count,kernel_energy_capture,quant_bits,scale_scheme,quant_code_slots,continuous_scale_dof_after_row_normalization,minimal_functional_scale_count,minimal_functional_parameter_bits,minimal_functional_parameter_fraction_of_dense_fp16,quantization_payload_note,excess_normalized_mse_vs_fp16_independent,compensation_mask,compensation,sink_k,residual_rank,sparse_k,local_radius,oracle_support,signed_factor_then_clamp,fit_order,comparison_design,interpretation_note,budget_cap_bits,budget_utilization,compensation_amount,component_fit_order,coefficient_manifold_dof_pre_row_normalization,generic_row_normalized_manifold_dof_upper_bound,identifiable_note,scale_mean,scale_std,scale_cv,scale_min,scale_max,rank1_kernel_energy_capture,fixed_kernel_coefficient_sse_second_derivative,fixed_kernel_matrix_sse_second_derivative,gamma_quadratic_note
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,baseline,dense,,,4096,4032,0,0,65536,4096.0,1.0,1.0,0.0,6.379107227839474e-08,4.0693009024273825e-15,1.2476812257833198e-17,0.0,2.3872801300820943e-08,4.774560260177585e-08,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,baseline,uniform_no_payload,,0,0,0,0,0,0,0.0,0.0,,0.9905531316880454,0.9905531316880454,0.9811955066969942,3.6746880637777055,0.5897974212849093,0.922348942533459,0.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,backbone,shared_kernel,2,1,2,1,0,0,32,2.0,0.00048828125,2048.0,0.9905160180845849,0.9905160180845854,0.9811219820821429,3.6727318124158628,0.5899258946266291,0.9225937633646103,3.6408236425700125e-09,True,True,0,32,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,backbone,column_block_scale,2,1,34,32,0,32,544,34.0,0.00830078125,120.47058823529412,0.8674723299385027,0.8674759699744746,0.7525145584831556,1.4635840647751643,0.3803848301000905,0.7452747129888977,0.0050260574043968775,True,True,,32,1024,0.9844870851926076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_global,2,2,2048,,0,1,4112,257.0,0.062744140625,15.937743190661479,0.7095398235906569,0.7287529930613836,0.5310809248959251,3.28158215181122,0.2355531882126296,0.49680577418066796,0.11267471313476562,True,True,,32,1024,,2,global,2048,0,0,4096,0.0625,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.03543789729483604,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_block_row,2,2,2048,,0,32,4608,288.0,0.0703125,14.222222222222221,0.7074961480901037,0.726781734754426,0.5282116899726528,3.168176662986688,0.2343103298118818,0.4966307892652846,0.08922958374023438,True,True,,32,1024,,2,block_row,2048,0,0,4096,0.0625,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.03256866237156375,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_global,2,2,2048,,0,1,6160,385.0,0.093994140625,10.638961038961039,0.7063901108363683,0.7119135216854278,0.5068208623585481,2.411428752256751,0.22676404951588192,0.49767928120355176,0.0712890625,True,True,,32,1024,,3,global,2048,0,0,6144,0.09375,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.011177834757459038,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,backbone,shared_kernel,4,1,4,3,0,0,64,4.0,0.0009765625,1024.0,0.9904795362082364,0.9904795362082365,0.9810497116472833,3.6708746115977,0.589884466238338,0.9226098529219788,3.6408236425700125e-09,True,True,0,16,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,backbone,column_block_scale,4,1,20,18,0,16,320,20.0,0.0048828125,204.8,0.9352616592873191,0.9352640604283544,0.8747188627289326,2.10180857063939,0.4845821155385448,0.8597982340952067,0.005951788595567775,True,True,,16,256,0.9842389953465084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_global,4,4,1024,,0,1,3088,193.0,0.047119140625,21.22279792746114,0.8652099896432036,0.8662646127969326,0.7504143793842195,2.9554620081011276,0.3795097924923816,0.7433974180360399,0.05234718322753906,True,True,,16,256,,3,global,1024,0,0,3072,0.046875,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.003499237063633198,,,,,,,,,,,,,,,,,,,,,,,,,,,
