key,label,map_id,left,right,background_mask,background,background_size,interaction,is_empty_context,is_full_context
ex0,ViT L0 H0,vit:s0:l0:h0,sink,global_svd,0,empty,0,0.537564108457627,True,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,global_svd,4,local_cyclic,1,0.24875216014917179,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,global_svd,8,sparse_routing,1,0.0802942618749587,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,global_svd,12,local_cyclic+sparse_routing,2,0.20790258710369325,False,True
ex0,ViT L0 H0,vit:s0:l0:h0,sink,local_cyclic,0,empty,0,0.0944964845480043,True,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,local_cyclic,2,global_svd,1,-0.19431546376045095,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,local_cyclic,8,sparse_routing,1,-0.33311012361240133,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,local_cyclic,10,global_svd+sparse_routing,2,-0.20550179838366678,False,True
ex0,ViT L0 H0,vit:s0:l0:h0,sink,sparse_routing,0,empty,0,0.4845977837153872,True,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,sparse_routing,2,global_svd,1,0.02732793713271886,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,sparse_routing,4,local_cyclic,1,0.056991175554981566,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,sink,sparse_routing,6,global_svd+local_cyclic,2,0.016141602509503028,False,True
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,local_cyclic,0,empty,0,0.26351452928399866,True,False
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,local_cyclic,1,sink,1,-0.02529741902445659,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,local_cyclic,8,sparse_routing,1,-0.14536396279407215,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,local_cyclic,9,sink+sparse_routing,2,-0.0177556375653376,False,True
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,sparse_routing,0,empty,0,0.4093748572368012,True,False
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,sparse_routing,1,sink,1,-0.04789498934586711,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,sparse_routing,4,local_cyclic,1,0.0004963651587304163,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,sparse_routing,5,sink+local_cyclic,2,-0.04035320788674812,False,True
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic,sparse_routing,0,empty,0,0.41763323850157796,True,False
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic,sparse_routing,1,sink,1,-0.009973369658827669,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic,sparse_routing,2,global_svd,1,0.008754746423507154,False,False
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic,sparse_routing,3,sink+global_svd,2,-0.0024315881997086786,False,True
ex1,ViT L5 H0,vit:s0:l5:h0,sink,global_svd,0,empty,0,2.116457155041078,True,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,global_svd,4,local_cyclic,1,0.4927129480476984,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,global_svd,8,sparse_routing,1,-0.03574633343163258,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,global_svd,12,local_cyclic+sparse_routing,2,0.5358588469921934,False,True
ex1,ViT L5 H0,vit:s0:l5:h0,sink,local_cyclic,0,empty,0,1.578994527789691,True,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,local_cyclic,2,global_svd,1,-0.04474967920368789,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,local_cyclic,8,sparse_routing,1,-0.6156644529249466,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,local_cyclic,10,global_svd+sparse_routing,2,-0.04405927250112063,False,True
ex1,ViT L5 H0,vit:s0:l5:h0,sink,sparse_routing,0,empty,0,2.1581417770491123,True,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,sparse_routing,2,global_svd,1,0.0059382885764022175,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,sparse_routing,4,local_cyclic,1,-0.036517203665525466,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,sink,sparse_routing,6,global_svd+local_cyclic,2,0.006628695278969476,False,True
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,local_cyclic,0,empty,0,0.6170674837989722,True,False
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,local_cyclic,1,sink,1,-1.0066767231944067,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,local_cyclic,8,sparse_routing,1,-1.4629734958095904,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,local_cyclic,9,sink+sparse_routing,2,-0.8913683153857643,False,True
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,sparse_routing,0,empty,0,1.9626001340353083,True,False
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,sparse_routing,1,sink,1,-0.18960335443740184,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,sparse_routing,4,local_cyclic,1,-0.1174408455732544,False,False
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,sparse_routing,5,sink+local_cyclic,2,-0.07429494662875946,False,True
ex1,ViT L5 H0,vit:s0:l5:h0,local_cyclic,sparse_routing,0,empty,0,2.0812038433524074,True,False
