target_key,target_label,target_map_id,target_family,source_key,source_label,source_map_id,source_family,same_family,grid_shape,n,target_grid_bccb_error,target_monarch_proxy_error,target_oracle_hybrid_error,target_support_mask_error,source_support_transfer_error,source_hybrid_template_error,source_attention_template_error,support_jaccard,sink_jaccard,sparse_route_jaccard,target_support_density,source_support_density
ex0,ViT L0 H0,vit:s0:l0:h0,vit,ex1,ViT L5 H0,vit:s0:l5:h0,vit,True,8x8,64,0.9849249124526978,0.6653580069541931,0.03783255766426767,0.13618323410718752,1.088540003683237,1.0098050904855698,1.009817636934471,0.5949238578680203,0.0,0.014925373134328358,0.184814453125,0.19873046875
ex0,ViT L0 H0,vit:s0:l0:h0,vit,ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,False,8x8,64,0.9849249124526978,0.6653580069541931,0.03783255766426767,0.13618323410718752,1.1258007520309719,1.0208135596695491,1.015290397841276,0.5977366255144033,0.0,0.0049261083743842365,0.184814453125,0.1943359375
ex1,ViT L5 H0,vit:s0:l5:h0,vit,ex0,ViT L0 H0,vit:s0:l0:h0,vit,True,8x8,64,0.842901349067688,1.226486325263977,0.13417298897865707,1.3854808506657772,2.0420522647106747,3.911953180227421,3.95944164146339,0.5949238578680203,0.0,0.014925373134328358,0.19873046875,0.184814453125
ex1,ViT L5 H0,vit:s0:l5:h0,vit,ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,False,8x8,64,0.842901349067688,1.226486325263977,0.13417298897865707,1.3854808506657772,2.176880012257364,1.2664361965128255,1.2248856084961823,0.5799803729146222,0.0,0.007874015748031496,0.19873046875,0.1943359375
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,ex0,ViT L0 H0,vit:s0:l0:h0,vit,False,8x8,64,0.6954010725021362,0.2441105842590332,0.29046360692378104,0.9527674593433966,1.5292105503168547,3.7120273577075,3.757159348490598,0.5977366255144033,0.0,0.0049261083743842365,0.1943359375,0.184814453125
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,ex1,ViT L5 H0,vit:s0:l5:h0,vit,False,8x8,64,0.6954010725021362,0.2441105842590332,0.29046360692378104,0.9527674593433966,1.4505841294635053,1.1196648530507194,1.1560426955121206,0.5799803729146222,0.0,0.007874015748031496,0.1943359375,0.19873046875
