scope,family,method,maps,mean_matrix_error,std_matrix_error,p10_matrix_error,p50_matrix_error,p90_matrix_error,frac_matrix_error_lt_0p5,mean_output_error,frac_output_error_lt_0p2,winner_rate,layer,mean_grid_error,std_grid_error,frac_grid_error_lt_0p6,mean_grid_output_error,branch,records,mean_attention_r2,std_attention_r2,frac_attention_r2_ge_0p7,frac_attention_r2_lt_0p2,mean_attention_error,paired_layer_heads,mean_abs_r2_delta,corr_high_low_r2,same_side_0p7_rate,head,attention_r2,attention_error,logits_r2,logits_error,label,map_id,grid_shape,n,entropy_mean,entropy_std,row_argmax_unique_fraction,col_mass_gini,top1_col_mass_fraction,top2_col_mass_fraction,top4_col_mass_fraction,local_radius1_mass,local_radius2_mass,top1_per_row_mass_mean,top2_per_row_mass_mean,top4_per_row_mass_mean,effective_rank,effective_rank_fraction,proxy_matrix_error,proxy_output_error,hybrid_matrix_error,hybrid_output_error,hybrid_sink_mass,hybrid_local_mass,hybrid_global_svd_mass,hybrid_sparse_mass
attention_replacement,qwen3vl_visual,grid_cyclic_bccb,96,0.8815093121180931,0.07956730239311172,0.7556046843528748,0.9185056984424591,0.9616734981536865,0.0,0.7654066554581126,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,qwen3vl_visual,flat_block_circulant,96,0.7337812669575214,0.08839348806804488,0.6158372759819031,0.7533836662769318,0.8285394608974457,0.010416666666666666,0.5936513150421282,0.0,0.23958333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,qwen3vl_visual,permuted_flat_block_circulant,96,0.7135032173246145,0.10424431668093938,0.5905262529850006,0.7549116909503937,0.8241574764251709,0.041666666666666664,0.5752946416226526,0.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,qwen3vl_visual,monarch_like_mask_proxy,96,0.5208597435072685,0.25103880091895064,0.21325995028018951,0.6042481064796448,0.8054802715778351,0.4479166666666667,0.47033618491453427,0.20833333333333334,0.6770833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,vit,grid_cyclic_bccb,96,0.9259552030513684,0.07220937947303434,0.8323431313037872,0.9590162336826324,0.9854979515075684,0.0,0.7174878511577845,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,vit,flat_block_circulant,96,0.7664865556483468,0.12048749450444707,0.5559234619140625,0.8304513394832611,0.8641996383666992,0.03125,0.45913904812186956,0.09375,0.052083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,vit,permuted_flat_block_circulant,96,0.7432560020436844,0.11851263976379023,0.5414538383483887,0.7840648293495178,0.8555421829223633,0.041666666666666664,0.43960327620152384,0.09375,0.23958333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention_replacement,vit,monarch_like_mask_proxy,96,0.6191408998953799,0.12270955950571003,0.4739663153886795,0.6374226808547974,0.752384215593338,0.16666666666666666,0.26668948808219284,0.4375,0.7083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_grid_bccb_stability,qwen3vl_visual,,24,,,,,,,,,,0,0.8480769346157709,0.05719336933653048,0.0,0.7035537821551164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_grid_bccb_stability,qwen3vl_visual,,24,,,,,,,,,,8,0.784695086379846,0.04984084642108291,0.0,0.576206274330616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
