key,label,map_id,family,source_input_id,method,block_size,permutation,relative_fro_error,true_v_output_relative_error,params,dense_params,compression_ratio,original_scope,original_note,proxy_definition,selection_metric,is_attention_only_rollout,scope_note,selection_candidates,target_selected_oracle
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,grid_cyclic_bccb,grid,identity,0.9849249124526978,1.0982468128204346,64,4096,64.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,flat_block_circulant,4,identity,0.8642424941062927,0.9455305933952332,1024,4096,4.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,permuted_flat_block_circulant,4,row=identity;col=bit_reverse_padded,0.8618378043174744,0.8485502004623413,1024,4096,4.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,monarch_like_mask_proxy,4,row=interleave_groups16;col=stride7,0.878354549407959,1.2046068906784058,496,4096,8.258064516129032,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",attention retained by the union of identity and fixed-permutation block-diagonal masks; not a trained Monarch factorization,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,flat_block_circulant,8,identity,0.9343782663345337,1.1743100881576538,512,4096,8.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,permuted_flat_block_circulant,8,row=stride5;col=bit_reverse_padded,0.9320136308670044,0.9334642887115479,512,4096,8.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,monarch_like_mask_proxy,8,row=interleave_groups32;col=interleave_groups16,0.7273926138877869,0.886914849281311,960,4096,4.266666666666667,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",attention retained by the union of identity and fixed-permutation block-diagonal masks; not a trained Monarch factorization,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,flat_block_circulant,16,identity,0.9666928052902222,1.1260745525360107,256,4096,16.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,permuted_flat_block_circulant,16,row=identity;col=interleave_groups8,0.9645414352416992,0.9123279452323914,256,4096,16.0,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,monarch_like_mask_proxy,16,row=identity;col=interleave_groups32,0.4967788755893707,0.689335286617279,1792,4096,2.2857142857142856,patch_patch_resoftmax_exact_layer0,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",attention retained by the union of identity and fixed-permutation block-diagonal masks; not a trained Monarch factorization,minimum relative_fro_error on the same target A,False,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,grid_cyclic_bccb,grid,identity,0.842901349067688,0.3301636278629303,64,4096,64.0,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,flat_block_circulant,4,identity,0.42794761061668396,0.056104809045791626,1024,4096,4.0,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,permuted_flat_block_circulant,4,row=interleave_groups32;col=identity,0.42840370535850525,0.05702045559883118,1024,4096,4.0,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,monarch_like_mask_proxy,4,row=interleave_groups8;col=stride7,0.9333059787750244,0.18084745109081268,495,4096,8.274747474747475,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",attention retained by the union of identity and fixed-permutation block-diagonal masks; not a trained Monarch factorization,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,flat_block_circulant,8,identity,0.584743320941925,0.0890643447637558,512,4096,8.0,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,1,False
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,permuted_flat_block_circulant,8,row=interleave_groups8;col=identity,0.5790743231773376,0.09257803857326508,512,4096,8.0,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,monarch_like_mask_proxy,8,row=interleave_groups16;col=interleave_groups8,0.8762869238853455,0.07101426273584366,960,4096,4.266666666666667,patch_patch_resoftmax_attention_only_rollout,"ViT checkpoint is SCTM; layer0 input is exact, later layers use dense attention-only rollout without logic FFN.",attention retained by the union of identity and fixed-permutation block-diagonal masks; not a trained Monarch factorization,minimum relative_fro_error on the same target A,True,Saved scalar from the original run; preserve original_scope because some ViT later-layer values are attention-only rollout rather than an exact head output. V is not persisted and new variants cannot be evaluated with true V.,63,True
