key,source_input_id,comparison_scope,selection_metric,payload_cap_fraction,matched_parameter_bits,matched_payload_fraction,matched_compression_ratio,closest_single_parameter_bits,single_rate_coverage,strict_rate_coverage_pass,single_method,single_category,single_parameter_bits,selected_single_rate_coverage,single_quant_bits,single_prune_fraction,single_loss,combo_method,combo_parameter_bits,combo_quant_bits,combo_prune_fraction,combo_compensation,combo_scale_mode,combo_loss,relative_combo_gain,combo_wins,single_damped_hessian_quadratic,combo_damped_hessian_quadratic,same_selection_relative_hessian_gain,single_endpoint_kl,combo_endpoint_kl,same_selection_relative_endpoint_kl_gain,single_inside_taylor_comfort_zone,combo_inside_taylor_comfort_zone,combo_hessian_correlation
vit_ex0,vit:s0,all_candidates,mean_damped_hessian_quadratic,0.2,12416,0.189453125,5.278350515463917,12416,1.0,True,dense_mixed_q2_q3_damped_hessian_h49,single_quantization,12416,1.0,2.765625,0.0,0.10205845287876181,obs_prune_p70_q6_max_scale,12416,6,0.7,obs,max_scale,0.003957791248961749,0.96122034836582,True,0.10205845287876181,0.003957791248961749,0.96122034836582,0.36798569071603043,0.008706337752705944,0.976340553525967,False,False,1.007032320741169e-16
vit_ex0,vit:s0,all_candidates,mean_actual_kl,0.2,12160,0.185546875,5.389473684210526,12160,1.0,True,dense_mixed_q2_q3_endpoint_kl_h45,single_quantization,12160,1.0,2.703125,0.0,0.34092275472009537,naive_prune_p65_q5_loss_optimal_scale,12160,5,0.65,naive,loss_optimal_scale,0.006801743055160826,0.9800490200170264,True,0.13123368639576483,0.0052439747504389395,0.960040939986822,0.34092275472009537,0.006801743055160826,0.9800490200170264,False,False,-0.16832326038347387
vit_ex0,vit:s0,all_candidates,mean_damped_hessian_quadratic,0.25,16256,0.248046875,4.031496062992126,16256,1.0,True,dense_mixed_q3_q4_damped_hessian_h45,single_quantization,16256,1.0,3.703125,0.0,0.010297773216878033,naive_prune_p55_q6_loss_optimal_scale,16256,6,0.55,naive,loss_optimal_scale,0.0017514881909059142,0.8299158318970136,True,0.010297773216878033,0.0017514881909059142,0.8299158318970136,0.01281637723091086,0.0029270650520236184,0.7716152545070186,True,False,-0.003348687583882786
vit_ex0,vit:s0,all_candidates,mean_actual_kl,0.25,16256,0.248046875,4.031496062992126,16256,1.0,True,dense_mixed_q3_q4_endpoint_kl_h45,single_quantization,16256,1.0,3.703125,0.0,0.012711290344802456,naive_prune_p55_q6_loss_optimal_scale,16256,6,0.55,naive,loss_optimal_scale,0.0029270650520236184,0.7697271502243301,True,0.010331831875638138,0.0017514881909059142,0.830476510652886,0.012711290344802456,0.0029270650520236184,0.7697271502243301,True,False,-0.003348687583882786
vit_ex0,vit:s0,all_candidates,mean_damped_hessian_quadratic,0.3,19456,0.296875,3.3684210526315788,19456,1.0,True,dense_mixed_q4_q5_damped_hessian_h31,single_quantization,19456,1.0,4.484375,0.0,0.002962268477401126,naive_prune_p50_q7_loss_optimal_scale,19456,7,0.5,naive,loss_optimal_scale,0.0010882284430533003,0.632636794620307,True,0.002962268477401126,0.0010882284430533003,0.632636794620307,0.003279932918781958,0.0021527132510128742,0.3436715614865959,True,False,-0.025056259087085666
vit_ex0,vit:s0,all_candidates,mean_actual_kl,0.3,19456,0.296875,3.3684210526315788,19456,1.0,True,dense_mixed_q4_q5_endpoint_kl_h31,single_quantization,19456,1.0,4.484375,0.0,0.003249544645033658,obs_prune_p50_q7_max_scale,19456,7,0.5,obs,max_scale,0.0019420483941538608,0.4023629134863769,True,0.0030576305909519146,0.0010884449203654868,0.6440234070177105,0.003249544645033658,0.0019420483941538608,0.4023629134863769,True,False,-4.874585177498962e-16
vit_ex0,vit:s0,all_candidates,mean_damped_hessian_quadratic,0.35,22144,0.337890625,2.959537572254335,22144,1.0,True,dense_mixed_q5_q6_damped_hessian_h9,single_quantization,22144,1.0,5.140625,0.0,0.0012620392904782768,obs_prune_p40_q7_max_scale,22144,7,0.4,obs,max_scale,0.0006989424645747317,0.44618010718996515,True,0.0012620392904782768,0.0006989424645747317,0.44618010718996515,0.001339060936657293,0.0013275172892187285,0.008620703600973514,True,False,-5.283116160783448e-17
vit_ex0,vit:s0,all_candidates,mean_actual_kl,0.35,22144,0.337890625,2.959537572254335,22144,1.0,True,dense_mixed_q5_q6_endpoint_kl_h9,single_quantization,22144,1.0,5.140625,0.0,0.0013353188655822407,obs_prune_p40_q7_max_scale,22144,7,0.4,obs,max_scale,0.0013275172892187285,0.0058424819453969995,True,0.0012703206039230927,0.0006989424645747317,0.4497904998027987,0.0013353188655822407,0.0013275172892187285,0.0058424819453969995,True,False,-5.283116160783448e-17
vit_ex0,vit:s0,all_candidates,mean_damped_hessian_quadratic,0.4,25280,0.3857421875,2.5924050632911393,25280,1.0,True,dense_mixed_q5_q6_damped_hessian_h58,single_quantization,25280,1.0,5.90625,0.0,0.0006205185944408557,naive_prune_p30_q7_loss_optimal_scale,25280,7,0.3,naive,loss_optimal_scale,0.0004106855418783025,0.33815755795623187,True,0.0006205185944408557,0.0004106855418783025,0.33815755795623187,0.0006254450457192778,0.0009051625922707437,-0.44722961428175273,True,False,-0.00339405993715562
vit_ex0,vit:s0,all_candidates,mean_actual_kl,0.4,25856,0.39453125,2.5346534653465347,25856,1.0,True,dense_mixed_q6_q7_damped_hessian_h3,single_quantization,25856,1.0,6.046875,0.0,0.0004493674805236178,naive_prune_p15_q6_loss_optimal_scale,25856,6,0.15,naive,loss_optimal_scale,0.0008746552175193473,-0.9464141386024867,False,0.00044956438472405096,0.0006374553438690058,-0.4179400449176708,0.0004493674805236178,0.0008746552175193473,-0.9464141386024867,True,False,0.001104586434582175
vit_ex0,vit:s0,all_candidates,mean_damped_hessian_quadratic,0.5,32768,0.5,2.0,32768,1.0,True,dense_mixed_q7_q8_damped_hessian_h47,single_quantization,32768,1.0,7.734375,0.0,2.907911567837286e-05,naive_prune_p15_q8_loss_optimal_scale,32768,8,0.15,naive,loss_optimal_scale,9.524801454789294e-05,-2.2754783742867453,False,2.907911567837286e-05,9.524801454789294e-05,-2.2754783742867453,2.9052291528618133e-05,0.0003325649987131407,-10.44711763564487,True,False,-0.0011097986164703983
vit_ex0,vit:s0,all_candidates,mean_actual_kl,0.5,32448,0.4951171875,2.019723865877712,32448,1.0,True,dense_mixed_q7_q8_damped_hessian_h42,single_quantization,32448,1.0,7.65625,0.0,2.9273672570640358e-05,naive_prune_p05_q7_loss_optimal_scale,32448,7,0.05,naive,loss_optimal_scale,0.00013909698006746418,-3.7516067460209843,False,2.9300717116830525e-05,0.0001395798929256086,-3.763702279676731,2.9273672570640358e-05,0.00013909698006746418,-3.7516067460209843,True,True,-0.0022297080979980736
