key,label,map_id,family,source_input_id,left,right,metric,probability_floor,hessian_cosine
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,pruning,frobenius_hessian,,0.0055294201659612
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,pruning,local_kl_hessian,1e-08,0.06062525916173824
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,pruning,local_kl_hessian,1e-06,0.048882753214440106
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,pruning,local_kl_hessian,0.0001,0.04860730473996354
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,quantization,frobenius_hessian,,0.9827174821972704
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,quantization,local_kl_hessian,1e-08,0.951898608373119
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,quantization,local_kl_hessian,1e-06,0.9485442115617232
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,structured,quantization,local_kl_hessian,0.0001,0.9483518580431711
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,pruning,quantization,frobenius_hessian,,0.0032971723099599944
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,pruning,quantization,local_kl_hessian,1e-08,0.060349630320455316
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,pruning,quantization,local_kl_hessian,1e-06,0.04765705202925601
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,pruning,quantization,local_kl_hessian,0.0001,0.049732934534769874
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,pruning,frobenius_hessian,,0.4567502362452214
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,pruning,local_kl_hessian,1e-08,0.7818298879084435
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,pruning,local_kl_hessian,1e-06,0.3822250430801881
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,pruning,local_kl_hessian,0.0001,0.45491819437295783
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,quantization,frobenius_hessian,,0.9762921830240797
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,quantization,local_kl_hessian,1e-08,0.7123069698914533
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,quantization,local_kl_hessian,1e-06,0.930412354787289
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,structured,quantization,local_kl_hessian,0.0001,0.9455921150024016
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,pruning,quantization,frobenius_hessian,,0.4172963667954909
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,pruning,quantization,local_kl_hessian,1e-08,0.3534490549804187
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,pruning,quantization,local_kl_hessian,1e-06,0.2588553746042623
vit_ex1,ViT L5 H0,vit:s0:l5:h0,vit,vit:s0,pruning,quantization,local_kl_hessian,0.0001,0.34612901409856206
qwen_ex0,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,qwen:v0,structured,pruning,frobenius_hessian,,0.15511799225976547
qwen_ex0,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,qwen:v0,structured,pruning,local_kl_hessian,1e-08,0.4323286983558124
qwen_ex0,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,qwen:v0,structured,pruning,local_kl_hessian,1e-06,0.4323286983558124
qwen_ex0,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,qwen3vl_visual,qwen:v0,structured,pruning,local_kl_hessian,0.0001,0.4331522426437974
