key,label,map_id,subset_mask,subset,component_count,relative_fro_error,utility_one_minus_error
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,14,global_svd+local_cyclic+sparse_routing,3,0.5445584968172696,0.45544150318273036
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,15,sink+global_svd+local_cyclic+sparse_routing,4,0.2904636069237809,0.7095363930762191
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,0,empty,0,1.0,0.0
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,1,sink,1,1.0062769509324287,-0.006276950932428749
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,2,global_svd,1,0.9985584055466352,0.0014415944533647806
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,3,sink+global_svd,2,0.36841893335582715,0.6315810666441728
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,4,local_cyclic,1,1.2550506454838564,-0.25505064548385636
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,5,sink+local_cyclic,2,0.7182284462531877,0.2817715537468123
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,6,global_svd+local_cyclic,2,0.9813145601467107,0.0186854398532893
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,7,sink+global_svd+local_cyclic,3,0.3032026995385852,0.6967973004614147
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,8,sparse_routing,1,1.2909766498969828,-0.2909766498969828
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,9,sink+sparse_routing,2,0.5284358343706727,0.47156416562932735
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,10,global_svd+sparse_routing,2,1.0134705329828717,-0.013470532982871708
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,11,sink+global_svd+sparse_routing,3,0.15410263199572583,0.8458973680042742
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,12,local_cyclic+sparse_routing,2,1.0969225708779957,-0.09692257087799572
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,13,sink+local_cyclic+sparse_routing,3,0.4314856901948525,0.5685143098051475
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,14,global_svd+local_cyclic+sparse_routing,3,0.9620083481859518,0.03799165181404818
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,15,sink+global_svd+local_cyclic+sparse_routing,4,0.12489091364066694,0.875109086359333
