family,pair,x,y,n,pearson,spearman,x_mean,y_mean
qwen3vl_visual,sink_vs_entropy,top2_col_mass_fraction,entropy_mean,96,-0.6166759189183111,-0.7282691264243082,0.20394250847554454,3.4399735927581787
qwen3vl_visual,sink_vs_effective_rank,top2_col_mass_fraction,effective_rank_fraction,96,-0.09235358200901894,0.045971242539338035,0.20394250847554454,0.2651730142533779
qwen3vl_visual,sink_vs_argmax_diversity,top2_col_mass_fraction,row_argmax_unique_fraction,96,-0.21041635579947024,-0.08685567010309277,0.20394250847554454,0.21009712478741496
qwen3vl_visual,sink_vs_drop_sink_error,top2_col_mass_fraction,drop_sink2_output_error,96,0.7754361385257151,0.7491454150841019,0.20394250847554454,0.3724450223768751
qwen3vl_visual,sink_vs_sink_component_norm,top2_col_mass_fraction,sink2_raw_component_norm_ratio,96,0.4259581246638886,0.38884970157352144,0.20394250847554454,0.28215149281701696
qwen3vl_visual,sink_vs_keep_union_error,top2_col_mass_fraction,union_sink_local_top4_output_error,96,-0.41811588594798693,-0.5150569723277265,0.20394250847554454,0.5996767014730722
qwen3vl_visual,sink_vs_random_v_union_error,top2_col_mass_fraction,union_random_v_output_error,96,-0.6106883120328036,-0.702807921866522,0.20394250847554454,1.127601572778076
qwen3vl_visual,true_v_vs_random_v_union_error,union_sink_local_top4_output_error,union_random_v_output_error,96,0.8524131233994404,0.865626695604992,0.5996767014730722,1.127601572778076
qwen3vl_visual,drop_union_vs_keep_union,drop_union_sink_local_top4_output_error,union_sink_local_top4_output_error,96,-0.3619356028325544,-0.4667797069994574,0.702334004919976,0.5996767014730722
vit,sink_vs_entropy,top2_col_mass_fraction,entropy_mean,192,-0.951611255752912,-0.9515232075522884,0.448155428438137,1.9301377981901169
vit,sink_vs_effective_rank,top2_col_mass_fraction,effective_rank_fraction,192,-0.5383596485071284,-0.5222886091745111,0.448155428438137,0.07346549511809523
vit,sink_vs_argmax_diversity,top2_col_mass_fraction,row_argmax_unique_fraction,192,-0.2748848485738219,-0.23468145566014706,0.448155428438137,0.08146158854166667
vit,sink_vs_drop_sink_error,top2_col_mass_fraction,drop_sink2_output_error,192,0.7723669419368459,0.8340476900957602,0.448155428438137,0.38547142028498155
vit,sink_vs_sink_component_norm,top2_col_mass_fraction,sink2_raw_component_norm_ratio,192,0.9455837674073234,0.9487528144752192,0.448155428438137,0.5678595132194459
vit,sink_vs_keep_union_error,top2_col_mass_fraction,union_sink_local_top4_output_error,192,0.05668200846781559,0.12378774109540734,0.448155428438137,0.09327716177297891
vit,sink_vs_random_v_union_error,top2_col_mass_fraction,union_random_v_output_error,192,-0.8641769584369529,-0.9250857906301713,0.448155428438137,0.41853578441320377
vit,true_v_vs_random_v_union_error,union_sink_local_top4_output_error,union_random_v_output_error,192,0.00013206763639859065,-0.06593332067384641,0.09327716177297891,0.41853578441320377
vit,drop_union_vs_keep_union,drop_union_sink_local_top4_output_error,union_sink_local_top4_output_error,192,0.4096254637786759,0.4481204052844316,0.48605692881392315,0.09327716177297891
