variant,label,samples,loss,acc,loss_delta_vs_baseline,acc_delta_vs_baseline,mean_logit_l2_delta,mean_true_logit_drop,mean_baseline_pred_prob_drop,pred_flip_rate,matched_ref_batches,random_repeats,loss_std,acc_std,loss_delta_std_vs_baseline,acc_delta_std_vs_baseline
baseline,baseline,256,1.2353163808584213,0.55859375,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
drop_top1,drop top-1 route,256,1.4489389657974243,0.50390625,0.213622584939003,-0.0546875,2.6107035279273987,0.3241371065378189,0.07228134386241436,0.2421875,4,,,,,
drop_top2,drop top-2 routes,256,1.655842512845993,0.453125,0.4205261319875717,-0.10546875,3.73980975151062,0.6364050805568695,0.1353825367987156,0.35546875,4,,,,,
drop_tail1,drop weakest selected route,256,1.2365806996822357,0.578125,0.001264318823814392,0.01953125,0.6044905334711075,-0.025992037262767553,0.004043917520903051,0.06640625,4,,,,,
drop_random1,drop random selected route,256,1.2581862602382898,0.54736328125,0.022869879379868507,-0.01123046875,1.4142550192773342,0.02572711688117124,0.024311948654940352,0.1435546875,4,8,0.024025809355445408,0.010735844312260597,0.024025809355445408,0.010735844312260597
zero_all,zero all selected routes,256,4.620890021324158,0.1015625,3.3855736404657364,-0.45703125,9.771163702011108,4.078587055206299,0.48342078924179077,0.8359375,4,,,,,
