sample_id,split,block,target_step,branch,horizon,target_visible,base_renderer,residual_target_sq,output_target_sq,defect_total_energy,tokens,channels,estimated_exact_block_macs,base_renderer_macs,base_fit_and_rollout_ms,rank,error_sq,residual_relative_l2,output_relative_l2,defect_remaining_energy,state_factor_values,state_factor_bytes_fp16,render_macs,render_to_exact_macs,base_plus_render_macs,base_plus_render_to_exact_macs,svd_ms
p00_seed2026082201,calibration,24,4,0,1,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,67992.38542758691,7800,1536,475206451200,47923200,4.03028167784214,0,67992.38542758691,0.27009878689307143,0.11586276764559712,1.0,0,0,0,0.0,47923200,0.0001008471157724889,0.0
p00_seed2026082201,calibration,24,4,0,1,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,67992.38542758691,7800,1536,475206451200,47923200,4.03028167784214,8,21987.786091665723,0.1535971813996713,0.06588772479964534,0.32338600802121065,74688,149376,191692800,0.0004033884630899556,239616000,0.0005042355788624445,167.12215077131987
p00_seed2026082201,calibration,24,4,0,1,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,67992.38542758691,7800,1536,475206451200,47923200,4.03028167784214,16,19667.05361044374,0.1452653869814302,0.06231368149550523,0.28925376707349637,149376,298752,383385600,0.0008067769261799112,431308800,0.0009076240419524002,167.12215077131987
p00_seed2026082201,calibration,24,4,0,1,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,67992.38542758691,7800,1536,475206451200,47923200,4.03028167784214,32,16630.106959707773,0.13357956221552114,0.05730087853117463,0.24458778524792504,298752,597504,766771200,0.0016135538523598225,814694400,0.0017144009681323113,167.12215077131987
p00_seed2026082201,calibration,24,4,0,1,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,67992.38542758691,7800,1536,475206451200,47923200,4.03028167784214,64,13076.881154009265,0.11845259595085939,0.05081194832283888,0.19232861262761597,597504,1195008,1533542400,0.003227107704719645,1581465600,0.003327954820492134,167.12215077131987
p00_seed2026082201,calibration,24,4,0,1,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,67992.38542758691,7800,1536,475206451200,47923200,4.03028167784214,96,10997.234170094242,0.10862611091113994,0.0465967359332302,0.16174214369354958,896256,1792512,2300313600,0.004840661557079467,2348236800,0.004941508672851956,167.12215077131987
p00_seed2026082201,calibration,24,4,0,2,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,113543.730450878,7800,1536,475206451200,95846400,1.8322328105568886,0,113543.730450878,0.3490390950152023,0.1497253506028733,1.0,0,0,0,0.0,95846400,0.0002016942315449778,0.0
p00_seed2026082201,calibration,24,4,0,2,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,113543.730450878,7800,1536,475206451200,95846400,1.8322328105568886,8,36792.64643918448,0.19868862674706417,0.08523035019676498,0.3240394365306998,74688,149376,191692800,0.0004033884630899556,287539200,0.0006050826946349334,9.114044718444347
p00_seed2026082201,calibration,24,4,0,2,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,113543.730450878,7800,1536,475206451200,95846400,1.8322328105568886,16,32180.266960107823,0.18581780083047794,0.07970922390910516,0.2834173831555447,149376,298752,383385600,0.0008067769261799112,479232000,0.001008471157724889,9.114044718444347
p00_seed2026082201,calibration,24,4,0,2,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,113543.730450878,7800,1536,475206451200,95846400,1.8322328105568886,32,26857.53941533946,0.16975618455325628,0.07281936210651514,0.2365391669537257,298752,597504,766771200,0.0016135538523598225,862617600,0.0018152480839048004,9.114044718444347
p00_seed2026082201,calibration,24,4,0,2,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,113543.730450878,7800,1536,475206451200,95846400,1.8322328105568886,64,20710.26305051554,0.149068301163775,0.06394499634646603,0.1823990013978559,597504,1195008,1533542400,0.003227107704719645,1629388800,0.0034288019362646227,9.114044718444347
p00_seed2026082201,calibration,24,4,0,2,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,113543.730450878,7800,1536,475206451200,95846400,1.8322328105568886,96,17186.10051024244,0.1357941835410374,0.05825087226869874,0.1513610697915964,896256,1792512,2300313600,0.004840661557079467,2396160000,0.005042355788624445,9.114044718444347
p00_seed2026082201,calibration,24,4,0,3,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,172801.65831219777,7800,1536,475206451200,143769600,1.6751433722674847,0,172801.65831219777,0.4305924865701152,0.18470885336172874,1.0,0,0,0,0.0,143769600,0.0003025413473174667,0.0
p00_seed2026082201,calibration,24,4,0,3,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,172801.65831219777,7800,1536,475206451200,143769600,1.6751433722674847,8,46218.831388523264,0.22269064583342307,0.0955263622315355,0.26746752245925676,74688,149376,191692800,0.0004033884630899556,335462400,0.0007059298104074224,8.983665145933628
p00_seed2026082201,calibration,24,4,0,3,True,causal_current_input_channel_diagonal,931998.065404845,5064918.731345358,172801.65831219777,7800,1536,475206451200,143769600,1.6751433722674847,16,40008.317373886704,0.2071894501731349,0.088876900930075,0.23152739271582476,149376,298752,383385600,0.0008067769261799112,527155200,0.001109318273497378,8.983665145933628
