head,bank_count,rank,density,method,mask_jaccard,attention_mass,basis_parameters,residual_sq,reference_sq,relative_l2,tile_error_mean,tile_error_max,basis_overlap_mean,captured_energy_mean
0,1,16,0.125,mass_topk,0.8780064582824707,0.3870217017829418,2048,26.415075719356537,5984.344085693359,0.0664381684957681,0.06631101618048081,0.07819145414448354,0.6656835079193115,0.9605977162718773
0,2,16,0.125,mass_topk,0.8780064582824707,0.3870217017829418,4096,28.02143967151642,5984.344085693359,0.06842848801519145,0.06827461197388922,0.07877436041863536,0.686431884765625,0.9576592370867729
0,4,16,0.125,mass_topk,0.8780064582824707,0.3870217017829418,8192,29.778494656085968,5984.344085693359,0.07054124033520189,0.06929498403803734,0.08878955007074119,0.7133644074201584,0.955483004450798
0,8,16,0.125,mass_topk,0.8780064582824707,0.3870217017829418,16384,32.64990735054016,5984.344085693359,0.0738639788798357,0.07305224566864163,0.09230081684286227,0.7099410220980644,0.9489773609675467
0,16,16,0.125,mass_topk,0.8780064582824707,0.3870217017829418,32768,36.07412803173065,5984.344085693359,0.07764073586738089,0.07721689845932239,0.09850641155659742,0.7162366211414337,0.9400617033243179
1,1,16,0.125,mass_topk,0.9751747846603394,0.8849895261228085,2048,8.627467691898346,33794.248046875,0.01597792127806284,0.015595582923161995,0.022424942883279116,0.8706440925598145,0.8806133344769478
1,2,16,0.125,mass_topk,0.9751747846603394,0.8849895261228085,4096,9.439598172903061,33794.248046875,0.016713036438648382,0.016331182033903106,0.023702683252200884,0.8272669911384583,0.8689753487706184
1,4,16,0.125,mass_topk,0.9751747846603394,0.8849895261228085,8192,10.689511254429817,33794.248046875,0.01778514993181632,0.017334507225595482,0.02646452175453164,0.7695199698209763,0.8519480526447296
1,8,16,0.125,mass_topk,0.9751747846603394,0.8849895261228085,16384,12.661712616682053,33794.248046875,0.019356410879847984,0.018914934831405446,0.027936733902061046,0.7045560777187347,0.8215939719229937
1,16,16,0.125,mass_topk,0.9751747846603394,0.8849895261228085,32768,15.746277391910553,33794.248046875,0.02158577049414492,0.020975542781558,0.03243165990592546,0.6465232856571674,0.7821276681497693
2,1,16,0.125,mass_topk,0.6404165029525757,0.15599122550338507,2048,38.29798233509064,11702.714477539062,0.05720640318171315,0.0562353315463866,0.07978396354243723,0.6336827278137207,0.980443648993969
