cell,family,density_target,records,critical_output_relative_l2,adaptive_rank16_output_relative_l2,adaptive_rank16_worst_record_relative_l2,adaptive_rank16_p95_record_relative_l2,initial_adaptive_rank16_output_relative_l2,rank_aware_relative_improvement_mean,rank_required_for_record_gate_mean,rank_required_for_record_gate_max,selected_attention_mass_mean,logical_density_mean,execution_density_mean,kernel_tiles_mean,quality_gate,execution_budget_gate,support_pregate_pass,kernel_tile_multiplier_vs_fixed64,kernel_tile_budget_gate
layer00_step00_capacity_control,fixed64,0.125,144,0.1698058309607769,0.002583159742706442,0.009526490015877373,0.006017549633087352,0.0026375816351212546,0.03781253786146737,4.444444444444445,16,0.5998514358782105,0.12496269162935796,0.1250305250305247,64.0,True,True,True,1.0,True
layer00_step00_capacity_control,fixed64,0.25,144,0.09953625510313899,0.0009606559289215983,0.003961725835922836,0.002718762299941057,0.000978101106653561,0.027905377292456648,2.2916666666666665,9,0.6982994770838155,0.24998304164970772,0.2500610500610494,128.0,True,True,True,1.0,True
layer00_step00_capacity_control,hierarchical32,0.125,144,0.1610272018718335,0.002503716318382252,0.010114665931011638,0.0058654491596637675,0.002556475683409043,0.037126518072315186,4.777777777777778,17,0.6026756379546391,0.12497456247456212,0.1250305250305247,256.0,False,True,False,4.0,True
layer00_step00_capacity_control,hierarchical32,0.25,144,0.1031113487958494,0.0009595155573241365,0.003974782469400048,0.003071774896831705,0.0009792740347345913,0.031153616779545576,2.611111111111111,9,0.7002981458273199,0.24998812915479526,0.2500610500610494,512.0,True,True,True,4.0,True
layer00_step00_capacity_control,motion_warp8x8,0.125,144,0.5497680555601762,0.07700190624196407,0.212410006630059,0.12512070529806094,0.07700190624196407,0.0,18.305555555555557,46,0.3066754635009501,0.11694139194139165,0.1250305250305247,64.0,False,True,False,1.0,True
layer00_step00_capacity_control,motion_warp8x8,0.25,144,0.23053947638435518,0.04074031476506797,0.1567776662690137,0.06437450392755151,0.04074031476506797,0.0,12.01388888888889,42,0.5235523707750771,0.23427960927960864,0.2500610500610494,128.0,False,True,False,1.0,True
layer00_step00_capacity_control,shifted32,0.125,144,0.16838053011441398,0.00248425825533883,0.009953960697219894,0.005632079426268309,0.002530041689566117,0.03800953537459385,4.819444444444445,16,0.6025321601579586,0.12480328313661612,0.1250305250305247,256.0,True,True,True,4.0,True
layer00_step00_capacity_control,shifted32,0.25,144,0.10620588840919817,0.0009594316466060831,0.003958007780137639,0.003117444005390048,0.0009755114712991517,0.029280140539859795,2.611111111111111,9,0.7003131585402621,0.24978293311626582,0.2500610500610494,512.0,True,True,True,4.0,True
layer00_step00_capacity_control,shifted64,0.125,144,0.17894598616597227,0.0025796616640906336,0.009420001303744978,0.0059386372233247095,0.002629588217143393,0.03974757929699865,4.430555555555555,16,0.5993661265820265,0.12457604124270756,0.1250305250305247,64.0,True,True,True,1.0,True
layer00_step00_capacity_control,shifted64,0.25,144,0.10308703609917685,0.0009680163448340756,0.003907403470222951,0.0028469385381523476,0.000987911559435828,0.031374182681713075,2.2916666666666665,9,0.6979662105441093,0.24953873287206557,0.2500610500610494,128.0,True,True,True,1.0,True
layer00_step00_capacity_control,support_family_oracle,0.125,144,0.17973734051614984,0.0024185529668430098,0.009420001303744978,0.005632079426268309,0.0024624122902164192,0.04045110468296768,4.375,16,0.5992698271034492,0.12455229955229921,0.1250305250305247,141.33333333333334,True,True,True,2.2083333333333335,True
layer00_step00_capacity_control,support_family_oracle,0.25,144,0.10296590476720338,0.0009186505606207614,0.003907403470222951,0.002718762299941057,0.0009371948474895526,0.029106634515989122,2.2222222222222223,9,0.6969621260133054,0.24927079093745702,0.2500610500610494,272.0,True,True,True,2.125,True
layer00_step00_capacity_control,thw8x8,0.125,144,0.16775888290840948,0.004381468099211152,0.012597805449365063,0.00932779083552669,0.004461517952067961,0.045826953993613806,5.708333333333333,19,0.5845683669257495,0.11545584045584018,0.1250305250305247,64.0,False,True,False,1.0,True
layer00_step00_capacity_control,thw8x8,0.25,144,0.10239855048326932,0.0015836670694317143,0.005815206616462766,0.003741900381724204,0.001612898397028751,0.03353259085171693,3.138888888888889,12,0.6858069350322088,0.2282322615655944,0.2500610500610494,128.0,True,True,True,1.0,True
layer14_step00_early,fixed64,0.125,144,0.2739766948805844,0.03226875713548618,0.07413011268557586,0.05878760063883913,0.03304561459066682,0.04521306727455946,31.625,54,0.4996673021879461,0.12492368742368708,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step00_early,fixed64,0.25,144,0.18667704690915726,0.020812110485331846,0.05109547023597866,0.04012433724972802,0.02132873783469298,0.043583114611979536,23.256944444444443,48,0.6646459758695629,0.24992538325871616,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step00_early,hierarchical32,0.125,144,0.2772973951245598,0.03363966035387346,0.07828696793330625,0.06269538184122252,0.03401318565822932,0.02751732199972112,32.0,54,0.5167223949295779,0.12493640618640585,0.1250305250305247,256.0,False,True,False,4.0,True
layer14_step00_early,hierarchical32,0.25,144,0.1858240365100959,0.021174012635451985,0.052802265591410415,0.04158140742777077,0.021377430598641677,0.022596188068164786,23.243055555555557,48,0.6800856267412504,0.24994149369149327,0.2500610500610494,512.0,False,True,False,4.0,True
layer14_step00_early,motion_warp8x8,0.125,144,0.44251375610028465,0.05768792757571237,0.1134857475809895,0.09907802757344523,0.05768792757571237,0.0,41.81944444444444,57,0.2773337983008888,0.11296126712793352,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step00_early,motion_warp8x8,0.25,144,0.32157833300704913,0.03761621615398335,0.07385272494191392,0.061520592875174876,0.03761621615398335,0.0,35.4375,54,0.4708578673501809,0.22522045855379133,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step00_early,shifted32,0.125,144,0.27727864633814464,0.033708730150862544,0.08016817509124642,0.06174056517112636,0.034100436978063295,0.02923370878721428,31.979166666666668,54,0.5163095308881667,0.12467016008682642,0.1250305250305247,256.0,False,True,False,4.0,True
layer14_step00_early,shifted32,0.25,144,0.1856388040789897,0.021292053979652024,0.052396753021724925,0.04212322092438743,0.021500460983332376,0.02350378406232267,23.270833333333332,49,0.6794538176101115,0.24956417039750323,0.2500610500610494,512.0,False,True,False,4.0,True
layer14_step00_early,shifted64,0.125,144,0.27338527726521594,0.03221353260431274,0.07397019283840987,0.05924303573316888,0.032978710459526446,0.04543239839566143,31.604166666666668,53,0.4994378202698297,0.12430131596798229,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step00_early,shifted64,0.25,144,0.18717119992591172,0.020837818123159584,0.05178461483239888,0.04079012648283361,0.021348822231942358,0.04274083176774885,23.243055555555557,48,0.6636297121230099,0.2491351241351236,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step00_early,support_family_oracle,0.125,144,0.2642161858630607,0.03168060586000628,0.07397019283840987,0.05878760063883913,0.03250394569526007,0.04932391604567723,31.319444444444443,53,0.5012686375735534,0.12382224257224224,0.1250305250305247,116.0,False,True,False,1.8125,True
layer14_step00_early,support_family_oracle,0.25,144,0.1822670080924052,0.020436525144971275,0.05109547023597866,0.03983686224894515,0.020881278775108342,0.03657166047999357,22.756944444444443,48,0.6716409017228417,0.24913851580518204,0.2500610500610494,301.3333333333333,False,True,False,2.3541666666666665,True
layer14_step00_early,thw8x8,0.125,144,0.2837414243800788,0.035637231858529676,0.08070126087968496,0.06334640890277787,0.036459117372085376,0.04414150055848488,33.09027777777778,54,0.46589582599699497,0.11268484601817907,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step00_early,thw8x8,0.25,144,0.20059569920168593,0.02338324979824904,0.05681474709303682,0.04479052304026196,0.023923322190049976,0.046851376925653415,25.020833333333332,49,0.628529234478871,0.22400284900284845,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step09_middle,fixed64,0.125,144,0.16861911526181012,0.03556339399652182,0.1243776978574962,0.06965235981357183,0.03601558575692977,0.025239201043523327,30.42361111111111,60,0.7271663854933448,0.12494573327906627,0.1250305250305247,64.0,False,True,False,1.0,True
