action,step_start,step_end,block_start,block_end,samples,speedup_geomean,ssim_mean,ssim_min,quality_loss_worst,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_refreshes_mean
C,0,3,0,5,2,1.0207388945942006,0.2735877099469799,0.2735877099469799,0.7264122900530201,0.0,48.0,36.0,0.0
C,0,3,6,11,2,1.0213555323943142,0.3944374585497784,0.3944374585497784,0.6055625414502216,0.0,48.0,36.0,0.0
C,0,3,12,17,2,1.0158470989105357,0.4385165077255268,0.4385165077255268,0.5614834922744731,0.0,48.0,36.0,0.0
C,0,3,18,23,2,1.0181181155577286,0.2867041315144434,0.2867041315144434,0.7132958684855566,0.0,48.0,36.0,0.0
C,0,3,24,29,2,1.0154808560039232,0.1771472416861481,0.1771472416861481,0.8228527583138519,0.0,48.0,36.0,0.0
C,4,7,0,5,2,1.0234192677854559,0.5288404959737382,0.5288404959737382,0.47115950402626183,0.0,48.0,48.0,0.0
C,4,7,6,11,2,1.0263786868912572,0.4288201477859259,0.4288201477859259,0.5711798522140741,0.0,48.0,48.0,0.0
C,4,7,12,17,2,1.0250953081377214,0.47818470021828835,0.47818470021828835,0.5218152997817116,0.0,48.0,48.0,0.0
C,4,7,18,23,2,1.0265043013370074,0.49033920064512626,0.49033920064512626,0.5096607993548737,0.0,48.0,48.0,0.0
C,4,7,24,29,2,1.0172696666371581,0.5632594540244754,0.5632594540244754,0.4367405459755246,0.0,48.0,48.0,0.0
C,8,11,0,5,2,1.0235206175656721,0.8331228955185712,0.8331228955185712,0.16687710448142878,0.0,48.0,48.0,0.0
C,8,11,6,11,2,1.0062178626746834,0.8815248615839226,0.8815248615839226,0.11847513841607737,0.0,48.0,48.0,0.0
C,8,11,12,17,2,1.0249212073948004,0.8144767115574986,0.8144767115574986,0.18552328844250143,0.0,48.0,48.0,0.0
C,8,11,18,23,2,1.026750637810678,0.8745606554679893,0.8745606554679893,0.12543934453201067,0.0,48.0,48.0,0.0
C,8,11,24,29,2,1.0273907221925822,0.8765138585811352,0.8765138585811352,0.12348614141886483,0.0,48.0,48.0,0.0
C,12,15,0,5,2,1.0262771026651638,0.9227019850325567,0.9227019850325567,0.07729801496744326,0.0,48.0,48.0,0.0
