method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean,pareto
dense,reference,,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,0.0,0.0,0.0,0.0,0.0,True
q_s12-15_b24-29,single_cell,Q,1,2,1.002436645843656,1.0024844238005604,0.9926971344688746,1.0122717131322463,0.9719512308755298,0.9719512308755298,0.9719512308755298,35.10417894370058,48.0,0.0,0.0,0.0,0.0,True
q_s08-11_b24-29,single_cell,Q,1,2,1.0065539898340636,1.0066744275275736,0.9911030246654119,1.0222458303897353,0.9708676597887785,0.9708676597887785,0.9708676597887785,34.98750256566118,48.0,0.0,0.0,0.0,0.0,True
q_s16-19_b06-11,single_cell,Q,1,2,1.007344962400935,1.0074857055548807,0.9906460611739907,1.024325349935771,0.9708239004266398,0.9708239004266398,0.9708239004266398,34.97425865041022,48.0,0.0,0.0,0.0,0.0,True
c_s12-15_b06-11,single_cell,C,1,2,1.024557018289185,1.0245615955520964,1.021499022347736,1.0276241687564565,0.9333082107610775,0.9333082107610775,0.9333082107610775,28.42551081321783,0.0,48.0,48.0,0.0,0.0,True
c_s12-15_b24-29,single_cell,C,1,2,1.0254927358668158,1.025492757684674,1.025281220192723,1.0257042951766249,0.9278468763266082,0.9278468763266082,0.9278468763266082,28.318875314694665,0.0,48.0,48.0,0.0,0.0,True
c_s12-15_b00-05,single_cell,C,1,2,1.0262771026651638,1.0262778242496193,1.0250608231282112,1.0274948253710274,0.9227019850325567,0.9227019850325567,0.9227019850325567,27.99506035426782,0.0,48.0,48.0,0.0,0.0,True
c_s08-11_b24-29,single_cell,C,1,2,1.0273907221925822,1.0273958339174563,1.024154923003862,1.0306367448310507,0.8765138585811352,0.8765138585811352,0.8765138585811352,24.376884614827524,0.0,48.0,48.0,0.0,0.0,True
all_q,global_cost_anchor,Q,25,2,1.0387882565161146,1.0389404865116034,1.0211558685180155,1.0567251045051913,0.6768883808339677,0.6768883808339677,0.6768883808339677,19.186415012625684,1200.0,0.0,0.0,0.0,0.0,True
all_c,global_cost_anchor,C,25,2,3.6450144266674402,3.6452037287804826,3.6080546547494268,3.682352802811538,0.20266811695779158,0.20266811695779158,0.20266811695779158,9.899736052799229,0.0,1200.0,1140.0,60.0,0.0,True
