method,evidence,content_error,per_tile_rank16_error,worst_tile
old_support_family_oracle,dense_AV_support_plus_per_tile_rank16,0.09569236012014032,0.01583560057711538,0.04648058069552774
rank64_transductive_content_tail_oracle,all_record_fit_dense_AV_support_plus_per_tile_rank16,0.08399113142369846,0.01179208400221229,0.03384895157078648
rank64_frozen_tail_support_oracle,calibration_frozen_tail_dense_AV_support_plus_per_tile_rank16,0.09896550710444288,0.013316773933685192,0.03233793764407113
rank64_frozen_tail_selected_proxy,calibration_frozen_current_QKV_support_plus_per_tile_rank16,0.10012939525990719,0.014877893219893584,0.03631635591523004
