rank,feature_map_parameters,attention_arithmetic_ratio_proxy,attention_arithmetic_speedup_upper_bound,transductive_content_error,transductive_shared_rank16_error,transductive_per_tile_rank16_error,transductive_worst_shared_record,transductive_worst_tile,frozen_oracle_content_error,frozen_oracle_shared_rank16_error,frozen_oracle_per_tile_rank16_error,frozen_oracle_worst_shared_record,frozen_oracle_worst_tile,selected_proxy_route,frozen_proxy_content_error,frozen_proxy_shared_rank16_error,frozen_proxy_per_tile_rank16_error,frozen_proxy_worst_shared_record,frozen_proxy_worst_tile
16,49548,0.250976800976801,3.9844320116759913,0.08419704674169758,0.018544932598265264,0.011804647046621328,0.03828999999084409,0.03364143939754941,0.09917224121705147,0.02079330990034951,0.013303628517116703,0.03447687642026985,0.032506847460427,proxy_value_aware_semantic64,0.10009045760090461,0.02311256141483057,0.014809294671816532,0.0377890831070512,0.036473949010088706
32,99084,0.25195360195360195,3.9689847346740974,0.08385491970318736,0.018465868336815135,0.011774274966612984,0.038406948908246995,0.03382787697086282,0.10020504788411747,0.020789502402732203,0.013299868143892724,0.03422724787842734,0.03242264099079292,proxy_value_aware_semantic64,0.1001403976582094,0.023162535871716194,0.014862111591724002,0.03748491446361543,0.0367343068248134
48,148620,0.2529304029304029,3.9536567704561913,0.08398516739584558,0.018504765457411254,0.011789458553882923,0.038547213128168674,0.034081275033566664,0.10030088334931264,0.020782454820800808,0.013309816220004848,0.03405038927591656,0.03234069134903567,proxy_value_aware_semantic64,0.10003742905772323,0.023130319729553865,0.014813658366842269,0.0374673858129733,0.036419812086076156
64,198156,0.2539072039072039,3.93844674200529,0.08399113142369846,0.018505247721152907,0.01179208400221229,0.03828087425918443,0.03384895157078648,0.09896550710444288,0.02079002592368323,0.013316773933685192,0.03407207677368895,0.03233793764407113,proxy_value_aware_semantic64,0.10012939525990719,0.023161052603205504,0.014877893219893584,0.03746385880900945,0.03631635591523004
