head,route,content_error,shared_rank16_error,per_tile_rank16_error,worst_tile,rank_required_for_1pct
0,oracle_trajectory_width_family,0.0246800266426435,0.006810237855271951,0.005129884504763093,0.008846511959059814,9
1,oracle_trajectory_width_family,0.16238924708587504,0.016406644183102472,0.01092820327657262,0.02080341033950601,26
2,oracle_trajectory_width_family,0.11112338693256239,0.03407207677368895,0.022551094368406535,0.03233793764407113,54
3,oracle_trajectory_width_family,0.06323069473943035,0.026458985587500344,0.018932506582231504,0.03027546225449339,45
4,oracle_trajectory_width_family,0.07485192641157004,0.012984186157713845,0.008589284453635408,0.012832707375623026,23
5,oracle_trajectory_width_family,0.08177559243191701,0.01504888409555914,0.007848135153905825,0.012023516041565799,24
6,oracle_trajectory_width_family,0.1491959002651202,0.02917336236618221,0.0181994908439691,0.025889675360816742,44
7,oracle_trajectory_width_family,0.09862745494588329,0.02619805358937826,0.014482940615024616,0.018272390970290993,42
8,oracle_trajectory_width_family,0.06831510361972157,0.011853690571159278,0.006068085329915587,0.010499775808831128,19
9,oracle_trajectory_width_family,0.11958580795330004,0.025823688488736476,0.01703418231173583,0.027744245068311822,41
10,oracle_trajectory_width_family,0.08415592692774608,0.01671144353990895,0.009222836961609271,0.015991789269546097,26
11,oracle_trajectory_width_family,0.06790596909739308,0.023671834310592093,0.015033720960716705,0.02476503636764677,38
0,proxy_value_aware_semantic64,0.023731294810591507,0.006890782428234607,0.005346966988380106,0.009209294798824272,9
1,proxy_value_aware_semantic64,0.12995360080740234,0.02100723783627188,0.013998193297481401,0.026906264899660578,30
2,proxy_value_aware_semantic64,0.12301468276796997,0.03746385880900945,0.02538456175130969,0.03631635591523004,57
3,proxy_value_aware_semantic64,0.06263605809643051,0.02662713558859627,0.01932806792984594,0.030746299423018094,46
4,proxy_value_aware_semantic64,0.04810040051368871,0.015649399817217614,0.011396814452979633,0.01795374962723415,29
5,proxy_value_aware_semantic64,0.08177559243191701,0.01504888409555914,0.007848135153905825,0.012023516041565799,24
6,proxy_value_aware_semantic64,0.15795414782845374,0.029910190061310307,0.018564596565492204,0.026691877951548787,45
7,proxy_value_aware_semantic64,0.10176702159792134,0.02806683744421273,0.01514351452393254,0.01904348662251698,45
8,proxy_value_aware_semantic64,0.05872824012594691,0.0122809244463103,0.0066680814008093624,0.01179855945983596,20
9,proxy_value_aware_semantic64,0.12033207543365229,0.02774061494330314,0.018314723090944944,0.02999133007061743,44
10,proxy_value_aware_semantic64,0.07805659062254053,0.017503045824444053,0.009713964668308185,0.017032686244804723,27
11,proxy_value_aware_semantic64,0.13264515399065788,0.028605332788383793,0.01747193798820846,0.02888024314146374,39
