case,video_tokens,text_tokens,layers,sampling_steps,self_attention_qkvo_flops_per_step,self_attention_qk_pv_flops_per_step,cross_attention_qo_flops_per_step,cross_attention_text_kv_flops_per_step,cross_attention_qk_pv_flops_per_step,ffn_up_down_flops_per_step,total_flops_per_step,text_kv_cacheable_flop_fraction,text_kv_eliminated_flop_fraction,ideal_flop_speedup
F17,7800,512,30,20,4416602112000,11214028800000,2208301056000,144955146240,736100352000,12881756160000,31601743626240,0.004586935074039358,0.00435758832033739,1.0043766600028479
F81,32760,512,30,20,18549728870400,197815468032000,9274864435200,144955146240,3091621478400,54103375872000,282980013834240,0.0005122451733460927,0.0004866329146787881,1.0004868698415688
