elapsed_seconds,gpu_memory_used_mib,process_memory_mib,gpu_utilization_percent
0.0,17.0,0.0,0.0
1.2917717380914837,17.0,0.0,2.0
1.649269700050354,17.0,0.0,0.0
2.819675510050729,17.0,0.0,0.0
3.164042897056788,17.0,0.0,0.0
4.322408359963447,17.0,0.0,0.0
4.701290579047054,17.0,0.0,0.0
5.840543378144503,17.0,0.0,0.0
6.191111902939156,17.0,0.0,0.0
7.405436545144767,17.0,12.0,0.0
7.821295941947028,1577.0,1554.0,1.0
8.949036009144038,1597.0,17088.0,0.0
9.30616384302266,17111.0,17088.0,20.0
10.506915031000972,17111.0,17088.0,5.0
10.848362423013896,17111.0,17088.0,17.0
12.047185675939545,17111.0,17088.0,20.0
12.405748825985938,17111.0,17088.0,18.0
13.62895447993651,17207.0,17364.0,18.0
14.02876471192576,18339.0,18316.0,7.0
15.136444370960817,18339.0,18316.0,0.0
15.504044172121212,18339.0,18316.0,0.0
16.698066757060587,18339.0,18316.0,0.0
17.065335134975612,18339.0,18316.0,0.0
18.252822366077453,18339.0,18316.0,0.0
18.604615394957364,18339.0,18316.0,0.0
19.814159750938416,18339.0,18316.0,0.0
20.155690290033817,18339.0,18316.0,0.0
21.357621632050723,18339.0,18316.0,0.0
21.69778293115087,18339.0,18316.0,0.0
22.90479999105446,18339.0,18316.0,0.0
23.24741345201619,18339.0,18316.0,0.0
24.440449883928522,18339.0,18316.0,0.0
24.78447756706737,18339.0,18316.0,0.0
25.973465897142887,18339.0,18316.0,0.0
26.32778437808156,18339.0,18316.0,0.0
27.51444235094823,18339.0,18316.0,0.0
27.860563940135762,18339.0,18316.0,0.0
29.057096774922684,18339.0,18316.0,0.0
29.413295323960483,18339.0,18316.0,0.0
30.622096439125016,18339.0,18316.0,0.0
30.965354905929416,18339.0,18316.0,0.0
32.13897622306831,18339.0,18316.0,0.0
32.48781040706672,18339.0,18316.0,0.0
33.64595391601324,18339.0,18316.0,0.0
33.989480327116325,18339.0,18316.0,0.0
35.21814954304136,18339.0,18316.0,0.0
35.5595280721318,18339.0,18316.0,0.0
36.74300914793275,18339.0,18316.0,0.0
37.08481486211531,18339.0,18316.0,0.0
38.27490730793215,18339.0,18316.0,0.0
38.62106303498149,18339.0,18316.0,0.0
39.79798781010322,18339.0,18316.0,0.0
40.156856985995546,18339.0,18316.0,0.0
41.3259604901541,18339.0,18316.0,0.0
41.6651783650741,18339.0,18316.0,0.0
42.87778417393565,18339.0,18316.0,0.0
43.22935454710387,18339.0,18316.0,0.0
44.39710946404375,18339.0,18316.0,0.0
44.73907343810424,18339.0,18316.0,0.0
45.977405375102535,18339.0,18316.0,0.0
46.33327126200311,18339.0,18316.0,0.0
47.475913831964135,18339.0,18316.0,0.0
47.827355357119814,18339.0,18316.0,0.0
49.0329966051504,18339.0,18428.0,0.0
49.380105613032356,18565.0,18648.0,6.0
50.59785299003124,19159.0,19360.0,17.0
50.94926541601308,19889.0,19868.0,79.0
52.11887718504295,19893.0,19870.0,21.0
52.46812679897994,19895.0,19872.0,22.0
53.67383364099078,19897.0,19874.0,22.0
54.03416534001008,19899.0,19876.0,22.0
55.184077613055706,19901.0,19878.0,23.0
55.53626516996883,19903.0,19880.0,22.0
56.77318367594853,19905.0,19882.0,0.0
57.12127270712517,19905.0,19884.0,21.0
58.37708534998819,19909.0,19886.0,21.0
58.73322913306765,19973.0,19950.0,22.0
60.00176681694575,19973.0,19950.0,22.0
60.356434560148045,19973.0,19950.0,23.0
61.60188085003756,19973.0,19950.0,22.0
61.9602413950488,19973.0,19950.0,23.0
63.23454501898959,19973.0,19950.0,22.0
63.58332796394825,19973.0,19950.0,23.0
64.85477632493712,19973.0,19950.0,23.0
65.20928730606101,19973.0,19950.0,22.0
66.44673289405182,19973.0,19950.0,22.0
66.81153125502169,19973.0,19950.0,23.0
67.99638712103479,19973.0,19950.0,0.0
68.349289505044,19973.0,19950.0,0.0
69.50505194510333,19973.0,19950.0,0.0
69.85087052802555,19973.0,19950.0,0.0
71.06518093892373,21053.0,21030.0,4.0
71.46929896110669,21053.0,21238.0,97.0
72.69336507399566,21261.0,21238.0,25.0
73.08534386311658,21261.0,21238.0,24.0
74.33732254314236,21261.0,21238.0,24.0
74.70340979611501,21261.0,21238.0,24.0
75.96785924094729,21261.0,21238.0,24.0
76.38700974802487,21261.0,21238.0,23.0
77.61868483899161,21261.0,21238.0,23.0
77.99496062798426,21261.0,21238.0,24.0
79.23073599208146,21261.0,21238.0,24.0
79.62712445412762,21261.0,21238.0,24.0
80.85446714796126,21261.0,21238.0,24.0
81.24533057608642,21261.0,21238.0,23.0
82.48086083005182,21261.0,21238.0,23.0
82.90936597506516,21261.0,21238.0,24.0
84.13986449013464,21261.0,21238.0,23.0
84.54541111201979,21261.0,21238.0,24.0
85.76237698714249,21261.0,21238.0,24.0
86.11842776392587,21261.0,21238.0,23.0
87.41615828010254,21261.0,21238.0,23.0
87.78945724014193,21261.0,21238.0,24.0
89.12708690506406,21261.0,21238.0,24.0
89.50531698996201,21261.0,21238.0,22.0
90.66383994393982,21261.0,21238.0,0.0
91.02529064100236,21261.0,21238.0,0.0
92.19016225705855,21261.0,21238.0,0.0
92.54932005703449,21261.0,21238.0,0.0
93.78342537302524,21261.0,21238.0,0.0
94.14527663704939,21261.0,21654.0,0.0
95.5129172259476,22417.0,22738.0,29.0
95.89330529607832,23277.0,23254.0,68.0
97.14084149897099,23277.0,23254.0,25.0
97.50133676803671,23277.0,23254.0,25.0
98.79223816096783,23277.0,23254.0,26.0
99.1829592839349,23277.0,23254.0,26.0
100.43691401812248,23277.0,23254.0,26.0
100.819568709936,23277.0,23254.0,25.0
102.07737301592715,23277.0,23254.0,26.0
102.45731108612381,23277.0,23254.0,25.0
103.70370491803624,23277.0,23254.0,42.0
104.0791593180038,23277.0,23254.0,23.0
105.33334278408438,23277.0,23254.0,23.0
105.72131321905181,23277.0,23254.0,23.0
106.97143757296726,23277.0,23254.0,22.0
107.3892951561138,23277.0,23254.0,23.0
108.64136358094402,23277.0,23254.0,23.0
109.08533807308413,23277.0,23254.0,23.0
110.31333038513549,23277.0,23254.0,23.0
