monotonic_seconds,gpu_total_memory_mib,gpu_utilization_percent,process_memory_mib
1196372.834806365,17,0,0
1196374.126578103,17,2,0
1196374.484076065,17,0,0
1196375.654481875,17,0,0
1196375.998849262,17,0,0
1196377.157214725,17,0,0
1196377.536096944,17,0,0
1196378.675349743,17,0,0
1196379.025918268,17,0,0
1196380.24024291,17,0,12
1196380.656102307,1577,1,1554
1196381.783842374,1597,0,17088
1196382.140970208,17111,20,17088
1196383.341721396,17111,5,17088
1196383.683168788,17111,17,17088
1196384.881992041,17111,20,17088
1196385.240555191,17111,18,17088
1196386.463760845,17207,18,17364
1196386.863571077,18339,7,18316
1196387.971250736,18339,0,18316
1196388.338850537,18339,0,18316
1196389.532873122,18339,0,18316
1196389.9001415,18339,0,18316
1196391.087628731,18339,0,18316
1196391.43942176,18339,0,18316
1196392.648966116,18339,0,18316
1196392.990496655,18339,0,18316
1196394.192427997,18339,0,18316
1196394.532589296,18339,0,18316
1196395.739606356,18339,0,18316
1196396.082219817,18339,0,18316
1196397.275256249,18339,0,18316
1196397.619283932,18339,0,18316
1196398.808272262,18339,0,18316
1196399.162590743,18339,0,18316
1196400.349248716,18339,0,18316
1196400.695370305,18339,0,18316
1196401.89190314,18339,0,18316
1196402.248101689,18339,0,18316
1196403.456902804,18339,0,18316
1196403.800161271,18339,0,18316
1196404.973782588,18339,0,18316
1196405.322616772,18339,0,18316
1196406.480760281,18339,0,18316
1196406.824286692,18339,0,18316
1196408.052955908,18339,0,18316
1196408.394334437,18339,0,18316
1196409.577815513,18339,0,18316
1196409.919621227,18339,0,18316
1196411.109713673,18339,0,18316
1196411.4558694,18339,0,18316
1196412.632794175,18339,0,18316
1196412.991663351,18339,0,18316
1196414.160766855,18339,0,18316
1196414.49998473,18339,0,18316
1196415.712590539,18339,0,18316
1196416.064160912,18339,0,18316
1196417.231915829,18339,0,18316
1196417.573879803,18339,0,18316
1196418.81221174,18339,0,18316
1196419.168077627,18339,0,18316
1196420.310720197,18339,0,18316
1196420.662161722,18339,0,18316
1196421.86780297,18339,0,18428
1196422.214911978,18565,6,18648
1196423.432659355,19159,17,19360
1196423.784071781,19889,79,19868
1196424.95368355,19893,21,19870
1196425.302933164,19895,22,19872
1196426.508640006,19897,22,19874
1196426.868971705,19899,22,19876
1196428.018883978,19901,23,19878
1196428.371071535,19903,22,19880
1196429.607990041,19905,0,19882
1196429.956079072,19905,21,19884
1196431.211891715,19909,21,19886
1196431.568035498,19973,22,19950
1196432.836573182,19973,22,19950
1196433.191240925,19973,23,19950
1196434.436687215,19973,22,19950
1196434.79504776,19973,23,19950
1196436.069351384,19973,22,19950
1196436.418134329,19973,23,19950
1196437.68958269,19973,23,19950
1196438.044093671,19973,22,19950
1196439.281539259,19973,22,19950
1196439.64633762,19973,23,19950
1196440.831193486,19973,0,19950
1196441.18409587,19973,0,19950
1196442.33985831,19973,0,19950
1196442.685676893,19973,0,19950
1196443.899987304,21053,4,21030
1196444.304105326,21053,97,21238
1196445.528171439,21261,25,21238
1196445.920150228,21261,24,21238
1196447.172128908,21261,24,21238
1196447.538216161,21261,24,21238
1196448.802665606,21261,24,21238
1196449.221816113,21261,23,21238
1196450.453491204,21261,23,21238
1196450.829766993,21261,24,21238
1196452.065542357,21261,24,21238
1196452.461930819,21261,24,21238
1196453.689273513,21261,24,21238
1196454.080136941,21261,23,21238
1196455.315667195,21261,23,21238
1196455.74417234,21261,24,21238
1196456.974670855,21261,23,21238
1196457.380217477,21261,24,21238
1196458.597183352,21261,24,21238
1196458.953234129,21261,23,21238
1196460.250964645,21261,23,21238
1196460.624263605,21261,24,21238
1196461.96189327,21261,24,21238
1196462.340123355,21261,22,21238
1196463.498646309,21261,0,21238
1196463.860097006,21261,0,21238
1196465.024968622,21261,0,21238
1196465.384126422,21261,0,21238
1196466.618231738,21261,0,21238
1196466.980083002,21261,0,21654
1196468.347723591,22417,29,22738
1196468.728111661,23277,68,23254
1196469.975647864,23277,25,23254
1196470.336143133,23277,25,23254
1196471.627044526,23277,26,23254
1196472.017765649,23277,26,23254
1196473.271720383,23277,26,23254
1196473.654375075,23277,25,23254
1196474.912179381,23277,26,23254
1196475.292117451,23277,25,23254
1196476.538511283,23277,42,23254
1196476.913965683,23277,23,23254
1196478.168149149,23277,23,23254
1196478.556119584,23277,23,23254
1196479.806243938,23277,22,23254
1196480.224101521,23277,23,23254
1196481.476169946,23277,23,23254
1196481.920144438,23277,23,23254
1196483.14813675,23277,23,23254
1196483.552108913,23277,23,23254
1196484.790299492,23277,23,23254
1196485.204125072,23277,23,23254
1196486.414108424,23277,23,23254
1196486.796159757,23277,0,23254
1196488.078611345,23277,0,23254
1196488.472147409,23277,0,23254
1196489.653917533,23277,0,23254
1196490.034180904,23277,86,23254
1196491.276149368,23277,23,23254
1196491.669849146,23277,24,23254
1196492.963545381,23277,23,23254
1196493.338197876,23277,24,23254
1196494.60418353,23277,24,23254
1196494.968107259,23277,24,23254
1196496.246183082,23277,24,23254
1196496.629845735,23277,24,23254
1196497.868096942,23277,24,23254
1196498.269793624,23277,24,23254
1196499.486134013,23277,24,23254
1196499.844168521,23277,24,23254
1196501.081560051,23277,24,23254
1196501.464157872,23277,24,23254
1196502.702545594,23277,24,23254
1196503.068083388,23277,24,23254
1196504.331067708,23277,24,23254
1196504.719505425,23277,24,23254
1196505.971342936,23277,24,23254
1196506.348106682,23277,24,23254
1196507.580401915,23277,24,23254
1196507.936087073,23277,24,23254
1196509.209839989,23277,24,23254
1196509.588096248,23277,24,23254
1196510.8061584,23277,23,23254
1196511.208154444,23277,24,23254
1196512.427128045,23277,24,23254
1196512.809862944,23277,24,23254
1196514.088130743,23277,24,23254
1196514.468151368,23277,24,23254
1196515.711305997,23277,4,23254
1196516.110224109,23277,0,23254
1196517.240148673,23277,0,23254
1196517.645812998,23277,0,23254
1196518.760131408,23277,0,23254
1196519.142215791,23277,0,23254
1196520.410506249,23277,0,23254
1196520.809860478,23277,98,23432
1196521.985549009,23633,26,23610
1196522.384161775,23633,25,23610
1196523.613790627,23633,26,23610
1196524.012106632,23633,26,23610
1196525.200237718,23633,26,23610
1196525.59610956,23633,26,23610
1196526.822200866,23633,23,23610
1196527.184116813,23633,22,23610
1196528.421861511,23633,22,23610
1196528.85131955,23633,23,23610
1196530.064119992,23633,23,23610
1196530.478232466,23633,23,23610
1196531.812180958,23633,23,23610
1196532.23411097,23633,22,23610
1196533.408162669,23633,23,23610
1196533.816094142,23633,23,23610
1196535.054257631,23633,23,23610
1196535.452158963,23633,23,23610
1196536.690815203,23633,23,23610
1196537.088160605,23633,23,23610
1196538.313815434,23633,14,23610
1196538.697784557,23633,0,23610
1196539.869845375,23633,0,23610
1196540.270181766,23633,0,23610
1196541.392138244,23633,0,23610
1196541.800165725,23633,0,23610
1196542.910056812,23633,0,23610
1196543.320112059,23633,1,23610
1196544.633838192,23633,26,23610
1196545.032108871,23633,26,23610
1196546.256120189,23633,26,23610
1196546.664129992,23633,26,23610
1196547.853709327,23633,0,23610
1196548.27215166,23633,0,23610
1196549.365093972,23633,0,23610
1196549.752208007,23633,0,23610
1196550.906326709,23633,0,23610
1196551.304111501,24321,0,25244
1196552.648164055,25553,51,25816
1196553.076102471,26697,98,26674
1196554.296154768,26697,29,26674
1196554.676103878,26697,23,26674
1196555.976211074,26697,23,26674
1196556.361872201,26697,23,26674
1196557.617883206,26697,23,26674
1196558.061627254,26697,23,26674
1196559.248206156,26697,23,26674
1196559.648117072,26697,23,26674
1196560.867918604,26697,23,26674
1196561.260167393,26697,23,26674
1196562.530239491,26697,23,26674
1196562.890261112,26697,23,26674
1196564.165850878,26697,23,26674
1196564.584132749,26697,23,26674
1196565.7858255,26697,23,26674
1196566.240177665,26697,23,26674
1196567.426368874,26697,23,26674
1196567.805883346,26697,0,26674
1196569.017840821,26697,0,26674
1196569.428164687,26697,0,26674
1196570.680193394,26697,25,26674
1196571.068161291,26697,24,26674
1196572.309509657,26697,24,26674
1196572.728183386,26697,24,26674
1196573.974367698,26697,24,26674
1196574.401748499,26697,24,26674
1196575.635313484,26697,24,26674
1196575.998100381,26697,24,26674
1196577.297911234,26697,24,26674
1196577.704179185,26697,24,26674
1196578.93619913,26697,24,26674
1196579.346217502,26697,24,26674
1196580.582627095,26697,24,26674
1196580.952164601,26697,24,26674
1196582.234173831,26697,24,26674
1196582.632117127,26697,24,26674
1196583.86500938,26697,24,26674
1196584.272181588,26697,24,26674
1196585.533165355,26697,24,26674
1196585.913888768,26697,24,26674
1196587.104177924,26697,0,26674
1196587.484097736,26697,0,26674
1196588.660135166,26697,0,26674
1196589.060075999,26697,84,26674
1196590.317963934,26697,24,26674
1196590.814408032,26697,24,26674
1196592.292110548,26697,24,26674
1196593.594896523,26697,24,26674
1196594.000087644,26697,24,26674
1196595.202315585,26697,24,26674
1196595.608161932,26697,24,26674
1196596.990512407,26697,24,26674
1196597.40982165,26697,24,26674
1196598.616153832,26697,24,26674
1196599.004095258,26697,24,26674
1196600.288173078,26697,24,26674
1196600.6921072,26697,24,26674
1196601.982598741,26697,24,26674
1196602.392096331,26697,24,26674
1196603.63515052,26697,24,26674
1196604.068190057,26697,24,26674
1196605.28595439,26697,24,26674
1196605.676189322,26697,20,26674
1196606.852164506,26697,0,26674
1196607.24810612,26697,0,26674
1196608.397990131,26697,0,26674
1196608.808228339,26697,0,26674
1196609.932202804,26697,0,26674
1196610.342169786,26697,72,26674
1196611.628163082,26697,26,26674
1196612.036156658,26697,25,26674
1196613.325865845,26697,26,26674
1196613.706413094,26697,25,26674
1196614.972181358,26697,26,26674
1196615.388110977,26697,26,26674
1196616.584170303,26697,26,26674
1196616.968138644,26697,26,26674
1196618.276355585,26697,25,26674
1196618.680093153,26697,23,26674
1196619.912164658,26697,23,26674
1196620.304115421,26697,23,26674
1196621.51008328,26697,22,26674
1196621.908104967,26697,23,26674
1196623.15037305,26697,23,26674
1196623.564157535,26697,23,26674
1196624.81373616,26697,23,26674
1196625.204091036,26697,23,26674
1196626.462828788,26697,23,26674
1196626.856107183,26697,23,26674
1196628.078247325,26697,23,26674
1196628.504168864,26697,23,26674
1196629.7161958,26697,23,26674
1196630.136163615,26697,23,26674
1196631.360170781,26697,23,26674
1196631.740144821,26697,23,26674
1196633.012189541,26697,23,26674
1196633.408134524,26697,23,26674
1196634.640166969,26697,22,26674
1196635.018250939,26697,0,26674
1196636.214035168,26697,0,26674
1196636.610909261,26697,0,26674
1196637.750179405,26697,0,26674
1196638.140132144,26697,94,26674
1196639.480180429,26697,24,26674
1196639.896169564,26697,24,26674
1196641.062763458,26697,24,26674
1196641.464126368,26697,24,26674
1196642.689470955,26697,24,26674
1196643.066188268,26697,24,26674
1196644.266234168,26697,7,26674
1196644.672152384,26697,24,26674
1196645.898398392,26697,24,26674
1196646.312165705,26697,24,26674
1196647.546243379,26697,24,26674
1196647.924183819,26697,24,26674
1196649.16017244,26697,24,26674
1196649.555775751,26697,24,26674
1196650.822002304,26697,24,26674
1196651.234113995,26697,24,26674
1196652.436186258,26697,24,26674
1196652.84415873,26697,24,26674
1196654.088180562,26697,24,26674
1196654.464136377,26697,24,26674
1196655.788164602,26697,24,26674
1196656.152090603,26697,24,26674
1196657.396143872,26697,23,26674
1196657.776123798,26697,23,26674
1196659.016146924,26697,23,26674
1196659.384088032,26697,23,26674
1196660.652159942,26697,23,26674
1196661.044138315,26697,23,26674
1196662.289849535,26697,23,26674
1196662.675337201,26697,23,26674
1196663.928193174,26697,23,26674
1196664.365857873,26697,23,26674
1196665.57216815,26697,23,26674
1196665.985851246,26697,24,26674
1196667.238256322,26697,23,26674
1196667.63609242,26697,23,26674
1196668.856103529,26697,23,26674
1196669.280084993,26697,23,26674
1196670.48801583,26697,23,26674
1196670.882628727,26697,23,26674
1196672.184157802,26697,23,26674
1196672.588128374,26697,23,26674
1196673.821906789,26697,23,26674
1196674.221874926,26697,23,26674
1196675.464137643,26697,23,26674
1196675.840667762,26697,23,26674
1196677.12812555,26697,23,26674
1196677.516099686,26697,23,26674
1196678.778294827,26697,23,26674
1196679.176085182,26697,23,26674
1196680.434297793,26697,21,26674
1196680.842736688,26697,0,26674
1196682.022433158,26697,0,26674
