layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
0,0,11,88,raw_reuse,0.5809972125420987,0.5568779110908508,0.8537757754325866,0.5491152972872219,0.940345122931056,nan
0,0,11,88,shift_reuse,0.5579700800474106,0.5362284779548645,0.8626301407814025,0.5418852830540348,0.940345122931056,nan
0,0,11,88,shift_local_r2,0.2973844342061043,0.27178969979286194,0.5303601503372192,0.4083323713929881,0.940345122931056,nan
0,0,11,88,shift_rank8_oracle,0.02672439461510924,0.023188142105937004,0.05377330332994461,0.1323519467907551,0.940345122931056,nan
0,0,11,88,state_skip1,0.026850364230465724,0.023338614031672478,0.054319992847740646,0.13236448290323116,0.940345122931056,0.9999872127518005
0,0,11,88,state_skip2,0.02704487439818774,0.023579439148306847,0.05501771979033947,0.13240409013504573,0.940345122931056,0.9999467723097017
0,0,11,88,state_skip4,0.027443949521083234,0.024052245542407036,0.056406790576875206,0.13256347217750808,0.940345122931056,0.9997839338639104
0,0,11,88,state_noise_skip1,0.026883976306721805,0.023380093276500702,0.05440079811960458,0.1323651712642119,0.940345122931056,0.9999865117187092
0,0,11,88,state_noise_skip2,0.02711362091787727,0.023661160841584206,0.05517159085720777,0.1324071612840367,0.940345122931056,0.9999436397152682
0,0,11,88,state_noise_skip4,0.02758359894879353,0.024207765236496925,0.05669473726302385,0.13257492279766836,0.940345122931056,0.999772229352603
1,0,11,88,raw_reuse,0.04353621236536268,0.042683105915784836,0.06768666729331016,0.42898320544876534,0.7944504917854305,nan
1,0,11,88,shift_reuse,0.0357713946963783,0.034508589655160904,0.06276897955685853,0.4349023728242387,0.7944504917854305,nan
1,0,11,88,shift_local_r2,0.014742616282774653,0.013696988113224506,0.027333775348961354,0.2888988670637679,0.7944504917854305,nan
1,0,11,88,shift_rank8_oracle,0.007184294288748692,0.006515102926641703,0.012182792881503701,0.19717415949200146,0.7944504917854305,nan
1,0,11,88,state_skip1,0.007195343092415968,0.006530360784381628,0.01223265565931797,0.197193232060559,0.7944504917854305,0.9999374151393027
1,0,11,88,state_skip2,0.007227234446006569,0.006563009228557348,0.01230521616525948,0.19725374256394226,0.7944504917854305,0.9997390491499991
