endpoint,scheduler_index,timestep,method,activation_relative_l2,velocity_relative_l2,velocity_p95_relative_l2,coefficient_r2
0,11,88,raw_reuse,0.27924063594776827,0.08731509257742003,0.1295385989767965,nan
0,11,88,shift_reuse,0.3376233816762583,0.08577451872815126,0.1347878595057409,nan
0,11,88,shift_local_r2,0.23351913048810802,0.045320210263639825,0.08129642562125808,nan
0,11,88,shift_rank8_oracle,0.11822740657414745,0.008165746917566215,0.01479590426024515,nan
0,11,88,state_skip1,0.11839813410585778,0.0082036589534964,0.014899970515398306,0.999032423246873
0,11,88,state_skip2,0.11887804949607514,0.008276512926172293,0.015115127520402892,0.9962517088120806
0,11,88,state_skip4,0.12051953833397133,0.008462424098040894,0.015535725560039279,0.9862687284036904
0,11,88,state_noise_skip1,0.11839931824223424,0.00821122766497478,0.014899669337319208,0.9990223601528339
0,11,88,state_noise_skip2,0.11888634871797267,0.00829304281137191,0.015119559972663408,0.9962056217074067
0,11,88,state_noise_skip4,0.12056562502989672,0.008498662817371749,0.015617652362561785,0.9860071210327874
1,22,77,raw_reuse,0.28964259387290553,0.0874517237161681,0.13048299992224202,nan
1,22,77,shift_reuse,0.35201711920922685,0.0865969803519884,0.13632487781578673,nan
1,22,77,shift_local_r2,0.25196094736421887,0.04688558746871127,0.08435015565482898,nan
1,22,77,shift_rank8_oracle,0.14324282038616684,0.009581900464655745,0.01753257662639953,nan
1,22,77,state_skip1,0.1433226507699489,0.00961166420827228,0.017551857247599396,0.9994634647909482
1,22,77,state_skip2,0.14355020301861107,0.009655807694315066,0.017563193064415825,0.9978874861806288
1,22,77,state_skip4,0.14443604759946643,0.009795660260245559,0.017709824454504995,0.9915283316921093
1,22,77,state_noise_skip1,0.1433203737780925,0.009616061836962037,0.01755896286049392,0.9994785973701279
1,22,77,state_noise_skip2,0.1435400248356976,0.009663820318589207,0.017580754330265333,0.9979619870945231
1,22,77,state_noise_skip4,0.1443997122064299,0.009812562044433213,0.017744752473663538,0.9918067956317993
2,33,66,raw_reuse,0.3034527469796013,0.0882424291573431,0.13211157805053517,nan
2,33,66,shift_reuse,0.36676129382750955,0.08790619497192939,0.13783685303060336,nan
2,33,66,shift_local_r2,0.27207852656742576,0.047532947980876115,0.08594139810302294,nan
2,33,66,shift_rank8_oracle,0.16205238784141252,0.010365631789686233,0.018621331284521148,nan
2,33,66,state_skip1,0.16210487636084306,0.010376304494054996,0.018626450619194657,0.999627496708114
2,33,66,state_skip2,0.16227386582757403,0.010398808139234569,0.018634959449991582,0.9983910433736893
2,33,66,state_skip4,0.1629219232776475,0.010485248457234104,0.01869627260020934,0.9937090857237517
2,33,66,state_noise_skip1,0.1621044731234601,0.01037854804673117,0.018622788949869573,0.9996271177393383
2,33,66,state_noise_skip2,0.16227294690396593,0.010402064199606473,0.01861882585217245,0.9983858420612155
2,33,66,state_noise_skip4,0.16292746111456574,0.010489590057179206,0.018690914229955523,0.9936353077142247
3,44,55,raw_reuse,0.31285795998435045,0.0892762918492668,0.13355983156361617,nan
3,44,55,shift_reuse,0.38118365672002197,0.08946520365263941,0.1397071443265304,nan
3,44,55,shift_local_r2,0.28938806438174913,0.05204453258546086,0.09440073104342445,nan
3,44,55,shift_rank8_oracle,0.1811457654858591,0.0124519732084723,0.02301486208452843,nan
3,44,55,state_skip1,0.18118154934258482,0.012492511663336897,0.02309630283853039,0.9997606240759848
3,44,55,state_skip2,0.1812909344496273,0.012551311782614304,0.023171924130292607,0.9990326347063594
3,44,55,state_skip4,0.18173235105987606,0.01270601602967162,0.02339257579296827,0.9960409828614661
3,44,55,state_noise_skip1,0.1811783366794599,0.012493349856468782,0.023036788223544134,0.999777121400837
3,44,55,state_noise_skip2,0.18127765623449815,0.012549010574710947,0.02311744681210257,0.9990995531757557
3,44,55,state_noise_skip4,0.1816809223538272,0.012687865168307319,0.023325488774571565,0.9963035766194083
4,55,44,raw_reuse,0.32056904720232526,0.09087667080186675,0.13644855464808642,nan
4,55,44,shift_reuse,0.39578192392261524,0.09157216422583517,0.14377788046840578,nan
4,55,44,shift_local_r2,0.30601073574060483,0.05211864900753957,0.09754535726970062,nan
4,55,44,shift_rank8_oracle,0.19606079477139654,0.013818151306948476,0.02483521462418139,nan
4,55,44,state_skip1,0.19609985111173878,0.01383325970953237,0.024809455120703205,0.9997408345897341
4,55,44,state_skip2,0.19620696411816035,0.013862459189818647,0.02480225340113975,0.9990306493515415
4,55,44,state_skip4,0.19660411941059003,0.013969779311922774,0.0249618447443936,0.9963718315477537
4,55,44,state_noise_skip1,0.1960961697330773,0.013844460033584484,0.024728760926518586,0.9997642868648142
4,55,44,state_noise_skip2,0.19619383705036514,0.013880548366776758,0.02465754724689759,0.9991135864802351
4,55,44,state_noise_skip4,0.19655533039408393,0.013994933528443054,0.025011599139543247,0.9966838829985225
5,66,33,raw_reuse,0.32973377776233703,0.09379629519065995,0.1436798356939107,nan
5,66,33,shift_reuse,0.4124168029277422,0.0956307539329074,0.15676763297524302,nan
5,66,33,shift_local_r2,0.32691358891933997,0.06353525949697163,0.11849241765448823,nan
5,66,33,shift_rank8_oracle,0.21395873690515624,0.016987376844678735,0.030065707443282002,nan
5,66,33,state_skip1,0.21401802980593287,0.017102623432489333,0.03014221923658624,0.9996114128821139
5,66,33,state_skip2,0.2141878793036121,0.01727482537570745,0.030612963240128008,0.9984998399751769
5,66,33,state_skip4,0.21484357973632512,0.01778011543293703,0.031651768577285105,0.9942342064199488
5,66,33,state_noise_skip1,0.214012262327218,0.017040187892933538,0.0300482404185459,0.9996394275093784
5,66,33,state_noise_skip2,0.21416379297471738,0.017125808365997655,0.03021265420829877,0.9986188239807136
5,66,33,state_noise_skip4,0.21473799254002385,0.017375211253872747,0.03065041524823755,0.9947501464335098
6,77,22,raw_reuse,0.33577900377698633,0.1009722489304086,0.15824384805746378,nan
6,77,22,shift_reuse,0.42166603338163905,0.104434701552933,0.17997780675068492,nan
6,77,22,shift_local_r2,0.34702557839084736,0.06858275737997477,0.13196546885883437,nan
6,77,22,shift_rank8_oracle,0.22798322978102464,0.020799537363007388,0.03723932449938729,nan
6,77,22,state_skip1,0.2280904916930649,0.02080041263838353,0.0372331497259438,0.9993636394243658
6,77,22,state_skip2,0.22838585697612315,0.020905780806650374,0.03734435683581978,0.9975988915042511
6,77,22,state_skip4,0.2295005995521153,0.021353387841942423,0.03808090476086363,0.9908853351449874
6,77,22,state_noise_skip1,0.22808186727319246,0.02078821977957765,0.037254029500763855,0.9993996656646809
6,77,22,state_noise_skip2,0.2283558555720971,0.020843045947405197,0.037388706230558455,0.9977285683607159
6,77,22,state_noise_skip4,0.2294131584271043,0.0211535276984385,0.03781597522320226,0.9912929524075317
7,88,11,raw_reuse,0.33969256845427936,0.12498420155137951,0.2002007798058912,nan
7,88,11,shift_reuse,0.42385533490610333,0.12547786997041635,0.22058977396227414,nan
7,88,11,shift_local_r2,0.3714041025926189,0.09700114705653431,0.1877507796976715,nan
7,88,11,shift_rank8_oracle,0.24081537401730152,0.03291779688724563,0.06061401863116771,nan
7,88,11,state_skip1,0.24149409475902056,0.03330671457888422,0.060538720735348744,0.9961822043591345
7,88,11,state_skip2,0.2434846004216466,0.03432423636545945,0.061179241049103425,0.9847188301974215
7,88,11,state_skip4,0.25160851578372373,0.03812650523363777,0.06693545151501892,0.934446783432398
7,88,11,state_noise_skip1,0.24156672201351453,0.03322272794791047,0.06045339824631809,0.9956692802131887
7,88,11,state_noise_skip2,0.24379438355579508,0.03396823196514728,0.06076412587426602,0.9824810838944936
7,88,11,state_noise_skip4,0.25288864686661716,0.036738276897227126,0.06456566769629715,0.9241156113356707
8,99,0,raw_reuse,0.3021669307234802,0.28135566752380603,0.5136763022281229,nan
8,99,0,shift_reuse,0.38386804539934527,0.23144917613957966,0.3999147455208003,nan
