split,sample_id,layer,sampling_step,branch,mask,head,rank,query_samples,baseline_sparse_output_relative_l2,calibration_self_oracle_rank_energy,heldout_self_oracle_rank_energy,frozen_calibration_basis_energy,subspace_overlap,heldout_self_oracle_corrected_output_relative_l2,coefficient_oracle_corrected_output_relative_l2,coefficient_oracle,ridge_feature,ridge_lambda,ridge_corrected_output_relative_l2
validation,s01_p01_seed20260740,0,0,cond,s3_temporal_pm2,0,8,128,0.5946319699287415,0.9461157917976379,0.9461157917976379,0.9461154748622509,1.0,0.13803167641162872,0.13803167641162872,True,concat,1e-05,0.13803167641162872
test,s02_p00_seed20260741,0,0,cond,s3_temporal_pm2,0,8,128,0.6067759394645691,0.9461157917976379,0.9541796445846558,0.9297596678876461,0.7956380844116211,0.1298847496509552,0.16081275045871735,True,concat,1e-05,0.20386603474617004
test,s03_p02_seed20260741,0,0,cond,s3_temporal_pm2,0,8,128,0.6067759394645691,0.9461157917976379,0.9541796445846558,0.9297596678876461,0.7956380844116211,0.1298847496509552,0.16081275045871735,True,concat,1e-05,0.20386603474617004
validation,s01_p01_seed20260740,0,0,cond,s3_temporal_pm2,0,16,128,0.5946319699287415,0.9850925803184509,0.9850925803184509,0.9850922297134169,0.9999999403953552,0.07260199636220932,0.07260199636220932,True,concat,1e-05,0.07260201871395111
test,s02_p00_seed20260741,0,0,cond,s3_temporal_pm2,0,16,128,0.6067759394645691,0.9850925803184509,0.9852691292762756,0.9655390957449781,0.7607297301292419,0.07364533096551895,0.11263902485370636,True,concat,1e-05,0.1759539395570755
test,s03_p02_seed20260741,0,0,cond,s3_temporal_pm2,0,16,128,0.6067759394645691,0.9850925803184509,0.9852691292762756,0.9655390957449781,0.7607297301292419,0.07364533096551895,0.11263902485370636,True,concat,1e-05,0.1759539395570755
validation,s01_p01_seed20260740,0,0,cond,s3_temporal_pm2,1,8,128,0.14733892679214478,0.7675037384033203,0.7675037384033203,0.7675043037482449,1.0000008344650269,0.07104367762804031,0.07104367762804031,True,concat,1e-05,0.07104369252920151
test,s02_p00_seed20260741,0,0,cond,s3_temporal_pm2,1,8,128,0.1461574286222458,0.7675037384033203,0.7793046236038208,0.6955554276572826,0.8336173295974731,0.06866217404603958,0.0806446373462677,True,concat,1e-05,0.18038737773895264
test,s03_p02_seed20260741,0,0,cond,s3_temporal_pm2,1,8,128,0.1461574286222458,0.7675037384033203,0.7793046236038208,0.6955554276572826,0.8336173295974731,0.06866217404603958,0.0806446373462677,True,concat,1e-05,0.18038737773895264
validation,s01_p01_seed20260740,0,0,cond,s3_temporal_pm2,1,16,128,0.14733892679214478,0.9276006817817688,0.9276006817817688,0.9276013999166812,1.0000005960464478,0.03964463621377945,0.03964463621377945,True,concat,1e-05,0.039644647389650345
