layer,sampling_step,branch,mask,head,rank,ridge_feature,ridge_lambda,validation_mean_relative_l2,validation_samples,selection_split,test_used_for_selection
0,0,cond,s3_temporal_pm2,0,8,concat,1e-05,0.13803167641162872,1,validation,False
0,0,cond,s3_temporal_pm2,0,16,concat,1e-05,0.07260201871395111,1,validation,False
0,0,cond,s3_temporal_pm2,1,8,concat,1e-05,0.07104369252920151,1,validation,False
0,0,cond,s3_temporal_pm2,1,16,concat,1e-05,0.039644647389650345,1,validation,False
0,0,cond,s3_temporal_pm2,2,8,concat,1e-05,0.08587875962257385,1,validation,False
0,0,cond,s3_temporal_pm2,2,16,concat,1e-05,0.048126887530088425,1,validation,False
0,0,cond,s3_temporal_pm2,3,8,concat,1e-05,0.09721877425909042,1,validation,False
0,0,cond,s3_temporal_pm2,3,16,concat,1e-05,0.05585508421063423,1,validation,False
0,0,cond,s3_temporal_pm2,4,8,concat,1e-05,0.02993430197238922,1,validation,False
0,0,cond,s3_temporal_pm2,4,16,concat,1e-05,0.016429148614406586,1,validation,False
0,0,cond,s3_temporal_pm2,5,8,concat,1e-05,0.024096060544252396,1,validation,False
0,0,cond,s3_temporal_pm2,5,16,concat,1e-05,0.011407369747757912,1,validation,False
0,0,cond,s3_temporal_pm2,6,8,concat,1e-05,0.06496469676494598,1,validation,False
0,0,cond,s3_temporal_pm2,6,16,concat,1e-05,0.029675396159291267,1,validation,False
0,0,cond,s3_temporal_pm2,7,8,concat,1e-05,0.10650240629911423,1,validation,False
0,0,cond,s3_temporal_pm2,7,16,concat,1e-05,0.06502038985490799,1,validation,False
0,0,cond,s3_temporal_pm2,8,8,concat,1e-05,0.16360978782176971,1,validation,False
0,0,cond,s3_temporal_pm2,8,16,concat,1e-05,0.09901921451091766,1,validation,False
0,0,cond,s3_temporal_pm2,9,8,concat,1e-05,0.21155625581741333,1,validation,False
0,0,cond,s3_temporal_pm2,9,16,concat,1e-05,0.12481856346130371,1,validation,False
0,0,cond,s3_temporal_pm2,10,8,concat,1e-05,0.1322874128818512,1,validation,False
0,0,cond,s3_temporal_pm2,10,16,concat,1e-05,0.07801462709903717,1,validation,False
0,0,cond,s3_temporal_pm2,11,8,concat,1e-05,0.035019002854824066,1,validation,False
0,0,cond,s3_temporal_pm2,11,16,concat,1e-05,0.01957683637738228,1,validation,False
0,0,cond,s3_tfull,0,8,concat,1e-05,0.19878511130809784,1,validation,False
0,0,cond,s3_tfull,0,16,concat,1e-05,0.11876429617404938,1,validation,False
0,0,cond,s3_tfull,1,8,concat,1e-05,0.12627743184566498,1,validation,False
0,0,cond,s3_tfull,1,16,concat,1e-05,0.06880417466163635,1,validation,False
0,0,cond,s3_tfull,2,8,concat,1e-05,0.09733308851718903,1,validation,False
0,0,cond,s3_tfull,2,16,concat,1e-05,0.0531059131026268,1,validation,False
0,0,cond,s3_tfull,3,8,concat,1e-05,0.10365040600299835,1,validation,False
0,0,cond,s3_tfull,3,16,concat,1e-05,0.057065192610025406,1,validation,False
0,0,cond,s3_tfull,4,8,concat,1e-05,0.12245465815067291,1,validation,False
0,0,cond,s3_tfull,4,16,concat,1e-05,0.07236198335886002,1,validation,False
0,0,cond,s3_tfull,5,8,concat,1e-05,0.08949964493513107,1,validation,False
0,0,cond,s3_tfull,5,16,concat,1e-05,0.04927106946706772,1,validation,False
0,0,cond,s3_tfull,6,8,concat,1e-05,0.11057599633932114,1,validation,False
0,0,cond,s3_tfull,6,16,concat,1e-05,0.050586774945259094,1,validation,False
0,0,cond,s3_tfull,7,8,concat,1e-05,0.31122907996177673,1,validation,False
0,0,cond,s3_tfull,7,16,concat,1e-05,0.18977642059326172,1,validation,False
0,0,cond,s3_tfull,8,8,concat,1e-05,0.18272241950035095,1,validation,False
0,0,cond,s3_tfull,8,16,concat,1e-05,0.1076931357383728,1,validation,False
0,0,cond,s3_tfull,9,8,concat,1e-05,0.2355821281671524,1,validation,False
0,0,cond,s3_tfull,9,16,concat,1e-05,0.140144482254982,1,validation,False
0,0,cond,s3_tfull,10,8,concat,1e-05,0.1705968976020813,1,validation,False
0,0,cond,s3_tfull,10,16,concat,1e-05,0.09312846511602402,1,validation,False
0,0,cond,s3_tfull,11,8,concat,1e-05,0.14952686429023743,1,validation,False
0,0,cond,s3_tfull,11,16,concat,1e-05,0.0856807753443718,1,validation,False
0,0,cond,s3_tfull_anchor12,0,8,concat,1e-05,0.1625700443983078,1,validation,False
0,0,cond,s3_tfull_anchor12,0,16,concat,1e-05,0.0963297113776207,1,validation,False
0,0,cond,s3_tfull_anchor12,1,8,concat,1e-05,0.1241837665438652,1,validation,False
0,0,cond,s3_tfull_anchor12,1,16,concat,1e-05,0.06769721210002899,1,validation,False
0,0,cond,s3_tfull_anchor12,2,8,concat,1e-05,0.06978125125169754,1,validation,False
0,0,cond,s3_tfull_anchor12,2,16,concat,1e-05,0.039047807455062866,1,validation,False
0,0,cond,s3_tfull_anchor12,3,8,concat,1e-05,0.07244943082332611,1,validation,False
0,0,cond,s3_tfull_anchor12,3,16,concat,1e-05,0.04040200263261795,1,validation,False
0,0,cond,s3_tfull_anchor12,4,8,concat,1e-05,0.12173181772232056,1,validation,False
0,0,cond,s3_tfull_anchor12,4,16,concat,1e-05,0.07181835919618607,1,validation,False
0,0,cond,s3_tfull_anchor12,5,8,concat,1e-05,0.0885348692536354,1,validation,False
0,0,cond,s3_tfull_anchor12,5,16,concat,1e-05,0.048876602202653885,1,validation,False
