split,sample_id,cell,layer,sampling_step,method,density,head,tile_index,query_start,family,generators,oracle_access,residual_sq,reference_sq,output_relative_l2,critical_output_relative_l2,adaptive_output_relative_l2,subspace_overlap,selected_attention_mass_mean,dynamic_scalars,dynamic_scalar_ratio_to_rank_basis,rotation_macs,tail_macs,dense_attention_macs,extra_work_ratio,record_quality_gate
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,0,0,frozen,0,source_only,1.5215009287899846,388.6896057128906,0.06256546078614474,0.26866030178555883,0.0018414286803935403,0.7056575858222344,0.46422284841537476,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,0,0,adaptive,0,heldout_defect_posthoc,0.0013179901820302132,388.6896057128906,0.0018414274976508674,0.26866030178555883,0.0018414286803935403,0.9999999999999998,0.46422284841537476,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,0,0,full_procrustes,128,heldout_defect_posthoc,0.0013179901820302132,388.6896057128906,0.0018414274976508674,0.26866030178555883,0.0018414286803935403,0.9999999999999998,0.46422284841537476,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,1,16320,frozen,0,source_only,2.8272448584528656,344.428466796875,0.09060083333010308,0.3571271765052722,0.002104914790481348,0.699426338863232,0.3361358046531677,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,1,16320,adaptive,0,heldout_defect_posthoc,0.0015260465262085148,344.428466796875,0.0021049140554096823,0.3571271765052722,0.002104914790481348,1.0000000000000002,0.3361358046531677,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,1,16320,full_procrustes,128,heldout_defect_posthoc,0.0015260465262085148,344.428466796875,0.0021049140554096823,0.3571271765052722,0.002104914790481348,1.0000000000000002,0.3361358046531677,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,2,32640,frozen,0,source_only,1.6486824657793404,536.2006225585938,0.05545042161186464,0.19017488260200716,0.0018207370861666478,0.7243890638039754,0.44583871960639954,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,2,32640,adaptive,0,heldout_defect_posthoc,0.0017775491549499676,536.2006225585938,0.0018207367269499175,0.19017488260200716,0.0018207370861666478,1.0000000000000002,0.44583871960639954,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,0,2,32640,full_procrustes,128,heldout_defect_posthoc,0.0017775491549499676,536.2006225585938,0.0018207367269499175,0.19017488260200716,0.0018207370861666478,1.0000000000000002,0.44583871960639954,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,0,0,frozen,0,source_only,1.9606618926278334,2353.151611328125,0.028865321523801914,0.06383159800156588,0.006361832311374033,0.6300344387067827,0.8824161291122437,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,0,0,adaptive,0,heldout_defect_posthoc,0.09523888818690196,2353.151611328125,0.00636183210973337,0.06383159800156588,0.006361832311374033,1.0,0.8824161291122437,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,0,0,full_procrustes,128,heldout_defect_posthoc,0.09523888818690196,2353.151611328125,0.00636183210973337,0.06383159800156588,0.006361832311374033,1.0,0.8824161291122437,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,1,16320,frozen,0,source_only,1.0365771423785008,2055.218017578125,0.022458040705626448,0.04642162429681832,0.006153032768005325,0.6651080277003389,0.864770233631134,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,1,16320,adaptive,0,heldout_defect_posthoc,0.07781016585428827,2055.218017578125,0.006153032672637551,0.04642162429681832,0.006153032768005325,0.9999999999999998,0.864770233631134,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,1,16320,full_procrustes,128,heldout_defect_posthoc,0.07781016585428827,2055.218017578125,0.006153032672637551,0.04642162429681832,0.006153032768005325,0.9999999999999998,0.864770233631134,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,2,32640,frozen,0,source_only,0.4808499617653903,2155.07568359375,0.014937349052278413,0.0335219448252989,0.004227203297280761,0.6562145044232224,0.9215085506439209,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,1,2,32640,adaptive,0,heldout_defect_posthoc,0.038509578154728205,2155.07568359375,0.0042272031280534,0.0335219448252989,0.004227203297280761,1.0,0.9215085506439209,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
