layer,codec,raw_index_entropy_bps,residual_index_entropy_bps,entropy_reduction,raw_payload_bps,residual_payload_bps,raw_cosine,residual_cosine
15,pq_0p5b_k16_d8,0.4665541737826068,0.31517270048332585,0.3244670861519672,0.5,0.7197265625,0.6483057356002424,0.7703947369903368
15,pq_1b_k16_d4,0.9257181507390049,0.6962029717146001,0.2479320285998301,1.0,1.1884765625,0.7539907318335477,0.8384007497783674
15,pq_1p5b_k64_d4,1.4300183493301812,1.2186504195315528,0.1478078444920884,1.5,1.6572265625,0.904486753179423,0.9367225738033739
15,pq_2b_k256_d4,1.9669503626299014,1.8110637174745916,0.0792529634285648,2.0,2.1259765625,0.9463601403771337,0.9648129116979213
15,pq_4b_k256_d2,3.956265672343042,3.7497920089549925,0.05218902886917809,4.0,4.0009765625,0.9834969691766318,0.9536453041549464
22,pq_0p5b_k16_d8,0.480418476087093,0.29448929468791074,0.3870150517805563,0.5,0.7197265625,0.610540031279832,0.7389719121919693
22,pq_1b_k16_d4,0.959434458291732,0.6890609024079399,0.2818051337922455,1.0,1.1884765625,0.780808227587489,0.8583542333393464
22,pq_1p5b_k64_d4,1.4603791593166315,1.2917692701327779,0.11545624169462454,1.5,1.6572265625,0.8845456491404187,0.9240424056718322
22,pq_2b_k256_d4,1.962771982676494,1.8473228718973371,0.058819420593994365,2.0,2.1259765625,0.9467363693205673,0.9592861169498486
22,pq_4b_k256_d2,3.9660181295300654,3.753717155931016,0.05353000583086209,4.0,4.0009765625,0.9887009086379799,0.9868306016826761
