layer,split,predictor,clips,frames,mse,nmse,mean_cosine,p05_cosine,residual_top10_energy,raw_temporal_spectral_entropy,residual_temporal_spectral_entropy,spectral_entropy_reduction,ops_per_scalar_proxy,selected_on_val
15,val,previous,5,40,0.0005270452928334108,0.5396943831242572,0.7301528087407005,-0.14292010356550566,0.4254692072532585,0.5347875975393086,0.7829075860402639,-0.4639598779826184,0.0,False
15,test,previous,10,80,0.000355276662147679,0.36380330174782827,0.8180983488201978,0.03289787477341371,0.5505721319918105,0.37488938957575585,0.6872719233526788,-0.8332658711158274,0.0,False
15,val,ema_025,5,40,0.0005275684147229354,0.540230059942369,0.6782337698533046,-0.056307918254026326,0.33329139839829736,0.5347875975393086,0.7493053885254966,-0.40112708666625396,2.0,False
15,test,ema_025,10,80,0.00037843344864287514,0.3875158510999161,0.7675421449519714,0.15027731667675343,0.37451751782412995,0.37488938957575585,0.5892596082820998,-0.5718225819859462,2.0,False
15,val,ema_050,5,40,0.0004762699341243233,0.48770041549181026,0.7249559832275585,-0.07405109856469827,0.4028723625271586,0.5347875975393086,0.7911608913858504,-0.47939274400935883,2.0,True
15,test,ema_050,10,80,0.0003213494638665371,0.32906185073576577,0.8115216551621133,0.13156424418083684,0.484268019139181,0.37488938957575585,0.6700410405546924,-0.787303293147201,2.0,True
15,val,ema_075,5,40,0.0004827371825225762,0.49432287789165885,0.7348375020689695,-0.0901794377730964,0.42707428732787045,0.5347875975393086,0.7964540649771241,-0.4892904559526219,2.0,False
15,test,ema_075,10,80,0.0003225335177111042,0.3302743218716313,0.8206266230350266,0.07682653110838689,0.5344704037673781,0.37488938957575585,0.6940536723999974,-0.8513558710888678,2.0,False
15,val,linear,5,40,0.0012661592763118534,1.2965471067819068,0.6678799724397988,-0.1853625244043857,0.40599835453646343,0.5347875975393086,0.7057859377135506,-0.3197500109595812,2.0,False
15,test,linear,10,80,0.0009240227623499662,0.9461993078884894,0.7729178694261614,-0.04388029348551621,0.5151686908460519,0.37488938957575585,0.5847369719286937,-0.5597586599887827,2.0,False
15,val,fourier_h4_k1,5,40,0.002561882627332448,2.6233678262485904,0.5489326331658664,-0.2567267836996302,0.38256566486338006,0.5347875975393086,0.608878484143033,-0.13854264187246512,32.0,False
15,test,fourier_h4_k1,10,80,0.002014665279561376,2.063017244618437,0.6670350786692205,-0.13460996568673816,0.46558353753052756,0.37488938957575585,0.511661381964709,-0.3648329245693813,32.0,False
15,val,fourier_h8_k2,5,40,0.0015006659313739508,1.536681923017284,0.6091841688293103,-0.16762488637442652,0.3401177237504947,0.5347875975393086,0.6881204341844211,-0.28671726373355555,96.0,False
15,test,fourier_h8_k2,10,80,0.0012550173400126515,1.2851377551436,0.7085706190554191,-0.04060296220405349,0.4252004837996334,0.37488938957575585,0.5821419179112534,-0.5528364741665139,96.0,False
22,val,previous,5,40,0.0004689596087207951,0.4802146410449801,0.7598926794890632,-0.23846730844911584,0.5273728749241523,0.48838078234423765,0.7769282277581324,-0.5908247331700096,0.0,False
22,test,previous,10,80,0.0003423624747037429,0.3505791741479032,0.8247104138104696,0.010728468957185329,0.5961472969566528,0.3616091639854113,0.6820082172774746,-0.8860368740682396,0.0,False
22,val,ema_025,5,40,0.0004934612521381488,0.5053043239939476,0.6954452044185597,-0.3058957268249795,0.4119160420476109,0.48838078234423765,0.7421113215222261,-0.5195342412125161,2.0,False
22,test,ema_025,10,80,0.0003884220829193486,0.39774421296758106,0.7574225266704835,-0.032009406179501355,0.4123319831792563,0.3616091639854113,0.5949405592850889,-0.6452585236725115,2.0,False
22,val,ema_050,5,40,0.00043661430814020513,0.44709305313217607,0.7478964360436435,-0.23248342577301429,0.4844232873042955,0.48838078234423765,0.7848477056229666,-0.6070405183751941,2.0,False
22,test,ema_050,10,80,0.00032372211451373555,0.3314914453105442,0.8097647751260173,0.026068673654178868,0.5220905544906576,0.3616091639854113,0.6738380304373972,-0.8634429034121005,2.0,False
22,val,ema_075,5,40,0.00043421600372973746,0.4446371894070871,0.7625521269242026,-0.2417367888958355,0.5212306502270994,0.48838078234423765,0.7900776698251748,-0.6177493021588318,2.0,True
22,test,ema_075,10,80,0.0003174022455750682,0.32501989951640237,0.824607554434549,0.022098541505632587,0.5827675412495331,0.3616091639854113,0.6935337680636351,-0.9179098240209833,2.0,True
22,val,linear,5,40,0.0011236890031111246,1.1506575432948842,0.6984516911208669,-0.2346247490770855,0.428226567018524,0.48838078234423765,0.6987367214637109,-0.43072116414933537,2.0,False
22,test,linear,10,80,0.0008640829180563643,0.8848209082191176,0.7785633662920536,0.017874346494973967,0.5046937092345444,0.3616091639854113,0.5774815775191671,-0.5969771649439306,2.0,False
22,val,fourier_h4_k1,5,40,0.0023932958309629965,2.450734939657884,0.5686200801507784,-0.39602369669837806,0.42393581195942753,0.48838078234423765,0.5925054726916599,-0.2132039058695585,32.0,False
22,test,fourier_h4_k1,10,80,0.0019650168588221653,2.012177263728168,0.6553190105636705,-0.2538135322243038,0.45725398832436787,0.3616091639854113,0.506642238860582,-0.40107687890626,32.0,False
22,val,fourier_h8_k2,5,40,0.0013705645479808399,1.403458102144244,0.6292994132195645,-0.2438551163600503,0.3737987669340368,0.48838078234423765,0.6777669753855594,-0.3877838766141948,96.0,False
22,test,fourier_h8_k2,10,80,0.0012070957366695511,1.2360660345303889,0.7065342326773498,-0.06838189563703598,0.39906418571198904,0.3616091639854113,0.5771503848095246,-0.5960612791129625,96.0,False
