layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,quality_cosine,mse,nmse,mean_cosine,p05_cosine,payload_bps,effective_bps,controller_static_bits,codebook_static_bits,reuse_rate,predict_rate,innovation_rate,refresh_rate,action_cost_proxy
15,1.58,always_predict,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.001049299261733331,1.074482444630038,0.4847286841061599,-0.28623214034212685,0.2510986328125,0.2526611328125,0.0,4096.0,0.0,0.9375,0.0,0.0625,0.109375
15,1.58,always_innovation,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.00012141464252113507,0.12432859401281648,0.9367225738033739,0.778372492075139,1.6573486328125,1.6589111328125,0.0,4096.0,0.0,0.0,0.9375,0.0625,0.296875
15,1.58,always_int4_refresh,ema_050,pq_1p5b_k64_d4,1.0,0.95,0.00019899613374321722,0.20377204106970745,0.9037465388596704,0.8033874574260381,4.0157470703125,4.0173095703125,0.0,4096.0,0.0,0.0,0.0,1.0,1.0
15,2.0,threshold,ema_050,pq_2b_k256_d4,1.0,0.95,0.0001079028238275695,0.11049249166268461,0.9457018106021768,0.8188506320160484,2.0030517578125,2.0093231201171875,56.0,16384.0,0.1875,0.0,0.625,0.1875,0.34375
15,2.0,decision_tree,ema_050,pq_2b_k256_d4,1.0,0.95,0.00011141255968073842,0.11408646117838703,0.9441062065757521,0.8114968702592967,2.0033447265625,2.0096675872802736,191.0,16384.0,0.20625,0.0,0.5875,0.20625,0.353125
15,2.0,mlp,ema_050,pq_2b_k256_d4,1.0,0.95,0.00018903614420781142,0.1935730117796133,0.9052639613183076,0.7768846536369306,1.5782470703125,1.5880615234375,9344.0,16384.0,0.4125,0.0,0.3875,0.2,0.296875
15,2.0,dlgn,ema_050,pq_2b_k256_d4,1.0,0.95,0.00015943813709719246,0.16326465248098893,0.9179732206214964,0.7864884706210553,1.3260986328125,1.333209228515625,2256.0,16384.0,0.4,0.0,0.5375,0.0625,0.196875
15,2.0,always_reuse,ema_050,pq_2b_k256_d4,1.0,0.95,0.001049299261733331,1.074482444630038,0.4847286841061599,-0.28623214034212685,0.2510986328125,0.2573486328125,0.0,16384.0,0.9375,0.0,0.0,0.0625,0.0625
15,2.0,always_predict,ema_050,pq_2b_k256_d4,1.0,0.95,0.001049299261733331,1.074482444630038,0.4847286841061599,-0.28623214034212685,0.2510986328125,0.2573486328125,0.0,16384.0,0.0,0.9375,0.0,0.0625,0.109375
15,2.0,always_innovation,ema_050,pq_2b_k256_d4,1.0,0.95,6.838324486951823e-05,0.07002444278647343,0.9648129116979213,0.8593967570871932,2.1260986328125,2.1323486328125,0.0,16384.0,0.0,0.0,0.9375,0.0625,0.296875
15,2.0,always_int4_refresh,ema_050,pq_2b_k256_d4,1.0,0.95,0.00019899613374321722,0.20377204106970745,0.9037465388596704,0.8033874574260381,4.0157470703125,4.0219970703125,0.0,16384.0,0.0,0.0,0.0,1.0,1.0
15,4.0,threshold,ema_050,pq_2b_k256_d4,1.0,0.95,0.0001079028238275695,0.11049249166268461,0.9457018106021768,0.8188506320160484,2.0030517578125,2.0093231201171875,56.0,16384.0,0.1875,0.0,0.625,0.1875,0.34375
15,4.0,decision_tree,ema_050,pq_2b_k256_d4,1.0,0.95,0.00011141255968073842,0.11408646117838703,0.9441062065757521,0.8114968702592967,2.0033447265625,2.0096675872802736,191.0,16384.0,0.20625,0.0,0.5875,0.20625,0.353125
15,4.0,mlp,ema_050,pq_2b_k256_d4,1.0,0.95,0.00013985367747306886,0.1432101658144058,0.9299933986192798,0.8042791819167127,1.7781494140625,1.7879638671875,9344.0,16384.0,0.30625,0.0,0.5,0.19375,0.31875
15,4.0,dlgn,ema_050,pq_2b_k256_d4,1.0,0.95,0.00019132589901405922,0.1959177207025533,0.9011014479965634,0.7694302555838022,1.1885986328125,1.195709228515625,2256.0,16384.0,0.46875,0.0,0.46875,0.0625,0.1796875
15,4.0,always_reuse,ema_050,pq_2b_k256_d4,1.0,0.95,0.001049299261733331,1.074482444630038,0.4847286841061599,-0.28623214034212685,0.2510986328125,0.2573486328125,0.0,16384.0,0.9375,0.0,0.0,0.0625,0.0625
15,4.0,always_predict,ema_050,pq_2b_k256_d4,1.0,0.95,0.001049299261733331,1.074482444630038,0.4847286841061599,-0.28623214034212685,0.2510986328125,0.2573486328125,0.0,16384.0,0.0,0.9375,0.0,0.0625,0.109375
15,4.0,always_innovation,ema_050,pq_2b_k256_d4,1.0,0.95,6.838324486951823e-05,0.07002444278647343,0.9648129116979213,0.8593967570871932,2.1260986328125,2.1323486328125,0.0,16384.0,0.0,0.0,0.9375,0.0625,0.296875
15,4.0,always_int4_refresh,ema_050,pq_2b_k256_d4,1.0,0.95,0.00019899613374321722,0.20377204106970745,0.9037465388596704,0.8033874574260381,4.0157470703125,4.0219970703125,0.0,16384.0,0.0,0.0,0.0,1.0,1.0
22,0.5,threshold,ema_075,pq_0p5b_k16_d8,1.0,0.95,0.00013170120917191478,0.1348620382270908,0.9366562452333165,0.8065538679409106,3.2628173828125,3.2636199951171876,56.0,2048.0,0.1875,0.0,0.0,0.8125,0.8125
22,0.5,decision_tree,ema_075,pq_0p5b_k16_d8,1.0,0.95,0.00013226412565209538,0.13543846470294554,0.9363791390130671,0.8065538679409106,3.1875244140625,3.1883304595947264,65.0,2048.0,0.20625,0.0,0.0,0.79375,0.79375
22,0.5,mlp,ema_075,pq_0p5b_k16_d8,1.0,0.95,0.0001581438500477248,0.16193930249095753,0.9238223933760874,0.7693970573205271,2.4847900390625,2.4891357421875,9344.0,2048.0,0.38125,0.0,0.0,0.61875,0.61875
22,0.5,dlgn,ema_075,pq_0p5b_k16_d8,1.0,0.95,0.00013170120917191478,0.1348620382270908,0.9366562452333165,0.8065538679409106,3.2628173828125,3.264459228515625,2256.0,2048.0,0.1875,0.0,0.0,0.8125,0.8125
