layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,mean_cosine,p05_cosine,effective_bps,int4_effective_bps,reuse_rate,predict_rate,innovation_rate,refresh_rate,encoder_required_rate,encoder_skip_rate,state_update_cost_proxy,standalone_rate_quality_dominated,best_dominator,memory_representation_candidate,conditional_compute_candidate
15,0.5,threshold,ema_050,pq_0p5b_k16_d8,1.0,0.9036819447382219,0.8033874574260381,3.2636199951171876,4.0165283203125,0.1875,0.0,0.0,0.8125,0.8125,0.1875,0.8125,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,0.5,decision_tree,ema_050,pq_0p5b_k16_d8,1.0,0.8884956396190766,0.7905224638413637,2.3099285125732423,4.0165283203125,0.425,0.0,0.0,0.575,0.575,0.425,0.575,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,0.5,mlp,ema_050,pq_0p5b_k16_d8,1.0,0.8806412566133528,0.7790259374021148,2.2412841796875,4.0165283203125,0.4375,0.0,0.00625,0.55625,0.5625,0.4375,0.5578125,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,0.5,dlgn,ema_050,pq_0p5b_k16_d8,1.0,0.89036959304319,0.7914544367488199,2.436236572265625,4.0165283203125,0.39375,0.0,0.0,0.60625,0.60625,0.39375,0.60625,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,1.0,threshold,ema_050,pq_1p5b_k64_d4,0.5,0.9096385070682601,0.7971076200000472,2.1276824951171873,4.0173095703125,0.26875,0.0,0.26875,0.4625,0.73125,0.26875,0.5296875,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.0,decision_tree,ema_050,pq_1p5b_k64_d4,0.5,0.9170596750732969,0.7971076200000472,1.7566898345947266,4.0173095703125,0.20625,0.0,0.475,0.31875,0.79375,0.20625,0.4375,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.0,mlp,ema_050,pq_1p5b_k64_d4,0.5,0.9028525158134635,0.791397385434879,1.7608154296875,4.0173095703125,0.31875,0.0,0.325,0.35625,0.68125,0.31875,0.4375,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.0,dlgn,ema_050,pq_1p5b_k64_d4,0.5,0.8845184042988226,0.7800908127553194,2.487213134765625,4.0173095703125,0.38125,0.0,0.0,0.61875,0.61875,0.38125,0.61875,True,residual_pq:pq_1p5b_k64_d4@0.50,False,False
15,1.58,threshold,ema_050,pq_1p5b_k64_d4,1.0,0.929610557665239,0.8093037275660874,1.9751434326171875,4.0173095703125,0.1875,0.0,0.5125,0.3,0.8125,0.1875,0.428125,True,residual_pq:pq_1p5b_k64_d4@1.00,False,False
15,1.58,decision_tree,ema_050,pq_1p5b_k64_d4,1.0,0.9143807809796527,0.8017226984095157,2.5288082122802735,4.0173095703125,0.20625,0.0,0.2625,0.53125,0.79375,0.20625,0.596875,True,residual_pq:pq_2b_k256_d4@0.50,False,False
15,1.58,mlp,ema_050,pq_1p5b_k64_d4,1.0,0.9117300500707589,0.7962668532960714,1.6814208984375,4.0173095703125,0.34375,0.0,0.38125,0.275,0.65625,0.34375,0.3703125,True,residual_pq:pq_2b_k256_d4@0.50,False,False
