sample_id,layer,sampling_step,timestep,branch,mask,head,action,calibration_output_relative_l2,calibration_query_nrmse_p95,calibration_query_nrmse_p99,calibration_query_cosine_p05,calibration_lse_error_p95
s00_p00_seed20260740,0,0,999.0,cond,s3,0,dense,0.8137626051902771,1.1526708602905273,1.4248456954956055,0.5758668184280396,3.642435073852539
s00_p00_seed20260740,0,0,999.0,cond,s3,1,dense,0.7460618615150452,1.0622918605804443,1.2084234952926636,0.723251461982727,1.8733587265014648
s00_p00_seed20260740,0,0,999.0,cond,s3,10,dense,0.7947167158126831,1.0109672546386719,1.2130111455917358,0.5943950414657593,10.0963716506958
s00_p00_seed20260740,0,0,999.0,cond,s3,11,dense,0.5336009860038757,0.7721157670021057,0.8665953278541565,0.8862768411636353,0.655087411403656
s00_p00_seed20260740,0,0,999.0,cond,s3,2,dense,0.7236091494560242,0.9357231855392456,1.1023058891296387,0.7109148502349854,4.752389907836914
s00_p00_seed20260740,0,0,999.0,cond,s3,3,dense,0.685434103012085,1.0726374387741089,1.22355055809021,0.618972659111023,5.113882541656494
s00_p00_seed20260740,0,0,999.0,cond,s3,4,dense,0.3587455153465271,0.6042889952659607,0.7414400577545166,0.9211322069168091,0.6209558844566345
s00_p00_seed20260740,0,0,999.0,cond,s3,5,dense,0.2872812747955322,0.47663259506225586,0.5418630242347717,0.9398632645606995,0.5499489307403564
s00_p00_seed20260740,0,0,999.0,cond,s3,6,dense,0.26936107873916626,0.4095383882522583,0.5714150071144104,0.9345067143440247,1.1270711421966553
s00_p00_seed20260740,0,0,999.0,cond,s3,7,dense,0.7771762013435364,1.105790376663208,1.2610293626785278,0.635973334312439,3.3987364768981934
s00_p00_seed20260740,0,0,999.0,cond,s3,8,dense,1.357169508934021,1.9817225933074951,2.2589337825775146,0.1637260615825653,5.003729343414307
s00_p00_seed20260740,0,0,999.0,cond,s3,9,dense,1.553327202796936,2.114103317260742,2.229530096054077,0.13332237303256989,4.542768478393555
s00_p00_seed20260740,0,0,999.0,cond,s3_temporal_pm2,0,dense,0.5946309566497803,0.9246765971183777,1.024065613746643,0.6697565913200378,2.400735378265381
