variant,samples,candidate_kl_sum,candidate_kl_mean,candidate_kl_median,candidate_kl_p95,aggregate_candidate_kl_reduction,reduction_ci95_low,reduction_ci95_high,candidate_kl_p95_ratio,candidate_top1_match,candidate_top1_match_delta,vocabulary_kl_sum,aggregate_vocabulary_kl_reduction,mean_answer_logprob_delta,mean_feature_relative_l2,mean_support_overlap_with_euclidean,paired_kl_wins,paired_kl_ties,paired_kl_losses,decision,positive_task_count
pca_only,20,0.12354067111846234,0.006177033555923117,0.00036883552093058825,0.025085986033082045,-0.2742100162287442,-0.7933399449840027,0.34891038451258016,1.7611660062175665,1.0,0.0,0.1235321025759788,-0.2741959893456971,0.055975792925528366,0.16604212298989296,0.0,8,4,8,ABLATION,1
euclidean_s4,20,0.09695471668328537,0.004847735834164269,0.0004679002449847758,0.01424396447837356,0.0,0.0,0.0,1.0,1.0,0.0,0.09694905933537967,0.0,0.047521126422725504,0.15902350544929506,1.0,0,20,0,REFERENCE,0
fisher_s4,20,0.05406524952377367,0.0027032624761886836,0.0006087003857828677,0.008737377822399155,0.44236596863683764,-0.9359279008228861,0.8802732535207316,0.6134091274704462,0.95,-0.050000000000000044,0.054061918733282255,0.44236778465004245,0.00695408389037766,0.1636949624866247,0.0765625,10,2,8,BOUNDARY,3
mixed_s4,20,0.0442661403483271,0.002213307017416355,0.0003310086176497862,0.00821746028959752,0.5434348955613171,-0.44117585743809246,0.8879200482851445,0.5769082267843332,0.95,-0.050000000000000044,0.04426619434062218,0.5434076963295704,0.0029761206766124814,0.1625621236860752,0.2515625,13,1,6,BOUNDARY,3
