step,layer,split,threshold_ratio,passes
0,0,calibration,2.6971669867634773,False
0,0,evaluation,2.156687155365944,False
0,1,calibration,3.254585899412632,False
0,1,evaluation,2.5874940678477287,False
0,2,calibration,3.3375872299075127,False
0,2,evaluation,2.708750031888485,False
0,3,calibration,2.7285118121653795,False
0,3,evaluation,2.202139236032963,False
0,4,calibration,2.511192113161087,False
0,4,evaluation,1.9727380946278572,False
0,5,calibration,2.4949777871370316,False
0,5,evaluation,2.0299749448895454,False
0,6,calibration,1.9338781712576747,False
0,6,evaluation,1.5609266236424446,False
0,7,calibration,1.7754290020093322,False
0,7,evaluation,1.4187335968017578,False
0,8,calibration,1.7476967768743634,False
0,8,evaluation,1.349693164229393,False
0,9,calibration,1.4232282992452383,False
0,9,evaluation,1.1156518012285233,False
0,10,calibration,1.1084583820775151,False
0,10,evaluation,0.8392392657697201,True
0,11,calibration,1.320194685831666,False
0,11,evaluation,1.0114077478647232,False
0,12,calibration,1.7092482885345817,False
0,12,evaluation,1.3128613121807575,False
0,13,calibration,1.2297120410948992,False
0,13,evaluation,0.8694538846611977,True
0,14,calibration,1.3850269606336951,False
0,14,evaluation,1.0272303596138954,False
0,15,calibration,1.2889545178040862,False
0,15,evaluation,0.881666038185358,True
0,16,calibration,1.205572858452797,False
0,16,evaluation,0.8705241605639458,True
0,17,calibration,1.6772017115727067,False
0,17,evaluation,1.250196434557438,False
0,18,calibration,1.8958274740725756,False
0,18,evaluation,1.4068353921175003,False
0,19,calibration,2.341361017897725,False
0,19,evaluation,1.8592847511172295,False
0,20,calibration,2.786095719784498,False
0,20,evaluation,2.1830471232533455,False
0,21,calibration,2.4778745137155056,False
0,21,evaluation,1.8925806507468224,False
0,22,calibration,1.9218771485611796,False
0,22,evaluation,1.427130587399006,False
0,23,calibration,2.380162477493286,False
0,23,evaluation,1.7173988744616508,False
0,24,calibration,1.9711763598024845,False
0,24,evaluation,1.5363700687885284,False
0,25,calibration,1.8297297647222877,False
0,25,evaluation,1.3673972338438034,False
0,26,calibration,2.224933123216033,False
0,26,evaluation,1.6972286626696587,False
0,27,calibration,2.989039523527026,False
0,27,evaluation,2.4544142186641693,False
0,28,calibration,7.272318005561829,False
0,28,evaluation,6.413939595222473,False
0,29,calibration,7.324036676436663,False
0,29,evaluation,6.6711947321891785,False
1,0,calibration,2.7533876709640026,False
1,0,evaluation,2.1967172622680664,False
1,1,calibration,3.0561869498342276,False
1,1,evaluation,2.4351324886083603,False
1,2,calibration,3.094949759542942,False
1,2,evaluation,2.535545825958252,False
1,3,calibration,2.457024995237589,False
1,3,evaluation,1.9249677658081055,False
1,4,calibration,2.200280549004674,False
1,4,evaluation,1.7262516543269157,False
1,5,calibration,2.441396936774254,False
1,5,evaluation,1.950746402144432,False
1,6,calibration,1.7231018282473087,False
1,6,evaluation,1.420664880424738,False
1,7,calibration,1.6448732931166887,False
1,7,evaluation,1.3090282678604126,False
1,8,calibration,1.819302560761571,False
1,8,evaluation,1.4814099296927452,False
1,9,calibration,1.6534231835976243,False
1,9,evaluation,1.2643174268305302,False
1,10,calibration,1.198020065203309,False
1,10,evaluation,0.9319051168859005,True
1,11,calibration,1.4767206739634275,False
1,11,evaluation,1.135705504566431,False
1,12,calibration,1.781927072443068,False
1,12,evaluation,1.407623291015625,False
1,13,calibration,1.273459754884243,False
1,13,evaluation,0.9890821762382984,True
1,14,calibration,1.454110024496913,False
1,14,evaluation,1.0883880779147148,False
1,15,calibration,1.3874332653358579,False
1,15,evaluation,1.024407520890236,False
1,16,calibration,1.337083405815065,False
1,16,evaluation,0.9696782566606998,True
1,17,calibration,1.9204800482839346,False
1,17,evaluation,1.416025497019291,False
1,18,calibration,2.146631944924593,False
1,18,evaluation,1.7187520861625671,False
1,19,calibration,2.471905667334795,False
1,19,evaluation,2.0859483629465103,False
1,20,calibration,2.7202775236219168,False
1,20,evaluation,2.22831591963768,False
1,21,calibration,2.657662844285369,False
1,21,evaluation,2.079574391245842,False
1,22,calibration,2.1339883096516132,False
1,22,evaluation,1.6854457557201385,False
1,23,calibration,2.433489076793194,False
1,23,evaluation,1.879369094967842,False
1,24,calibration,2.3094522766768932,False
1,24,evaluation,1.7831683158874512,False
1,25,calibration,1.963913906365633,False
1,25,evaluation,1.5141729265451431,False
1,26,calibration,2.4035631213337183,False
1,26,evaluation,1.8327157944440842,False
1,27,calibration,3.064183285459876,False
1,27,evaluation,2.4365944787859917,False
