mask,validation_sparse_heads_min,coefficient_oracle_error_max,ridge_error_max,frozen_basis_energy_p05,subspace_overlap_p05
s3,0,,,,
s3_temporal_pm2,0,0.18685689568519592,0.2766067385673523,0.7568697854500506,0.6655883193016052
s3_tfull,0,0.2309075891971588,0.5556820631027222,0.7732952666137922,0.6644972562789917
s3_tfull_anchor12,0,0.2255956083536148,0.5562777519226074,0.7706554135926067,0.6592938303947449
s5,0,,,,
s5_tfull,0,,,,
