prompt_index,prompt,seed,repeat,method,schedule_order_index,status,seconds_including_text_and_vae,self_attention_calls,cross_attention_calls,peak_allocated_mib,video_file,video_sha256,event_file,schedule_family,schedule_action,schedule_cell_count,schedule_metadata,tri_mode_schedule,tri_mode_model_calls,tri_mode_block_calls,tri_mode_requested_dense,tri_mode_requested_quant,tri_mode_requested_cache,tri_mode_executed_dense,tri_mode_executed_quant,tri_mode_executed_cache,tri_mode_cache_fallbacks,tri_mode_cache_refreshes,tri_mode_max_cache_age,hybrid_linear_count,hybrid_dense_calls,hybrid_fp8_calls,hybrid_residual_calls,static_scale_min,static_scale_max,source_run_dir,logical_sample,dense_video_file,dense_seconds,candidate_seconds,end_to_end_speedup,candidate_fps,reference_fps,fps_match,step_start,step_end,block_start,block_end,schedule_branches,forecast_scale,frames,height,width,pixel_mae,pixel_rmse,pixel_psnr_db,pixel_max_abs,exact_pixel_fraction,frame_psnr_mean_db,frame_psnr_p05_db,frame_ssim_mean,frame_ssim_p05,frame_ssim_min,temporal_delta_mae,reference_frame_delta_mae,candidate_frame_delta_mae
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,dense,0,ok,5.941193041013321,1200,1200,21517.130859375,p00_dense_seed20260723_r0.mp4,05e9c5f36db0801e12f5ceae616a122ee3aa3964ab365ae740b677128d7d5742,events/p00_dense_seed20260723_r0.jsonl,reference,,0,"{""cell_count"": 0, ""family"": ""reference""}",dense,40,1200,1200,0,0,1200,0,0,0,0,0,60,2400,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.941193041013321,5.941193041013321,1.0,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,0.0,0.0,inf,0.0,1.0,inf,nan,1.0,1.0,1.0,0.0,16.231849292200856,16.231849292200856
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s19_b12_br1,1,ok,6.138705413002754,1199,1199,21539.982421875,p00_c_s19_b12_br1_seed20260723_r0.mp4,1f3e5b0b122cde565d9c08ffc0e14c7e8582d92e448329849d0071513c734b14,events/p00_c_s19_b12_br1_seed20260723_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured pure-cache single-call candidate""}",c_s19_b12_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.941193041013321,6.138705413002754,0.9678250773247613,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.7096464146556056,4.1392655054244445,35.79233792269058,125.0,0.17721830418866263,35.796853718979435,35.43360654089463,0.973958541854572,0.9714289652173428,0.9703775278740409,3.2707171578692575,16.231849292200856,16.305799122345753
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s19_b06_br1_f100,2,ok,5.968522295996081,1199,1199,21562.833984375,p00_c_s19_b06_br1_f100_seed20260723_r0.mp4,230c12d93bdc7c423c3cdf3021b05bfbc5b93016ca1167e0a519e9e377b2fea7,events/p00_c_s19_b06_br1_f100_seed20260723_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured first-order forecast single-call candidate""}",c_s19_b06_br1_f100,40,1200,1199,0,1,1199,0,1,0,2,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.941193041013321,5.968522295996081,0.995421101970065,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.510288765947084,3.795443650029585,36.54555264964378,160.0,0.18750540079813977,36.551509258896964,36.26278414062954,0.9759965722959978,0.9728814200728926,0.9728665602597042,3.1187494261651976,16.231849292200856,16.176815769815036
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260724,0,c_s19_b06_br1_f100,0,ok,5.985941855004057,1199,1199,21562.833984375,p00_c_s19_b06_br1_f100_seed20260724_r0.mp4,2c4d18c2269b7875fe010dc0f31bcf1233a0857307d1a93a0cf21e88348fdddc,events/p00_c_s19_b06_br1_f100_seed20260724_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured first-order forecast single-call candidate""}",c_s19_b06_br1_f100,40,1200,1199,0,1,1199,0,1,0,2,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p00_seed20260724_r0,p00_dense_seed20260724_r0.mp4,6.246611053007655,5.985941855004057,1.0435468977677567,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.5386173269387884,3.934974459538344,36.23196525148676,119.0,0.1950069621197838,36.25067429374133,35.703389497460066,0.9734578630323198,0.9697250629411591,0.968533501275965,3.040997366619925,13.198185325687767,13.21462892711672
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260724,0,c_s19_b12_br1,1,ok,5.9709552619897295,1199,1199,21539.982421875,p00_c_s19_b12_br1_seed20260724_r0.mp4,c7c696c38394fcbbff61eac4b2b79090a26f4d49cfcdbd586548f99b3456cf3d,events/p00_c_s19_b12_br1_seed20260724_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured pure-cache single-call candidate""}",c_s19_b12_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p00_seed20260724_r0,p00_dense_seed20260724_r0.mp4,6.246611053007655,5.9709552619897295,1.046166112275654,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.7169496193910256,4.2489122209147645,35.56524842848037,137.0,0.1860401151646556,35.58534146365565,35.033998267714225,0.9710299870278971,0.9662371450712949,0.965487646400037,3.1529288528311965,13.198185325687767,13.263798118656517
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260724,0,dense,2,ok,6.246611053007655,1200,1200,21517.130859375,p00_dense_seed20260724_r0.mp4,125addab9f3354c1f91220f0dbb545888b240b9ee3d9fcb3d91ab6d053378d84,events/p00_dense_seed20260724_r0.jsonl,reference,,0,"{""cell_count"": 0, ""family"": ""reference""}",dense,40,1200,1200,0,0,1200,0,0,0,0,0,60,2400,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p00_seed20260724_r0,p00_dense_seed20260724_r0.mp4,6.246611053007655,6.246611053007655,1.0,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,0.0,0.0,inf,0.0,1.0,inf,nan,1.0,1.0,1.0,0.0,13.198185325687767,13.198185325687767
1,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",20260723,0,dense,0,ok,6.001878501003375,1200,1200,21517.130859375,p01_dense_seed20260723_r0.mp4,b503aaa3ce94ca5cb9a7bc70f8e8009dbdb3c0764802969449ec7d1ee6e589a0,events/p01_dense_seed20260723_r0.jsonl,reference,,0,"{""cell_count"": 0, ""family"": ""reference""}",dense,40,1200,1200,0,0,1200,0,0,0,0,0,60,2400,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p01_seed20260723_r0,p01_dense_seed20260723_r0.mp4,6.001878501003375,6.001878501003375,1.0,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,0.0,0.0,inf,0.0,1.0,inf,nan,1.0,1.0,1.0,0.0,6.183109120426015,6.183109120426015
1,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",20260723,0,c_s19_b12_br1,1,ok,6.034966608014656,1199,1199,21539.982421875,p01_c_s19_b12_br1_seed20260723_r0.mp4,5d3efff41a13e79fca79b33720f832d17b13dfcb28f6bad43aed8b621453b513,events/p01_c_s19_b12_br1_seed20260723_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured pure-cache single-call candidate""}",c_s19_b12_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p01_seed20260723_r0,p01_dense_seed20260723_r0.mp4,6.001878501003375,6.034966608014656,0.9945172675906212,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.3870239932912267,3.9320693896753456,36.23838014324317,134.0,0.23444025146116138,36.27715677853107,35.15608744364856,0.9697969183839551,0.9654707312018939,0.9643553901029783,2.303906771668002,6.183109120426015,6.2172914162660255
1,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",20260723,0,c_s19_b06_br1_f100,2,ok,6.139727148023667,1199,1199,21562.833984375,p01_c_s19_b06_br1_f100_seed20260723_r0.mp4,ba8f2cd15f34dce5eaea8e2acb9e7f003ec92480c8b9418703530e88fe11cb97,events/p01_c_s19_b06_br1_f100_seed20260723_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured first-order forecast single-call candidate""}",c_s19_b06_br1_f100,40,1200,1199,0,1,1199,0,1,0,2,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p01_seed20260723_r0,p01_dense_seed20260723_r0.mp4,6.001878501003375,6.139727148023667,0.9775480825618343,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.1040769643193817,3.3903678335179084,37.525867229272656,116.0,0.2514948918269231,37.54590719701078,36.768221460841694,0.973738073875586,0.9696100889774038,0.9681659550413549,2.1800887148604433,6.183109120426015,6.181673124916533
1,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",20260724,0,c_s19_b06_br1_f100,0,ok,6.2190900889982,1199,1199,21562.833984375,p01_c_s19_b06_br1_f100_seed20260724_r0.mp4,286dc29e5cbc419ecede456f3094fb2766ece8e366742516748b9faaaee93cdf,events/p01_c_s19_b06_br1_f100_seed20260724_r0.jsonl,multisample_gate,C,1,"{""action"": ""C"", ""cell_count"": 1, ""family"": ""multisample_gate"", ""selection"": ""best measured first-order forecast single-call candidate""}",c_s19_b06_br1_f100,40,1200,1199,0,1,1199,0,1,0,2,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_multisample_gate_v1/data,p01_seed20260724_r0,p01_dense_seed20260724_r0.mp4,6.243737489974592,6.2190900889982,1.0039631844246788,16.0,16.0,True,,,,,"[0, 1]",0.0,17,480,832,2.1972411250157116,3.59165317842993,37.024915745690016,144.0,0.22866247761123681,37.03520015715363,36.49884508025482,0.97085170152279,0.968135022110545,0.9678552647146327,2.4411100469083866,6.879230570996929,6.8801105205829325
