sample_id,sample_position,mode,selected_group_count,teacher_index,answer_index,approximate_index,candidate_kl,prediction_match,baseline_correct,approximate_correct,compressed_top1_margin,token_count,token_retention
vsi_question_3132,73,positioned_equal_mass,0,3,1,0,0.034279122948646545,0,0,0,0.375,392,0.25
vsi_question_3132,73,positioned_equal_mass,49,3,1,3,0.27052953839302063,1,0,0,1.875,539,0.34375
vsi_question_3132,73,positioned_equal_mass,98,3,1,3,0.04802948236465454,1,0,0,0.625,686,0.4375
vsi_question_3132,73,positioned_equal_mass,147,3,1,0,0.019243068993091583,0,0,0,0.125,833,0.53125
vsi_question_3132,73,positioned_equal_mass,196,3,1,3,0.009942229837179184,1,0,0,0.5,980,0.625
vsi_question_3132,73,positioned_group_mass,0,3,1,0,0.06192032992839813,0,0,0,0.375,392,0.25
vsi_question_3132,73,positioned_group_mass,49,3,1,3,0.06474028527736664,1,0,0,0.5,539,0.34375
vsi_question_3132,73,positioned_group_mass,98,3,1,0,0.02623073011636734,0,0,0,0.25,686,0.4375
vsi_question_3132,73,positioned_group_mass,147,3,1,3,0.03536919504404068,1,0,0,0.625,833,0.53125
vsi_question_3132,73,positioned_group_mass,196,3,1,0,0.025388550013303757,0,0,0,0.0,980,0.625
vsi_question_5084,74,positioned_equal_mass,0,0,2,0,0.00044853053987026215,1,0,0,0.375,392,0.25
vsi_question_5084,74,positioned_equal_mass,49,0,2,0,0.0028142165392637253,1,0,0,0.5,539,0.34375
vsi_question_5084,74,positioned_equal_mass,98,0,2,0,0.00044853053987026215,1,0,0,0.375,686,0.4375
vsi_question_5084,74,positioned_equal_mass,147,0,2,0,0.0004167472943663597,1,0,0,0.375,833,0.53125
vsi_question_5084,74,positioned_equal_mass,196,0,2,0,0.0004167472943663597,1,0,0,0.375,980,0.625
vsi_question_5084,74,positioned_group_mass,0,0,2,0,0.001608002930879593,1,0,0,0.375,392,0.25
vsi_question_5084,74,positioned_group_mass,49,0,2,0,0.0,1,0,0,0.375,539,0.34375
