cluster_family,prototype_count,selector,cell_count,active_token_count_mean,active_token_count_max,active_read_ratio,exact_token_fraction_mean,selected_visual_mass_mean,visual_mean,visual_p95,visual_worst,visual_worst_head,full_mean,full_p95,full_worst
key,32,oracle_local,72,385.6195602416992,392,4.0672756632169085,0.23088665306568146,0.6717098015877936,0.12027047522779968,0.22573233842849735,0.2591332495212555,0.5655579566955566,0.012664294342458662,0.021832850947976115,0.03543301671743393
key,32,prototype_mass,72,385.8174777560764,392,4.065237641334534,0.23086134406427541,0.6619891126950582,0.20620619960957104,0.43182775378227284,0.62706458568573,1.4759161472320557,0.016129806663634047,0.03340363632887603,0.04883069545030594
key,64,oracle_local,72,390.67313385009766,392,4.013695120811462,0.21845675901406342,0.6929755012194315,0.09096154055765106,0.16089024022221565,0.1696641892194748,0.41430023312568665,0.010013834735016443,0.01642086794599891,0.02710108458995819
key,64,prototype_mass,72,390.57541317409937,392,4.014718731244405,0.21812301149798763,0.6848574098613527,0.16501132243623337,0.4613107115030289,0.5717938542366028,1.5676020383834839,0.012996258983750723,0.027208922058343916,0.03390098735690117
key,128,oracle_local,72,391.7713517083062,392,4.002343131436242,0.18535865967472395,0.681420213646359,0.07544140450449453,0.13058750703930855,0.13833704590797424,0.34858986735343933,0.008613561179825209,0.014125432167202238,0.02241813950240612
key,128,prototype_mass,72,391.76093249850805,392,4.002449214458466,0.18541180404524008,0.6783871120876737,0.138437922216124,0.4189322978258134,0.5854519605636597,1.564638614654541,0.011186225346237835,0.017985971085727217,0.026916522532701492
key_value,32,oracle_local,72,388.35319222344293,392,4.038057214683956,0.23424341012206343,0.5764988044069873,0.2045369552862313,0.36280855089426045,0.417157381772995,0.9565647840499878,0.017249233186400186,0.028546620532870298,0.041577208787202835
key_value,32,prototype_mass,72,387.9816640218099,392,4.042028023136987,0.23373440673781765,0.5695111999909083,0.2903661001473665,0.6327462613582612,0.6754024624824524,1.4571460485458374,0.01988542512602483,0.04142294861376288,0.05588749051094055
key_value,64,oracle_local,72,391.47422069973413,392,4.00539763768514,0.22104384087853962,0.619762960407469,0.14856369462278154,0.2528840944170952,0.3074129521846771,0.7891345024108887,0.013851780767759515,0.02285933531820774,0.0345919206738472
key_value,64,prototype_mass,72,391.27878824869794,392,4.007407757971022,0.22115424503054884,0.5996961138314671,0.25443705254130894,0.5848913609981538,0.6093690991401672,1.4465677738189697,0.016466562073522557,0.030866881087422388,0.04223984479904175
key_value,128,oracle_local,72,391.9910986158583,392,4.000091400411394,0.1904882188472483,0.6218793106575807,0.11970351067268187,0.2064398549497128,0.2326134741306305,0.6910737156867981,0.012078653529493345,0.020818514842540027,0.02940003201365471
key_value,128,prototype_mass,72,391.9707594977485,392,4.000299493471782,0.19223318766388628,0.6000041419433223,0.22482393568174708,0.5513838440179826,0.65999835729599,1.4910171031951904,0.014565362219905688,0.024408878386020662,0.03549295291304588
