category,layer,method,count,mean_error_mean,mean_error_std,stable_error_mean,stable_error_std,event_like_error_mean,event_like_error_std,mean_centered_error_mean,mean_centered_error_std,stable_centered_error_mean,stable_centered_error_std,event_like_centered_error_mean,event_like_centered_error_std
unlabeled,0,global_bccb_causal,3,0.17188685130490486,0.11265785583962624,0.16557136646911016,0.109209822501564,0.1896759057194375,0.1202846495817122,0.2313664712059698,0.15025328350262995,0.22381453338332769,0.14677766924560798,0.25522572712595226,0.16061391778858722
unlabeled,0,global_bccb_pair,3,0.16591817356394864,0.10737105415615691,0.15896683337349224,0.10238198933125393,0.17931191754580267,0.11812354052363372,0.22329933965008297,0.14320388438849907,0.2145623070693191,0.13730327874748802,0.24120049428704848,0.15742662157309364
unlabeled,0,hidden_shift_cyclic,3,0.17353877671515508,0.11532786965920283,0.16564173854629252,0.10949573431555003,0.1889707543574549,0.12807737724247262,0.23366031964061565,0.15390125247537575,0.22372746862602408,0.1469940074094411,0.25422007981934386,0.17066601086091746
unlabeled,0,identity,3,0.17353877671515508,0.11532786965920283,0.16564173854629252,0.10949573431555003,0.1889707543574549,0.12807737724247262,0.23366031964061565,0.15390125247537575,0.22372746862602408,0.1469940074094411,0.25422007981934386,0.17066601086091746
unlabeled,0,local_bccb_causal,3,0.1728334990890474,0.11434942300770176,0.16619292833460866,0.110662532498366,0.19127161624834774,0.12235264220520738,0.2325667123394856,0.15240832693442793,0.224531440500074,0.14856477394205195,0.257283788439731,0.1632401785983644
unlabeled,0,local_bccb_pair,3,0.1693641623825816,0.11075094581868089,0.16206018454874457,0.10553198778858307,0.1837565689851619,0.12236744757998319,0.22791154515136403,0.1476620518161821,0.21871297530107395,0.14147420080168827,0.2471107232360584,0.16297921181197464
unlabeled,0,local_bttb_causal,3,0.17311908242265064,0.11467668267479961,0.16646087405572738,0.1109784255658042,0.19161287717041317,0.1227161636103565,0.23288626384237396,0.1527674073862351,0.22480429884818623,0.14887902031864753,0.2576664685155201,0.1636355345383566
unlabeled,0,local_bttb_pair,3,0.16965795831081606,0.11108624598054534,0.16233559824911387,0.10584763078496166,0.1841095421814846,0.12277337974469524,0.22824455846247504,0.14803708896580536,0.2190220483073456,0.1418217266589176,0.24749950012005564,0.16342143570921738
unlabeled,0,pixel_shift_cyclic,3,0.17353877671515508,0.11532786965920283,0.16564173854629252,0.10949573431555003,0.1889707543574549,0.12807737724247262,0.23366031964061565,0.15390125247537575,0.22372746862602408,0.1469940074094411,0.25422007981934386,0.17066601086091746
unlabeled,0,pixel_shift_zero,3,0.17353877671515508,0.11532786965920283,0.16564173854629252,0.10949573431555003,0.1889707543574549,0.12807737724247262,0.23366031964061565,0.15390125247537575,0.22372746862602408,0.1469940074094411,0.25422007981934386,0.17066601086091746
unlabeled,16,global_bccb_causal,3,0.3139642279727262,0.17727214794718105,0.30734894458758766,0.17094274628880174,0.3337930191302223,0.18045273942061008,0.4439874181373813,0.254625379007335,0.43443801271528537,0.24559884775568677,0.47275119415062966,0.2590001780377233
