candidate,eligible_seconds,request_speedup_target,required_local_speedup,feasible_if_component_zero
Exact VAE,4.308299851138145,1.05,1.1192285497019956,True
Exact VAE,4.308299851138145,1.1,1.2552887875132517,True
Exact VAE,4.308299851138145,1.2,1.5945047810439006,True
Transfer + serialization,2.049822954693809,1.05,1.2884911467350773,True
Transfer + serialization,2.049822954693809,1.1,1.7465493515027426,True
Transfer + serialization,2.049822954693809,1.2,4.622022768627606,True
Serialization,1.7960819059517235,1.05,1.3432368028627961,True
Serialization,1.7960819059517235,1.1,1.9524740219114918,True
Serialization,1.7960819059517235,1.2,9.465547189782141,True
Self-attention,1.7270786359724601,1.05,1.3619135373460756,True
Self-attention,1.7270786359724601,1.1,2.0297146294947264,True
Self-attention,1.7270786359724601,1.2,14.303387003630943,True
