priority_order,candidate,eligible_seconds,request_share,zero_cost_request_ceiling,measured_related_local_speedup,measured_related_request_speedup,evidence_boundary
1,Exact VAE,4.308299851138145,0.4470120431563457,1.8083576461733486,nan,nan,same-graph CUDA replay; unmeasured
2,Transfer + serialization,2.049822954693809,0.21268147035875293,1.2701339576697939,nan,nan,same request is sequential; codec exactness constrains changes
3,Serialization,1.7960819059517235,0.186354309169898,1.2290361901625444,nan,nan,CPU libx264 path; bitstream contract matters
4,Trainable low-precision attention,1.7270786359724601,0.1791948045477323,1.2183158751194247,1.586376845918112,1.0709347207832607,measured Sage local speed; train-free safe coverage was 0/120
5,CPU transfer,0.2537410487420857,0.026327161188854926,1.027039021876178,nan,nan,too small as a standalone gate
