operator,group,normalization,records,runs,sampled_rows,features,aspect_ratio_features_per_sample,mean_variance,mp_upper_edge,empirical_null_p95_max,spike_threshold,spike_count,spike_energy_ratio,energy_rank_8,energy_rank_16,energy_rank_32,subspace_rank,subspace_overlap_mean,subspace_overlap_min,null_maxima
C,all_blocks,centered,72,4,8192,1536,0.1875,0.00334602452557764,0.006871146364959457,2.413376343250275,2.413376343250275,1,0.47178903612858963,0.5142828221753738,0.537746719946777,0.5719071316904473,16,0.28625794500112534,0.20194311439990997,2.41337824;2.41336131;2.413342;2.4133656
C,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220796839334,2.0537760975166814,2.049575984477997,2.0537760975166814,172,0.4602465028307871,0.10158715870142657,0.14084655066049664,0.19731866574131407,16,0.2685345684488614,0.1794569492340088,2.05015516;2.04420543;2.04629397;2.03900886
C_FORECAST_0.5,all_blocks,centered,72,4,8192,1536,0.1875,0.005299169028941009,0.010881978219878075,5.7874854564666744,5.7874854564666744,1,0.7139143965630296,0.7387291903216561,0.7525745675081535,0.7720298105518208,16,0.2574297934770584,0.179386705160141,5.78746367;5.78748846;5.78746557;5.78746843
C_FORECAST_0.5,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220026048638,2.053775939232854,2.049888527393341,2.053775939232854,170,0.4588939381908269,0.10268192310507478,0.1421696455615488,0.19736880947918245,16,0.25431660811106366,0.16785481572151184,2.04650235;2.05048609;2.04644465;2.04472756
C_FORECAST_0.75,all_blocks,centered,72,4,8192,1536,0.1875,0.007617311365876252,0.015642342398362822,9.091693449020386,9.091693449020386,1,0.7803965275858726,0.7996268842542515,0.8112027794633414,0.8269868739794004,16,0.2352489779392878,0.1572882980108261,9.0916748;9.09165764;9.09166622;9.09169674
C_FORECAST_0.75,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220136558306,2.0537759619262954,2.0575252056121824,2.0575252056121824,165,0.45555845004497214,0.09667138224736574,0.14375422484378994,0.20232570364492225,16,0.24580532809098563,0.15876317024230957,2.05820942;2.05276561;2.05364799;2.03517795
C_FORECAST_1,all_blocks,centered,72,4,8192,1536,0.1875,0.0081887756884124,0.016815858902047266,9.502275562286377,9.502275562286377,1,0.758774938069081,0.7829903336445724,0.794680677326548,0.8114381002440828,16,0.22002136955658594,0.14684440195560455,9.50227928;9.50225449;9.50221348;9.50222492
C_FORECAST_1,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.000122041211095,2.0537760185117304,2.0487916707992553,2.0537760185117304,167,0.4585532434326952,0.10009221531522952,0.14279203994536743,0.2008454734999644,16,0.22848610828320184,0.14144180715084076,2.03946114;2.04595733;2.04929185;2.03962445
Q,all_blocks,centered,72,4,8192,1536,0.1875,6.385257367987525e-05,0.00013112288214864142,0.02241068985313177,0.02241068985313177,1,0.22956274517912933,0.3034028600511609,0.3309817897401119,0.3707484688041019,16,0.3564265916744868,0.2633500397205353,0.0224107318;0.0224098582;0.0224102531;0.0224104524
Q,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220179935142,2.0537759708338386,2.0441332936286924,2.0537759708338386,115,0.2913238969258116,0.08508427032670554,0.11371576485114429,0.1546785635818151,16,0.3191518982251485,0.22256889939308167,2.04416394;2.03571296;2.03970623;2.04395962
