operator,group,normalization,records,runs,sampled_rows,features,aspect_ratio_features_per_sample,mean_variance,mp_upper_edge,empirical_null_p95_max,spike_threshold,spike_count,spike_energy_ratio,energy_rank_8,energy_rank_16,energy_rank_32,subspace_rank,subspace_overlap_mean,subspace_overlap_min,null_maxima,series
C,all_blocks,centered,72,4,8192,1536,0.1875,0.0033460245255776,0.0068711463649594,2.413376343250275,2.413376343250275,1,0.4717890361285896,0.5142828221753738,0.537746719946777,0.5719071316904473,16,0.2862579450011253,0.2019431143999099,2.41337824;2.41336131;2.413342;2.4133656,C raw
C,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220796839334,2.053776097516681,2.049575984477997,2.053776097516681,172,0.4602465028307871,0.1015871587014265,0.1408465506604966,0.197318665741314,16,0.2685345684488614,0.1794569492340088,2.05015516;2.04420543;2.04629397;2.03900886,C std
C_FORECAST_0.5,all_blocks,centered,72,4,8192,1536,0.1875,0.005299169028941,0.010881978219878,5.787485456466674,5.787485456466674,1,0.7139143965630296,0.7387291903216561,0.7525745675081535,0.7720298105518208,16,0.2574297934770584,0.179386705160141,5.78746367;5.78748846;5.78746557;5.78746843,F0.50 raw
C_FORECAST_0.5,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220026048638,2.053775939232854,2.049888527393341,2.053775939232854,170,0.4588939381908269,0.1026819231050747,0.1421696455615488,0.1973688094791824,16,0.2543166081110636,0.1678548157215118,2.04650235;2.05048609;2.04644465;2.04472756,F0.50 std
C_FORECAST_0.75,all_blocks,centered,72,4,8192,1536,0.1875,0.0076173113658762,0.0156423423983628,9.091693449020386,9.091693449020386,1,0.7803965275858726,0.7996268842542515,0.8112027794633414,0.8269868739794004,16,0.2352489779392878,0.1572882980108261,9.0916748;9.09165764;9.09166622;9.09169674,F0.75 raw
C_FORECAST_0.75,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220136558306,2.0537759619262954,2.0575252056121824,2.0575252056121824,165,0.4555584500449721,0.0966713822473657,0.1437542248437899,0.2023257036449222,16,0.2458053280909856,0.1587631702423095,2.05820942;2.05276561;2.05364799;2.03517795,F0.75 std
C_FORECAST_1,all_blocks,centered,72,4,8192,1536,0.1875,0.0081887756884124,0.0168158589020472,9.502275562286377,9.502275562286377,1,0.758774938069081,0.7829903336445724,0.794680677326548,0.8114381002440828,16,0.2200213695565859,0.1468444019556045,9.50227928;9.50225449;9.50221348;9.50222492,F1.00 raw
C_FORECAST_1,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.000122041211095,2.0537760185117304,2.0487916707992557,2.0537760185117304,167,0.4585532434326952,0.1000922153152295,0.1427920399453674,0.2008454734999644,16,0.2284861082832018,0.1414418071508407,2.03946114;2.04595733;2.04929185;2.03962445,F1.00 std
Q,all_blocks,centered,72,4,8192,1536,0.1875,6.385257367987525e-05,0.0001311228821486,0.0224106898531317,0.0224106898531317,1,0.2295627451791293,0.3034028600511609,0.3309817897401119,0.3707484688041019,16,0.3564265916744868,0.2633500397205353,0.0224107318;0.0224098582;0.0224102531;0.0224104524,Q raw
Q,all_blocks,channel_standardized,72,4,8192,1536,0.1875,1.0001220179935142,2.0537759708338386,2.0441332936286924,2.0537759708338386,115,0.2913238969258116,0.0850842703267055,0.1137157648511442,0.1546785635818151,16,0.3191518982251485,0.2225688993930816,2.04416394;2.03571296;2.03970623;2.04395962,Q std
