sample_id,sample_position,layer_index,topology,group_count,group_size,rank,selector,exact_fraction,exact_group_count,dense_read_floats_per_head,moment_read_floats_per_head,exact_read_floats_per_head,active_read_ratio,visual_relative_l2,visual_worst_head_relative_l2,full_relative_l2
vsi_question_3132,73,0,spatial_7x7,32,49,8,compact_mass,0.5,16,401408,73984,200704,1.461323392357875,0.28540846705436707,0.732421338558197,0.016332346946001053
vsi_question_3132,73,0,spatial_7x7,32,49,8,compact_mass,1.0,32,401408,73984,401408,0.8443726440495423,0.0,0.0,0.0
vsi_question_3132,73,0,spatial_7x7,32,49,8,oracle_local,0.0,0,401408,73984,0,5.42560553633218,0.4962570369243622,1.2092993259429932,0.7905548214912415
vsi_question_3132,73,0,spatial_7x7,32,49,8,oracle_local,0.125,4,401408,73984,50176,3.2329896907216495,0.39400744438171387,1.008204460144043,0.5688046216964722
vsi_question_3132,73,0,spatial_7x7,32,49,8,oracle_local,0.25,8,401408,73984,100352,2.302496328928047,0.23926693201065063,0.6094521284103394,0.4759334325790405
vsi_question_3132,73,0,spatial_7x7,32,49,8,oracle_local,0.5,16,401408,73984,200704,1.461323392357875,0.28489112854003906,0.732421338558197,0.015748456120491028
vsi_question_3132,73,0,spatial_7x7,32,49,8,oracle_local,1.0,32,401408,73984,401408,0.8443726440495423,0.0,0.0,0.0
vsi_question_3132,73,0,spatial_7x7,32,49,16,compact_mass,0.0,0,401408,139776,0,2.871794871794872,0.47564998269081116,1.1805434226989746,0.7221643924713135
vsi_question_3132,73,0,spatial_7x7,32,49,16,compact_mass,0.125,4,401408,139776,50176,2.1132075471698113,0.3369503915309906,0.8604662418365479,0.6633564829826355
vsi_question_3132,73,0,spatial_7x7,32,49,16,compact_mass,0.25,8,401408,139776,100352,1.671641791044776,0.3040344715118408,0.77530837059021,0.5973430871963501
vsi_question_3132,73,0,spatial_7x7,32,49,16,compact_mass,0.5,16,401408,139776,200704,1.1789473684210525,0.34736400842666626,0.8937862515449524,0.5923737287521362
vsi_question_3132,73,0,spatial_7x7,32,49,16,compact_mass,1.0,32,401408,139776,401408,0.7417218543046358,0.0,0.0,0.0
vsi_question_3132,73,0,spatial_7x7,32,49,16,oracle_local,0.0,0,401408,139776,0,2.871794871794872,0.47564998269081116,1.1805434226989746,0.7221643924713135
