layer,method,count,mean_error_mean,mean_error_std,stable_error_mean,stable_error_std,event_like_error_mean,event_like_error_std
0,global_bccb_causal,1,0.09995766937707062,0.0,0.09995766937707062,0.0,,
0,global_bccb_pair,1,0.07332883125767348,0.0,0.09440110745077904,0.0,0.031184278871462377,0.0
0,hidden_shift_cyclic,1,0.07625460519509532,0.0,0.09777900689522638,0.0,0.03320580179483322,0.0
0,identity,1,1.3797932299587468,0.0,1.379095426311831,0.0,1.381188837252579,0.0
0,local_bccb_causal,1,0.09830019393692108,0.0,0.09830019393692108,0.0,,
0,local_bccb_pair,1,0.07555911366256636,0.0,0.09689455325543479,0.0,0.032888234476829495,0.0
0,local_bttb_causal,1,0.6446546953370311,0.0,0.6446546953370311,0.0,,
0,local_bttb_pair,1,0.6201314114242887,0.0,0.6275555122470619,0.0,0.6052832097787424,0.0
0,pixel_shift_cyclic,1,0.5283836400347536,0.0,0.7759725591547137,0.0,0.03320580179483322,0.0
0,pixel_shift_zero,1,0.8818777518760662,0.0,1.0152326643821294,0.0,0.6151679268639397,0.0
2,global_bccb_causal,1,0.09995789523518289,0.0,0.09995789523518289,0.0,,
2,global_bccb_pair,1,0.07333046919867518,0.0,0.09439072713341422,0.0,0.031209953329197106,0.0
2,hidden_shift_cyclic,1,0.0762568709261493,0.0,0.09777335950575226,0.0,0.03322389376694339,0.0
2,identity,1,1.3797888991142102,0.0,1.379075044289108,0.0,1.3812166087644153,0.0
2,local_bccb_causal,1,0.09829457194445018,0.0,0.09829457194445018,0.0,,
2,local_bccb_pair,1,0.07556170842243787,0.0,0.09689018881987185,0.0,0.03290474762756989,0.0
2,local_bttb_causal,1,0.6446664230057622,0.0,0.6446664230057622,0.0,,
2,local_bttb_pair,1,0.6201428583459067,0.0,0.6275701984497317,0.0,0.6052881781382566,0.0
2,pixel_shift_cyclic,1,0.5284002158516778,0.0,0.7759883768940451,0.0,0.03322389376694339,0.0
2,pixel_shift_zero,1,0.8818922093952423,0.0,1.0152521196468445,0.0,0.6151723888920378,0.0
