weight_key,source,rank,energy_ratio
blocks.0.self_attn.q.weight,hadamard_weight,1,0.11912737041711807
blocks.0.self_attn.q.weight,hadamard_weight,2,0.18886806070804596
blocks.0.self_attn.q.weight,hadamard_weight,4,0.22320456802845
blocks.0.self_attn.q.weight,hadamard_weight,8,0.2448495477437973
blocks.0.self_attn.q.weight,hadamard_weight,16,0.2659384608268738
blocks.0.self_attn.q.weight,hadamard_weight,32,0.2941308617591858
blocks.0.self_attn.q.weight,ternary_error,1,0.08150910586118698
blocks.0.self_attn.q.weight,ternary_error,2,0.12915204465389252
blocks.0.self_attn.q.weight,ternary_error,4,0.153614804148674
blocks.0.self_attn.q.weight,ternary_error,8,0.17251695692539215
blocks.0.self_attn.q.weight,ternary_error,16,0.19373826682567596
blocks.0.self_attn.q.weight,ternary_error,32,0.22591668367385864
blocks.0.self_attn.q.weight,fp8_error,1,0.01158158853650093
blocks.0.self_attn.q.weight,fp8_error,2,0.01956304907798767
blocks.0.self_attn.q.weight,fp8_error,4,0.029585232958197594
blocks.0.self_attn.q.weight,fp8_error,8,0.04613707959651947
blocks.0.self_attn.q.weight,fp8_error,16,0.07390078902244568
blocks.0.self_attn.q.weight,fp8_error,32,0.11857138574123383
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,1,0.0802392065525055
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,2,0.12712807953357697
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,4,0.15124663710594177
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,8,0.16995930671691895
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,16,0.19106538593769073
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b64,32,0.22336918115615845
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,1,0.08088231086730957
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,2,0.12812916934490204
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,4,0.15240827202796936
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,8,0.17123669385910034
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,16,0.1924903392791748
blocks.0.self_attn.q.weight,ternary_error_after_bcm_b128,32,0.2248828262090683
