identity,split,step,layer,aggregate,worst_head,worst_query_tile
cal_glassblower_s2026090101,calibration,0,0,0.02156681753695011,0.03149891272187233,0.024747680872678757
cal_glassblower_s2026090101,calibration,0,1,0.026036687195301056,0.03233076632022858,0.02975064143538475
cal_glassblower_s2026090101,calibration,0,2,0.0263025164604187,0.03074958175420761,0.028492987155914307
cal_glassblower_s2026090101,calibration,0,3,0.02165883220732212,0.02662028558552265,0.022803355008363724
cal_glassblower_s2026090101,calibration,0,4,0.020089536905288696,0.028056984767317772,0.022938042879104614
cal_glassblower_s2026090101,calibration,0,5,0.019959822297096252,0.029946932569146156,0.022940829396247864
cal_glassblower_s2026090101,calibration,0,6,0.015471025370061398,0.028885483741760254,0.018810927867889404
cal_glassblower_s2026090101,calibration,0,7,0.014203432016074657,0.028281982988119125,0.017092201858758926
cal_glassblower_s2026090101,calibration,0,8,0.013981574214994907,0.022470733150839806,0.01755717396736145
cal_glassblower_s2026090101,calibration,0,9,0.011385826393961906,0.017960703000426292,0.01298022922128439
cal_glassblower_s2026090101,calibration,0,10,0.008867667056620121,0.01102303434163332,0.009812857024371624
cal_glassblower_s2026090101,calibration,0,11,0.010532831773161888,0.018068838864564896,0.011715360917150974
cal_glassblower_s2026090101,calibration,0,12,0.013673986308276653,0.023815393447875977,0.01613972894847393
cal_glassblower_s2026090101,calibration,0,13,0.009837696328759193,0.012582803145051003,0.010840844362974167
cal_glassblower_s2026090101,calibration,0,14,0.011080215685069561,0.019984763115644455,0.01267657894641161
cal_glassblower_s2026090101,calibration,0,15,0.01031163614243269,0.015774376690387726,0.011433523148298264
cal_glassblower_s2026090101,calibration,0,16,0.009637351147830486,0.014106601476669312,0.010914891958236694
cal_glassblower_s2026090101,calibration,0,17,0.012493613176047802,0.017623599618673325,0.013887197710573673
cal_glassblower_s2026090101,calibration,0,18,0.01493467204272747,0.016608113422989845,0.01641724817454815
cal_glassblower_s2026090101,calibration,0,19,0.017846975475549698,0.029455814510583878,0.020362261682748795
cal_glassblower_s2026090101,calibration,0,20,0.021574122831225395,0.029102608561515808,0.023489944636821747
cal_glassblower_s2026090101,calibration,0,21,0.019085651263594627,0.028201017528772354,0.021264227107167244
cal_glassblower_s2026090101,calibration,0,22,0.015375017188489437,0.019715743139386177,0.016926269978284836
cal_glassblower_s2026090101,calibration,0,23,0.017821457237005234,0.028905613347887993,0.02191459946334362
cal_glassblower_s2026090101,calibration,0,24,0.015212725847959518,0.018226420506834984,0.017357151955366135
cal_glassblower_s2026090101,calibration,0,25,0.014624583534896374,0.018147563561797142,0.01659269630908966
cal_glassblower_s2026090101,calibration,0,26,0.017799464985728264,0.02729245275259018,0.02037912979722023
cal_glassblower_s2026090101,calibration,0,27,0.022541454061865807,0.032617248594760895,0.03979162499308586
cal_glassblower_s2026090101,calibration,0,28,0.04507158324122429,0.0687982365489006,0.11044076830148697
cal_glassblower_s2026090101,calibration,0,29,0.03393234685063362,0.06218082085251808,0.08073100447654724
cal_glassblower_s2026090101,calibration,1,0,0.02202710136771202,0.030209751799702644,0.025166677311062813
cal_glassblower_s2026090101,calibration,1,1,0.02444949559867382,0.03135687857866287,0.027500787749886513
cal_glassblower_s2026090101,calibration,1,2,0.02416175790131092,0.027560219168663025,0.02558629773557186
cal_glassblower_s2026090101,calibration,1,3,0.01965619996190071,0.02636229246854782,0.02100035734474659
cal_glassblower_s2026090101,calibration,1,4,0.01760224439203739,0.025801649317145348,0.01901974156498909
cal_glassblower_s2026090101,calibration,1,5,0.01953117549419403,0.026676885783672333,0.021126748993992805
cal_glassblower_s2026090101,calibration,1,6,0.013409024104475975,0.025408022105693817,0.015281761065125465
cal_glassblower_s2026090101,calibration,1,7,0.012910943478345871,0.026055440306663513,0.014622793532907963
cal_glassblower_s2026090101,calibration,1,8,0.014554420486092567,0.02344535104930401,0.01686239056289196
cal_glassblower_s2026090101,calibration,1,9,0.012406365014612675,0.020691096782684326,0.014421120285987854
cal_glassblower_s2026090101,calibration,1,10,0.009584160521626472,0.011991050094366074,0.011159530840814114
cal_glassblower_s2026090101,calibration,1,11,0.01181376539170742,0.019283905625343323,0.013964531011879444
cal_glassblower_s2026090101,calibration,1,12,0.014255416579544544,0.02486492320895195,0.016124539077281952
cal_glassblower_s2026090101,calibration,1,13,0.010187678039073944,0.013440425507724285,0.012271750718355179
cal_glassblower_s2026090101,calibration,1,14,0.011632880195975304,0.02085433341562748,0.013836612924933434
cal_glassblower_s2026090101,calibration,1,15,0.011099466122686863,0.017112214118242264,0.013043592683970928
cal_glassblower_s2026090101,calibration,1,16,0.01069666724652052,0.015679726377129555,0.012319463305175304
cal_glassblower_s2026090101,calibration,1,17,0.014839272946119308,0.020449036732316017,0.01811278983950615
cal_glassblower_s2026090101,calibration,1,18,0.017173055559396744,0.019436616450548172,0.019389411434531212
cal_glassblower_s2026090101,calibration,1,19,0.019582096487283707,0.029622966423630714,0.02245228737592697
