block,capacity_aggregate,capacity_worst,h1_aggregate,h1_worst,h2_aggregate,h2_worst,h3_aggregate,h3_worst,two_lag_advantage,shared_basis_penalty,teacher_native4,rcm_native4,weight_improvement_native4,teacher_rcm4,rcm_rcm4,weight_improvement_rcm4,capacity_pass,h1_pass,weight_pass
20,0.23062500032289565,0.26285551290692355,0.2928213603285899,0.3164911774238554,0.3075986837768762,0.32464131004708874,0.3231842776145198,0.3445835629934077,0.007429524393108067,0.003144391974257754,0.19876450219339992,0.27914451461076883,-0.40439822770344747,0.23828287762098266,0.2928213603285899,-0.22888124926188458,False,False,False
21,0.20610450548993908,0.22388570295188415,0.5124438401304275,0.5727812606497641,0.5136750787546496,0.5404701818238066,0.5470962826597605,0.5688395478830927,-0.0012981641449740788,0.0003302829441071964,0.47722693646856096,0.5154845332764962,-0.08016646564638252,0.5327818739016619,0.5124438401304275,0.038173283978854444,False,False,False
22,0.20474502538296507,0.23029464701433783,0.26561131960526213,0.3061792624531406,0.2779329276707808,0.29962572287886147,0.28687635840855336,0.2971093121833436,0.0011660178763073237,-0.0019302383817442204,0.16929162624659472,0.27734498870375995,-0.6382676146058861,0.1812322454484258,0.26561131960526213,-0.46558532643049166,False,False,False
23,0.2157912450781553,0.2386408857088636,0.30353975422269186,0.330687404374675,0.3153029819519794,0.33994788329536246,0.3194332525013069,0.347815633677697,-0.0006838175854069206,0.0011367185322654905,0.19139997091131228,0.28516312941393235,-0.48988073538457577,0.21639714452236702,0.30353975422269186,-0.40269759516774806,False,False,False
24,0.2587366812561452,0.28419218756525544,0.3331271126059005,0.3827481432126236,0.3468247724702343,0.3678100853277701,0.350317428205546,0.36685095686178615,0.0004009631723077556,0.001218813949863451,0.19423381431036443,0.3453782109733253,-0.7781569712750871,0.23082827923334318,0.3331271126059005,-0.44318154479306204,False,False,False
25,0.25772435132507754,0.28694041966906136,0.3062373109883592,0.36049135816562144,0.3224658162975821,0.3638183455217575,0.3361214610343215,0.36586127203319707,0.0017973208313804,-0.0006916134117997963,0.17227408983629536,0.3281772688844971,-0.9049717180125567,0.1891830416680837,0.3062373109883592,-0.6187355287671288,False,False,False
26,0.2855642526813437,0.32432204271218856,0.34675008726906487,0.4089060609560478,0.3717324512066927,0.42388818944362305,0.3888997600389392,0.4264427848230174,0.0009561822158953293,-0.0032598768182476867,0.1929815231656035,0.37662546476698117,-0.9516141161544625,0.19730551656110965,0.34675008726906487,-0.7574272291655317,False,False,False
27,0.2784394504535399,0.32427653581095794,0.33684524072342226,0.40958785937430225,0.3609692698253355,0.4213973349468128,0.37565637958946785,0.4183514371839776,0.0016671420201994636,-0.0017777671353825797,0.17082181056715615,0.3647471705710133,-1.1352494120042018,0.190152935895885,0.33684524072342226,-0.7714438072513177,False,False,False
28,0.2779178569071642,0.3302971753135433,0.33644270379069646,0.42547385643697017,0.36203684811649506,0.4312084597366454,0.38038504410728763,0.4281188446817327,0.00018279764085260553,-0.0015571561188274519,0.18230162514058215,0.3518884778730951,-0.93025420152857,0.1971741038031318,0.33644270379069646,-0.7063229770102935,False,False,False
29,0.13542573064401,0.18823813803832415,0.19530671355938437,0.2538183256162989,0.22962135039763415,0.28865236075846906,0.28080773305523665,0.3098209191035479,0.0063395122117773095,0.008747268010998788,0.10358928726939763,0.20584352975122885,-0.9871121346351728,0.12617508232937197,0.19530671355938437,-0.5479024063526958,False,False,False
