block,teacher_native4_risk,teacher_rcm4_risk,rcm_native4_risk,rcm_rcm4_risk,weight_log_effect_native4,weight_log_effect_rcm4,trajectory_log_effect_teacher,trajectory_log_effect_rcm,interaction_log_risk
20,0.03950732733219008,0.0567787297673362,0.07792166003728174,0.08574434906468589,0.6792178067027894,0.4122084040879532,0.3626756228818524,0.09566622026701607,-0.2670094026148364
21,0.2277455488911679,0.28385652515816634,0.26572430404728714,0.2625986892876192,0.1542303282326664,-0.07784194683546597,0.22023992529084604,-0.011832349777286455,-0.2320722750681321
22,0.028659654717216716,0.032845126790278456,0.07692024275908874,0.0705493731024487,0.9872787019325487,0.7645094057993596,0.13631301182072184,-0.08645628431246719,-0.22276929613318863
23,0.03663394886485118,0.0468277241574342,0.08131801037714713,0.09213638239357218,0.7973921467753403,0.6767944726221974,0.245500048953899,0.12490237480075624,-0.12059767415314271
24,0.03772677462155313,0.05328169449382625,0.11928610861513478,0.11097367315314431,1.1511548370027351,0.7337001650912764,0.3452227847462522,-0.07223188716520658,-0.4174546719114587
25,0.029678362028923964,0.035790223254787895,0.10770031981248751,0.09378129064138103,1.2889343245616487,0.9632906133359852,0.18725653359660718,-0.13838717762905617,-0.32564371122566316
26,0.037241868283316354,0.038929466865446315,0.14184674071094458,0.1202356230211041,1.3373135641041802,1.1277018759304525,0.04431784695621783,-0.16529384121750992,-0.20961168817372755
27,0.02918009096544138,0.03615813902982455,0.13304049843955987,0.11346471619802029,1.517166920936918,1.1435898487727398,0.21441540883662163,-0.15916166332755657,-0.37357707216417824
28,0.033233882528897335,0.03887762721056819,0.12382550085984372,0.11319369293399432,1.315303409760549,1.0686814988909363,0.15684903558876365,-0.08977287528084917,-0.24662191086961283
29,0.010730740436981787,0.015920151400823795,0.042371558740445035,0.03814471236136741,1.3733647922336534,0.8738014563766353,0.3944731299687497,-0.10509020588826827,-0.49956333585701795
