rank,method,aggregate,worst
16,capacity,0.26288325308034205,0.39147890581826017
16,drift,0.31791482336915083,0.5748545905295397
32,capacity,0.24551577792759652,0.36394350895443817
32,drift,0.3124739426529101,0.5737018865610366
64,capacity,0.2246015269961357,0.3302971753135433
64,drift,0.3084311558719757,0.5727812606497641
